University Name,Subject,Ranking Instituion,Year,World Rank,Total Score
Indiana University Bloomington,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
INSA Lyon,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
Paris 13 University,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
Polytechnic University of Catalonia,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
Scuola Normale Superiore - Pisa,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
Seoul National University,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
Shanghai Jiao Tong University,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
The Hong Kong University of Science and Technology,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Bordeaux,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Bristol,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Copenhagen,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of C????te d'Azur,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Electronic Science and Technology of China,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Granada,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Helsinki,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Rennes 1,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Roma - Tor Vergata,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Southern California,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Virginia,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
University of Warsaw,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
Uppsala University,Mathematics,ShanghaiRanking-ARWU,2020,76-100,
Bielefeld University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Cankaya University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Catholic University of Louvain,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Central South University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Chalmers University of Technology,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
China University of Mining and Technology - Xuzhou,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Complutense University of Madrid,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Cornell University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Curtin University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Duke University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Ecole Centrale Lyon,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Goethe University Frankfurt,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Heriot-Watt University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
INSA Toulouse,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Johns Hopkins University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
KU Leuven,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Louisiana State University - Baton Rouge,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Nankai University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
HSE University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Pennsylvania State University - University Park,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Qufu Normal University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Shandong University of Science and Technology,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Southeast University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Sun Yat-sen University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
The Hong Kong Polytechnic University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
The University of New South Wales,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Universit???? Gustave Eiffel,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Alberta,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
"University of California, Davis",Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Chile,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Connecticut,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Duisburg-Essen,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Florida,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Geneva,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Jyvaskyla,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Lorraine,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Naples Federico II,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Notre Dame,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Paderborn,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Pennsylvania,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Pittsburgh,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Regensburg,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University of Toulouse 1,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University Paris Est Creteil (UPEC),Mathematics,ShanghaiRanking-ARWU,2020,101-150,
University Toulouse - Jean Jaures,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Vienna University of Technology,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Wayne State University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Weizmann Institute of Science,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Wuhan University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Zhejiang Normal University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Zhejiang University,Mathematics,ShanghaiRanking-ARWU,2020,101-150,
Aalto University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Arizona State University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Beijing Normal University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Carlos III University of Madrid,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Carnegie Mellon University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Charles University in Prague,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
China Medical University (Taichung),Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Chongqing University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Federal University of Rio de Janeiro,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Free University Berlin,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Huazhong University of Science and Technology,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Hunan University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Kent State University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
King Abdullah University of Science and Technology,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
King Saud University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Lanzhou University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
North Carolina State University - Raleigh,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Polytechnic University of Milan,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Pontifical Catholic University of Chile,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
