University Name,Subject,Ranking Instituion,Year,World Rank,Total Score
Ghent University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Heidelberg University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Humboldt University of Berlin,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Iowa State University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
KTH Royal Institute of Technology,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Lund University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
McGill University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
National Tsing Hua University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Shanghai University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Shenzhen University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Southeast University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Stony Brook University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Technical University of Denmark,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
The Ohio State University - Columbus,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
The University of Adelaide,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
The University of Edinburgh,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
The University of Hong Kong,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
The University of Melbourne,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
The University of Sheffield,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Tongji University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
"University at Buffalo, the State University of New York",Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Amsterdam,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Bath,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Copenhagen,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Geneva,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Houston,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Illinois at Chicago,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Liverpool,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Marburg,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Missouri - Columbia,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Montpellier,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Nottingham,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Regensburg,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Science and Technology Beijing,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of St Andrews,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Valencia,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
University of Waterloo,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Uppsala University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Zhengzhou University,Chemistry,ShanghaiRanking-ARWU,2020,151-200,
Aalto University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Academy of Scientific and Innovative Research (AcSIR),Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Autonomous University of Madrid,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Beijing Normal University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Boston University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Cardiff University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Central China Normal University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Chalmers University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Colorado State University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Complutense University of Madrid,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Curtin University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Donghua University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Drexel University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Durham University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Ecole Normale Superieure - Lyon,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Ewha Womans University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Goethe University Frankfurt,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Griffith University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Hanyang University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Indian Institute of Science,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Indiana University Bloomington,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Jiangnan University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Jiangsu University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Kent State University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
King Saud University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Leiden University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Linkoping University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Michigan State University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Nanchang University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Nanjing Normal University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Nanjing University of Posts and Telecommunications,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Nanjing University of Science and Technology,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
New York University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Northeast Normal University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Northwest University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Oregon State University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Polytechnic University of Milan,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Polytechnic University of Valencia,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Queen Mary University of London,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Queensland University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Radboud University Nijmegen,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Rensselaer Polytechnic Institute,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Shaanxi Normal University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
ShanghaiTech University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Southwest University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Technical University of Dortmund,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Tel Aviv University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
The Australian National University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
The Hong Kong Polytechnic University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
The University of Akron,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
The University of Georgia,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
The University of Glasgow,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
The University of New Mexico - Albuquerque,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
The University of Texas at Dallas,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
The University of Texas at San Antonio,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Trinity College Dublin,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Antwerp,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Basel,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Bayreuth,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Bologna,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Bonn,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
"University of California, Santa Cruz",Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Connecticut,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Electronic Science and Technology of China,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Florence,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Freiburg,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Giessen,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Girona,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Jena,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Jyvaskyla,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Leeds,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Lille,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Lisbon,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Mainz,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Notre Dame,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Ottawa,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Padua,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Paris,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Rennes 1,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Rostock,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of South Carolina - Columbia,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of South Florida,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Southampton,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Stuttgart,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Sussex,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Sydney,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Technology Sydney,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Tsukuba,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Turin,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Twente,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Ulm,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Vienna,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Virginia,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of York,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Zaragoza,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
University of Zurich,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Vanderbilt University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Virginia Polytechnic Institute and State University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Washington State University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Zhejiang Normal University,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Zhejiang University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,201-300,
Anhui Normal University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Anhui University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Beijing University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Ben-Gurion University of the Negev,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Charles University in Prague,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
China Agricultural University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
China University of Petroleum (Huadong),Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Chonnam National University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Colorado School of Mines,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Daegu Gyeongbuk Institute of Science & Technology,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Dalhousie University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Deakin University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
"ENSCM, Chimie Montpellier",Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Graz University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Hefei University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Hong Kong Baptist University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Indian Institute of Technology Bombay,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
INSA Toulouse,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Institut polytechnique de Paris,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Jiangxi Normal University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Jinan University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
King Fahd University of Petroleum & Minerals,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
King's College London,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Kyung Hee University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
McMaster University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Moscow State University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Nanjing University of Aeronautics and Astronautics,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
National Chiao Tung University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
National Polytechnic Institute of Toulouse,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Newcastle University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Northeastern University (Boston),Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Northwestern Polytechnical University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Ocean University of China,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Pusan National University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Qingdao University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Qingdao University of Science and Technology,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Queen's University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Queen's University Belfast,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Qufu Normal University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
RMIT University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Saarland University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Sapienza University of Rome,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Shandong Normal University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Shandong University of Science and Technology,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Shanxi University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Singapore University of Technology & Design,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Technical University Darmstadt,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Technical University of Braunschweig,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Temple University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
The University of Auckland,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
The University of Calgary,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
The University of Texas Southwestern Medical Center at Dallas,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Tianjin University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Tufts University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Universitat Jaume I,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University College Dublin,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Aveiro,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Bern,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Birmingham,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
"University of California, San Francisco",Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Central Florida,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Cologne,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Duisburg-Essen,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Fribourg,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Hamburg,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Helsinki,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Jinan,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Kiel,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Konstanz,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Lausanne,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Leipzig,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Limerick,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Lorraine,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Milan,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Milano-Bicocca,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Mons,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Montreal,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Naples Federico II,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Oslo,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Perugia,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Potsdam,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Santiago Compostela,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Sao Paulo,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Saskatchewan,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Seville,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Strathclyde,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Toledo,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Trieste,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Tuebingen,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
University of Versailles Saint-Quentin-en-Yvelines,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Utah State University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Vienna University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Virginia Commonwealth University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Vrije Universiteit Amsterdam,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Wageningen University & Research,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Waseda University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Washington University in St. Louis,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Western University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Xiangtan University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Yangzhou University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Zhejiang Sci-Tech University,Chemistry,ShanghaiRanking-ARWU,2020,301-400,
Bar-Ilan University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Bielefeld University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Bilkent University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Binghamton University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Brandeis University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Capital Normal University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Catholic University of Louvain,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Changzhou University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
China Pharmaceutical University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
China University of Geosciences (Beijing),Chemistry,ShanghaiRanking-ARWU,2020,401-500,
China West Normal University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Dartmouth College,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Dongguk University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Florida International University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Guangdong University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Guangzhou University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Gwangju Institute of Science and Technology,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Heilongjiang University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Heinrich Heine University Duesseldorf,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Henan Normal University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Henan University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Heriot-Watt University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Huazhong Agricultural University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Hubei University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Hunan Normal University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Indian Institute of Science Education & Research (IISER) - Pune,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Indian Institute of Technology Kanpur,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Indiana University-Purdue University at Indianapolis,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
INSA Lyon,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Jacobs University Bremen,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Jagiellonian University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Jiangsu Normal University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Karolinska Institute,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Lehigh University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Leibniz University Hannover,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Louisiana State University - Baton Rouge,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
New University of Lisbon,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
North China Electric Power University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Northwest A&F University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Norwegian University of Science and Technology - NTNU,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Novosibirsk State University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Palack???? University Olomouc,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Qatar University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Renmin University of China,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Shanghai Normal University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Simon Fraser University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
South China Normal University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Taiyuan University of Technology,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Texas Tech University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
The University of Alabama - Tuscaloosa,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
The University of Reading,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Tokyo University of Science,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Universit???? libre de Bruxelles (ULB),Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Alicante,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Arizona,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Bremen,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Burgundy,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Calabria,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Campinas,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Castilla???€??La Mancha,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Cincinnati,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Cordoba,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Crete,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of East Anglia,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Genoa,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Gothenburg,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Granada,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Graz,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Halle-Wittenberg,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Hull,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Idaho,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Innsbruck,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Kansas,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Kentucky,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Leicester,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Liege,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Ljubljana,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Macau,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Malaga,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Nantes,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of North Texas,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Oviedo,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Parma,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Pau and Pays de l'Adour,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Pavia,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Pisa,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Porto,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Puerto Rico - Medical Sciences Campus,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Roma - Tor Vergata,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Salerno,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of South Australia,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Texas at El Paso,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Warsaw,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Wisconsin-Milwaukee,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Vrije Universiteit Brussel (VUB),Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Wayne State University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
Wenzhou University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
West Virginia University,Chemistry,ShanghaiRanking-ARWU,2020,401-500,
University of Colorado at Boulder,Earth Sciences,ShanghaiRanking-ARWU,2020,1,387.2
California Institute of Technology,Earth Sciences,ShanghaiRanking-ARWU,2020,2,361.3
Columbia University,Earth Sciences,ShanghaiRanking-ARWU,2020,3,354.3
University of Cambridge,Earth Sciences,ShanghaiRanking-ARWU,2020,4,334.5
"University of California, San Diego",Earth Sciences,ShanghaiRanking-ARWU,2020,5,316.3
Massachusetts Institute of Technology (MIT),Earth Sciences,ShanghaiRanking-ARWU,2020,6,315.1
Princeton University,Earth Sciences,ShanghaiRanking-ARWU,2020,7,291.8
ETH Zurich,Earth Sciences,ShanghaiRanking-ARWU,2020,8,286.6
Sorbonne University,Earth Sciences,ShanghaiRanking-ARWU,2020,9,268.6
Harvard University,Earth Sciences,ShanghaiRanking-ARWU,2020,10,263.8
Utrecht University,Earth Sciences,ShanghaiRanking-ARWU,2020,11,258.8
University of Paris,Earth Sciences,ShanghaiRanking-ARWU,2020,12,256.9
"University of California, Berkeley",Earth Sciences,ShanghaiRanking-ARWU,2020,13,255.7
University of Copenhagen,Earth Sciences,ShanghaiRanking-ARWU,2020,14,254.5
"University of California, Los Angeles",Earth Sciences,ShanghaiRanking-ARWU,2020,15,254.3
University of Washington,Earth Sciences,ShanghaiRanking-ARWU,2020,16,250.2
University of Iowa,Earth Sciences,ShanghaiRanking-ARWU,2020,17,244.1
The University of Texas at Austin,Earth Sciences,ShanghaiRanking-ARWU,2020,18,239.8
University of Oxford,Earth Sciences,ShanghaiRanking-ARWU,2020,19,239.6
University of Bristol,Earth Sciences,ShanghaiRanking-ARWU,2020,20,238.1
University of Leeds,Earth Sciences,ShanghaiRanking-ARWU,2020,21,236.9
"University of Maryland, College Park",Earth Sciences,ShanghaiRanking-ARWU,2020,22,233.9
University of Versailles Saint-Quentin-en-Yvelines,Earth Sciences,ShanghaiRanking-ARWU,2020,23,230.3
