Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,巴斯大学University of Bath,90.6,40.0,579.0,91.1,100.0,免费评估
2,谢菲尔德大学The University of Sheffield,84.5,43.5,510.0,87.0,94.3,免费评估
3,爱丁堡大学The University of Edinburgh,81.6,40.0,527.0,92.9,94.1,免费评估
4,剑桥大学University of Cambridge,75.3,46.7,568.0,90.9,93.8,免费评估
5,Cardiff University,82.5,35.0,494.0,92.1,91.8,免费评估
6,伦敦大学学院University College London,77.3,48.3,501.0,84.1,90.9,免费评估
7,纽卡斯尔大学Newcastle University,84.4,36.7,436.0,86.3,89.4,免费评估
8,曼彻斯特建筑学院Manchester School of Architecture,90.4,24.3,441.0,77.3,87.0,免费评估
9,德蒙福特大学De Montfort University,87.9,31.7,314.0,87.0,85.3,免费评估
10,诺桑比亚大学Northumbria University,88.3,20.0,386.0,84.5,84.7,免费评估
11,利物浦大学The University of Liverpool,73.1,45.0,427.0,81.8,84.5,免费评估
12,西英格兰大学University of the West of England,87.6,18.3,353.0,85.3,82.8,免费评估
12,布莱顿大学University of Brighton,80.8,45.0,352.0,71.7,82.8,免费评估
14,诺丁汉大学University of Nottingham,80.3,20.0,487.0,,82.5,免费评估
15,思克莱德大学University of Strathclyde,78.2,16.7,435.0,90.5,82.3,免费评估
15,肯特大学University of Kent,89.6,,391.0,92.1,82.3,免费评估
17,利物浦约翰摩尔斯大学Liverpool John Moores University,88.7,30.0,350.0,67.6,81.7,免费评估
18,罗伯特高登大学The Robert Gordon University,80.5,16.7,416.0,83.3,80.9,免费评估
19,邓迪大学University of Dundee,80.7,16.7,462.0,,80.4,免费评估
20,龙比亚大学Napier University,91.6,15.0,345.0,68.4,79.3,免费评估
21,普利茅斯大学University of Plymouth,84.3,25.0,376.0,66.9,79.1,免费评估
22,谢菲尔德哈莱姆大学Sheffield Hallam University,82.8,18.3,359.0,74.4,77.9,免费评估
22,Coventry University,92.8,,311.0,81.0,77.9,免费评估
22,牛津布鲁克斯大学Oxford Brookes University,88.0,,430.0,72.0,77.9,免费评估
25,University of Lincoln,81.2,15.0,372.0,76.5,77.3,免费评估
26,威斯敏斯特大学University of Westminster,77.8,33.3,362.0,63.6,76.7,免费评估
27,阿尔斯特大学University of Ulster,86.1,31.7,320.0,54.2,76.3,免费评估
28,英国女王大学Queen's University Belfast,86.5,,394.0,73.5,76.2,免费评估
29,诺丁汉特伦特大学Nottingham Trent University,80.7,10.0,331.0,76.6,74.2,免费评估
30,哈德斯菲尔德大学University of Huddersfield,84.7,,337.0,77.6,74.1,免费评估
31,创意艺术大学University for the Creative Arts,87.8,,327.0,72.0,73.8,免费评估
32,金斯顿大学Kingston University,86.1,,360.0,69.5,73.6,免费评估
33,格林威治大学The University of Greenwich,76.9,20.0,400.0,56.5,72.5,免费评估
34,剑桥安鲁大学Anglia Ruskin University,89.0,,264.0,70.8,71.7,免费评估
35,卡迪夫都市大学Cardiff Metropolitan University,81.6,,296.0,79.5,71.6,免费评估
36,朴茨茅斯大学University of Portsmouth,79.9,3.3,344.0,70.3,71.1,免费评估
37,伯恩茅斯艺术大学Arts University Bournemouth,82.7,3.3,287.0,73.3,71.0,免费评估
37,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,80.6,30.0,,46.2,71.0,免费评估
39,伦敦都市大学London Metropolitan University,68.3,23.3,363.0,68.8,70.9,免费评估
40,伦敦艺术大学University of the Arts London,74.2,,381.0,76.9,70.5,免费评估
41,德比大学University of Derby,86.3,,299.0,63.8,69.9,免费评估
42,利兹贝克特大学Leeds Beckett University,80.0,,314.0,71.9,69.5,免费评估
43,中央兰开夏大学University of Central Lancashire,67.8,16.7,363.0,68.9,68.9,免费评估
44,索尔福德大学University of Salford,71.5,38.3,,47.1,68.2,免费评估
45,伯明翰城市大学Birmingham City University,80.1,,326.0,63.0,67.8,免费评估
46,北安普顿大学The University of Northampton,,,261.0,76.0,67.6,免费评估
47,波尔顿大学University of Bolton,61.5,20.0,,80.8,67.0,免费评估
48,东伦敦大学University of East London,86.4,,276.0,52.6,66.2,免费评估
49,米德塞斯大学Middlesex University,80.6,,288.0,51.3,63.5,免费评估
50,南安普顿索伦特大学Southampton Solent University,78.1,,207.0,57.6,60.8,免费评估
51,伦敦南岸大学London South Bank University,74.0,,267.0,53.3,60.0,免费评估
