Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
75,桑德兰大学University of Sunderland,244.0,3.99,2.54,69.0,81.8,免费评估
76,米德塞斯大学Middlesex University,273.0,3.71,2.75,67.0,81.7,免费评估
77,利物浦霍普大学Liverpool Hope University,295.0,4.29,,70.0,81.5,免费评估
78,利兹贝克特大学Leeds Beckett University,306.0,3.9,1.76,68.0,81.4,免费评估
79,金斯顿大学Kingston University,273.0,4.06,2.82,61.0,81.4,免费评估
80,玛格丽特女王大学Queen Margaret University,337.0,4.07,2.41,55.0,81.1,免费评估
81,巴斯斯巴大学Bath Spa University,264.0,4.26,,71.0,80.7,免费评估
82,坎特伯雷大学Canterbury Christ Church University,266.0,3.94,2.14,57.0,80.3,免费评估
83,罗汉普顿大学Roehampton University,291.0,3.95,2.65,46.0,80.3,免费评估
84,贝德福德大学University of Bedfordshire,224.0,4.02,2.92,54.0,80.0,免费评估
85,蒂赛德大学Teesside University,267.0,4.14,,67.0,79.6,免费评估
86,切斯特大学University of Chester,301.0,3.78,2.29,48.0,78.9,免费评估
87,伯恩茅斯大学Bournemouth University,293.0,4.02,2.56,48.0,78.9,免费评估
88,格罗斯特大学University of Gloucestershire,283.0,4.32,2.14,38.0,78.5,免费评估
89,南威尔士大学The University of South Wales,311.0,3.86,,60.0,78.4,免费评估
90,约克圣约翰大学York St John University,333.0,3.86,,,78.4,免费评估
91,斯塔福德郡大学Staffordshire University,285.0,4.27,,55.0,78.2,免费评估
92,北安普顿大学The University of Northampton,253.0,3.91,2.14,48.0,78.2,免费评估
93,哥比亚大学University of Cumbria,281.0,4.13,,,77.8,免费评估
94,伦敦南岸大学London South Bank University,231.0,3.21,2.87,52.0,77.6,免费评估
95,德比大学University of Derby,282.0,4.24,1.57,46.0,77.4,免费评估
96,波尔顿大学University of Bolton,175.0,4.14,,67.0,77.0,免费评估
97,威斯敏斯特大学University of Westminster,291.0,3.7,,57.0,76.7,免费评估
98,剑桥安鲁大学Anglia Ruskin University,263.0,4.15,1.73,47.0,76.5,免费评估
99,利物浦约翰摩尔斯大学Liverpool John Moores University,341.0,4.02,,41.0,76.2,免费评估
100,伦敦都市大学London Metropolitan University,215.0,3.84,,54.0,74.5,免费评估
101,东伦敦大学University of East London,,3.68,3.05,29.0,74.1,免费评估
102,Suffolk,,3.36,,46.0,71.8,免费评估
