Rank,University,Country,Score,Free
1,Harvard University,United States,100.0,免费评估
2,麻省理工学院Massachusetts Institute of Technology,United States,95.8,免费评估
3,剑桥大学University of Cambridge,United Kingdom,81.7,免费评估
4,斯坦福大学Stanford University,United States,80.6,免费评估
5,University of California--San Francisco,United States,80.0,免费评估
6,牛津大学University of Oxford,United Kingdom,77.4,免费评估
7,University of Washington,United States,75.4,免费评估
8,约翰霍普金斯大学Johns Hopkins University,United States,74.9,免费评估
9,耶鲁大学Yale University,United States,73.3,免费评估
10,University of California--San Diego,United States,72.4,免费评估
11,University of Toronto,Canada,72.3,免费评估
12,宾夕法尼亚大学University of Pennsylvania,United States,72.2,免费评估
13,圣路易斯华盛顿大学Washington University in St Louis,United States,71.9,免费评估
14,University of California--Berkeley,United States,71.6,免费评估
15,康奈尔大学Cornell University,United States,70.6,免费评估
16,Karolinska Institute,Sweden,69.9,免费评估
17,University of California--Los Angeles,United States,69.8,免费评估
18,哥伦比亚大学Columbia University,United States,69.2,免费评估
19,芝加哥大学The University of Chicago,United States,69.0,免费评估
20,伦敦大学学院University College London,United Kingdom,68.7,免费评估
21,University of Copenhagen,Denmark,68.6,免费评估
22,University of Michigan--Ann Arbor,United States,68.4,免费评估
23,帝国理工学院Imperial College London,United Kingdom,67.0,免费评估
24,Baylor College of Medicine,United States,66.3,免费评估
25,爱丁堡大学The University of Edinburgh,United Kingdom,66.0,免费评估
26,University of Munich,Germany,65.6,免费评估
27,University of North Carolina--Chapel Hill,United States,65.3,免费评估
28,伦敦国王学院King's College London,United Kingdom,65.0,免费评估
29,Pierre and Marie Curie University,France,64.4,免费评估
30,Erasmus University Rotterdam,Netherlands,62.2,免费评估
31,杜克大学Duke University,United States,62.0,免费评估
32,Leiden University,Netherlands,61.9,免费评估
33,University of Texas Southwestern Medical Center--Dallas,United States,61.8,免费评估
34,McGill University,Canada,61.3,免费评估
34,University of Helsinki,Finland,61.3,免费评估
36,University of Queensland Australia,Australia,60.4,免费评估
37,Heidelberg University,Germany,60.3,免费评估
38,Rockefeller University,United States,59.8,免费评估
39,Utrecht University,Netherlands,59.4,免费评估
40,南加州大学University of Southern California,United States,58.9,免费评估
40,University of Tokyo,Japan,58.9,免费评估
42,墨尔本大学The University of Melbourne,Australia,58.4,免费评估
43,National University of Singapore,Singapore,58.3,免费评估
44,Catholic University of Leuven,Belgium,57.9,免费评估
45,Uppsala University,Sweden,57.4,免费评估
46,University of Groningen,Netherlands,57.3,免费评估
47,范德堡大学Vanderbilt University,United States,56.8,免费评估
48,University of Barcelona,Spain,56.6,免费评估
48,University of California--Davis,United States,56.6,免费评估
50,波士顿大学Boston Universiy,United States,56.4,免费评估
51,Lund University,Sweden,56.1,免费评估
51,Radboud University Nijmegen,Netherlands,56.1,免费评估
53,Technical University of Munich,Germany,56.0,免费评估
54,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,55.7,免费评估
55,University of Utah,United States,55.6,免费评估
56,University of Tartu,Estonia,55.5,免费评估
57,匹兹堡州立大学Pittsburg State University,United States,55.4,免费评估
58,University of Amsterdam,Netherlands,55.2,免费评估
59,Mount Sinai School of Medicine,United States,55.1,免费评估
60,Paris Descartes University-Paris V,France,55.0,免费评估
61,加利福尼亚理工学院California Institute of Technology,United States,54.9,免费评估
62,Kyoto University,Japan,54.8,免费评估
63,Weizmann Institute of Science,Israel,54.6,免费评估
64,University of California--Santa Cruz,United States,54.3,免费评估
65,University of Zurich,Switzerland,53.4,免费评估
66,University of British Columbia,Canada,53.3,免费评估
66,曼彻斯特大学The University of Manchester,United Kingdom,53.3,免费评估
68,New York University,United States,53.1,免费评估
69,University of Lausanne,Switzerland,52.9,免费评估
70,Peking University,China,52.6,免费评估
71,Swiss Federal Institute of Technology Zurich,Switzerland,52.1,免费评估
72,埃默里大学Emory University,United States,51.9,免费评估
72,Pompeu Fabra University,Spain,51.9,免费评估
72,布里斯托大学University of Bristol,United Kingdom,51.9,免费评估
75,格拉斯哥大学University of Glasgow,United Kingdom,51.2,免费评估
76,Yeshiva University,United States,51.1,免费评估
77,Ohio State University--Columbus,United States,50.9,免费评估
78,University of Eastern Finland,Finland,50.7,免费评估
79,Charite - Medical University of Berlin,Germany,50.5,免费评估
80,Aarhus University,Denmark,50.3,免费评估
81,悉尼大学The University of Sydney,Australia,50.2,免费评估
82,King Abdulaziz University,Saudi Arabia,49.9,免费评估
83,Tsinghua University,China,49.7,免费评估
84,西北大学Northwestern University,United States,49.6,免费评估
85,University of Oulu,Finland,49.5,免费评估
86,莱斯特大学University of Leicester,United Kingdom,49.4,免费评估
86,University of Strasbourg,France,49.4,免费评估
86,VU University Amsterdam,Netherlands,49.4,免费评估
89,University of Wisconsin--Madison,United States,48.9,免费评估
90,Hebrew University of Jerusalem,Israel,48.6,免费评估
90,University of Bonn,Germany,48.6,免费评估
92,University of Cologne,Germany,48.4,免费评估
93,University of Geneva,Switzerland,48.2,免费评估
94,University of Oslo,Norway,47.9,免费评估
95,University of Minnesota--Twin Cities,United States,47.4,免费评估
96,Tel Aviv University,Israel,47.2,免费评估
97,University of Freiburg,Germany,47.0,免费评估
97,University of Hong Kong,Hong Kong,47.0,免费评估
97,西澳大学The University of Western Australia,Australia,47.0,免费评估
100,Shanghai Jiao Tong University,China,46.6,免费评估
100,University of Massachusetts Worcester,United States,46.6,免费评估
102,卡迪夫大学Cardiff University,United Kingdom,46.5,免费评估
103,École Polytechnique Federale of Lausanne,Switzerland,46.3,免费评估
104,University of Milan,Italy,46.2,免费评估
105,埃克塞特大学University of Exeter,United Kingdom,46.1,免费评估
106,University of Montreal,Canada,46.0,免费评估
106,University of Pittsburgh,United States,46.0,免费评估
108,University of Basel,Switzerland,45.9,免费评估
109,普林斯顿大学Princeton University,United States,45.5,免费评估
110,Wageningen University and Research Center,Netherlands,45.2,免费评估
111,新南威尔士大学The University of New South Wales,Australia,45.1,免费评估
112,Freie Universität Berlin,Germany,45.0,免费评估
112,Ghent University,Belgium,45.0,免费评估
114,University of Maryland--Baltimore,United States,44.1,免费评估
114,Vita-Salute San Raffaele University,Italy,44.1,免费评估
116,Humboldt-Universität zu Berlin,Germany,43.9,免费评估
117,University of Gothenburg,Sweden,43.8,免费评估
118,Osaka University,Japan,43.7,免费评估
118,Universidade de São Paulo,Brazil,43.7,免费评估
118,乔治亚大学University of Georgia,United States,43.7,免费评估
118,University Paris Diderot - Paris 7,France,43.7,免费评估
122,University of Tampere,Finland,43.5,免费评估
123,伯明翰大学University of Birmingham,United Kingdom,43.3,免费评估
124,Oregon Health & Science University,United States,43.2,免费评估
125,"Eberhard Karls University, Tübingen",Germany,42.9,免费评估
126,Hannover Medical School,Germany,42.7,免费评估
127,University of Göttingen,Germany,42.6,免费评估
128,Université Paris-Sud,France,42.4,免费评估
129,蒙纳士大学Monash University,Australia,42.2,免费评估
129,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,42.2,免费评估
131,纽卡斯尔大学Newcastle University,United Kingdom,42.1,免费评估
132,Kyushu University,Japan,42.0,免费评估
133,Seoul National University,South Korea,41.9,免费评估
133,University of Hamburg,Germany,41.9,免费评估
135,邓迪大学University of Dundee,United Kingdom,41.6,免费评估
136,凯斯西储大学Case Western Reserve University,United States,41.5,免费评估
137,University of Ottawa,Canada,41.1,免费评估
138,利物浦大学The University of Liverpool,United Kingdom,41.0,免费评估
139,University of Alabama--Birmingham,United States,40.9,免费评估
140,南安普顿大学University of Southampton,United Kingdom,40.7,免费评估
141,谢菲尔德大学The University of Sheffield,United Kingdom,40.5,免费评估
142,"Rutgers, The State University of New Jersey--New Brunswick",United States,40.2,免费评估
143,University of California--Irvine,United States,40.1,免费评估
143,威克弗里斯特大学Wake Forest University,United States,40.1,免费评估
145,Johann Wolfgang Goethe University Frankfurt am Main,Germany,40.0,免费评估
145,迈阿密大学University of Miami,United States,40.0,免费评估
147,Tohoku University,Japan,39.8,免费评估
147,University of Kiel,Germany,39.8,免费评估
149,University of Texas--Austin,United States,39.7,免费评估
150,University of Vienna,Austria,39.6,免费评估
151,Umeå University,Sweden,39.5,免费评估
152,Fudan University,China,39.3,免费评估
153,Claude Bernard University Lyon 1,France,39.2,免费评估
153,Sun Yat-sen University,China,39.2,免费评估
155,Chinese University Hong Kong,Hong Kong,39.1,免费评估
156,Stony Brook University--SUNY,United States,38.9,免费评估
156,University of Ulm,Germany,38.9,免费评估
158,Technical University of Dresden,Germany,38.6,免费评估
159,Technion Israel Institute of Technology,Israel,38.5,免费评估
160,Trinity College Dublin,Ireland,38.3,免费评估
161,University of Münster,Germany,37.8,免费评估
162,University of Bologna,Italy,37.5,免费评估
163,University of Illinois--Chicago,United States,37.4,免费评估
164,利兹大学University of Leeds,United Kingdom,36.8,免费评估
165,塔夫茨大学Tufts University,United States,36.5,免费评估
165,University of Auckland,New Zealand,36.5,免费评估
165,University of Erlangen Nuremberg,Germany,36.5,免费评估
168,"弗吉尼亚大学University of Virginia,Main Campus",United States,36.1,免费评估
169,Autonomous University of Barcelona,Spain,35.9,免费评估
170,University of Rome Tor Vergata,Italy,35.8,免费评估
171,Medical University of Graz,Austria,35.7,免费评估
172,Heinrich Heine University of Dusseldorf,Germany,35.6,免费评估
173,University of Bern,Switzerland,35.5,免费评估
174,University of Padua,Italy,35.4,免费评估
175,University of Colorado--Boulder,United States,35.3,免费评估
176,佛罗里达大学University of Florida,United States,35.1,免费评估
177,Sapienza University of Rome,Italy,35.0,免费评估
177,University of Duisburg-Essen,Germany,35.0,免费评估
177,University of Porto,Portugal,35.0,免费评估
180,University of Rochester,United States,34.7,免费评估
181,诺丁汉大学University of Nottingham,United Kingdom,34.5,免费评估
182,McMaster University,Canada,34.4,免费评估
182,University of Arizona,United States,34.4,免费评估
184,爱荷华大学University of Iowa,United States,34.3,免费评估
184,University of Turku,Finland,34.3,免费评估
186,Charles University in Prague,Czech Republic,34.1,免费评估
187,University of Missouri,United States,34.0,免费评估
188,Indiana University-Purdue University--Indianapolis,United States,33.9,免费评估
188,Medical University of Innsbruck,Austria,33.9,免费评估
188,University of Lubeck,Germany,33.9,免费评估
191,布朗大学Brown University,United States,33.8,免费评估
191,University of Aix-Marseille,France,33.8,免费评估
193,华威大学The University of Warwick,United Kingdom,33.7,免费评估
194,China Agricultural University,China,33.6,免费评估
194,University of Bergen,Norway,33.6,免费评估
196,Nagoya University,Japan,33.5,免费评估
197,Louisiana State University--Baton Rouge,United States,33.3,免费评估
198,Maastricht University,Netherlands,33.2,免费评估
199,University of Montpellier,France,33.1,免费评估
200,Stockholm University,Sweden,33.0,免费评估
