Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,87.4,33.3,665,86.7,100.0,免费评估
2,牛津大学University of Oxford,87.0,37.4,574,79.2,96.0,免费评估
3,约克大学The University of York,91.3,36.7,457,72.3,92.6,免费评估
4,谢菲尔德大学The University of Sheffield,86.8,36.7,471,73.5,90.9,免费评估
5,曼彻斯特大学The University of Manchester,87.6,38.3,456,69.1,90.2,免费评估
6,格拉斯哥大学University of Glasgow,86.7,28.3,487,75.0,89.6,免费评估
7,萨里大学University of Surrey,86.2,33.3,438,76.3,89.4,免费评估
8,巴斯大学University of Bath,88.1,23.3,463,75.8,88.4,免费评估
9,伦敦大学学院University College London,80.4,35.1,512,73.0,88.2,免费评估
10,布拉德福德大学University of Bradford,85.8,29.0,470,71.5,87.8,免费评估
11,圣安德鲁斯大学University of St Andrews,86.4,23.3,511,70.2,87.7,免费评估
12,埃克塞特大学University of Exeter,90.1,23.3,431,72.0,87.6,免费评估
13,兰卡斯特大学Lancaster University,86.5,33.3,427,68.0,87.1,免费评估
14,伦敦国王学院King's College London,85.6,35.0,430,67.0,86.9,免费评估
15,帝国理工学院Imperial College London,72.9,35.0,541,79.1,86.6,免费评估
16,爱丁堡大学The University of Edinburgh,83.1,30.0,492,67.3,86.2,免费评估
17,杜伦大学Durham University,79.9,23.3,524,75.8,86.0,免费评估
18,诺丁汉大学University of Nottingham,84.8,28.3,418,69.6,85.0,免费评估
19,邓迪大学University of Dundee,80.6,38.3,476,60.3,84.8,免费评估
20,华威大学The University of Warwick,83.8,23.3,457,71.0,84.7,免费评估
21,东英吉利大学University of East Anglia,88.0,23.3,436,63.6,84.5,免费评估
22,肯特大学University of Kent,91.8,15.0,392,67.1,83.8,免费评估
23,莱斯特大学University of Leicester,86.4,21.7,419,67.5,83.6,免费评估
24,伯明翰大学University of Birmingham,78.9,23.3,431,79.4,83.3,免费评估
25,纽卡斯尔大学Newcastle University,84.0,30.0,402,64.2,83.1,免费评估
26,Cardiff University,83.1,28.3,425,64.7,83.0,免费评估
27,利兹大学University of Leeds,82.4,30.0,408,65.2,82.7,免费评估
28,伦敦大学皇家霍洛威学院Royal Holloway University of London,81.0,33.3,389,66.1,82.4,免费评估
29,南安普顿大学University of Southampton,81.8,23.3,416,69.4,81.9,免费评估
30,埃塞克斯大学University of Essex,82.0,24.4,422,65.6,81.5,免费评估
31,阿伯丁大学University of Aberdeen,84.1,28.3,416,54.5,80.7,免费评估
32,思克莱德大学University of Strathclyde,76.9,28.3,448,65.1,80.5,免费评估
33,英国女王大学Queen's University Belfast,82.8,13.3,379,73.7,79.7,免费评估
34,诺丁汉特伦特大学Nottingham Trent University,82.3,30.0,308,65.7,79.5,免费评估
35,阿斯顿大学Aston University,83.1,26.7,374,58.4,79.3,免费评估
36,基尔大学Keele University,87.3,5.0,387,66.6,78.4,免费评估
37,赫瑞瓦特大学Heriot Watt University,81.5,16.7,415,62.7,78.2,免费评估
38,Coventry University,89.9,,274,78.7,78.0,免费评估
39,斯旺西大学Swansea University,85.4,6.7,356,70.2,77.8,免费评估
40,埃塞克斯大学University of Essex,85.4,16.7,336,62.1,77.7,免费评估
41,雷丁大学University of Reading,84.9,15.0,377,59.2,77.6,免费评估
42,哈德斯菲尔德大学University of Huddersfield,83.9,8.3,340,71.8,77.2,免费评估
43,阿伯泰邓迪大学University of Abertay Dundee,79.7,21.7,374,61.8,77.0,免费评估
44,利物浦大学The University of Liverpool,79.8,20.0,410,58.6,76.9,免费评估
45,牛津布鲁克斯大学Oxford Brookes University,84.2,10.0,357,64.9,76.6,免费评估
46,巴斯斯巴大学Bath Spa University,89.5,0.0,284,72.2,76.4,免费评估
47,朴茨茅斯大学University of Portsmouth,81.2,25.6,319,57.5,76.0,免费评估
48,布拉德福德大学University of Bradford,81.7,16.7,312,65.3,75.7,免费评估
49,布鲁内尔大学Brunel University,83.1,15.0,359,57.5,75.5,免费评估
50,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,79.9,13.3,392,60.7,75.2,免费评估
51,龙比亚大学Napier University,84.5,6.7,364,60.8,75.1,免费评估
52,西英格兰大学University of the West of England,79.7,27.5,346,50.7,74.8,免费评估
52,伦敦大学玛丽女王学院Queen Mary University of London,75.5,16.7,406,63.1,74.8,免费评估
54,艾芝西尔大学Edge Hill University,86.7,,263,73.6,74.6,免费评估
55,"圣乔治医学院St George's, University of London",76.1,16.7,398,61.4,74.4,免费评估
56,布莱顿大学University of Brighton,82.0,18.3,305,57.1,73.9,免费评估
57,西苏格兰大学University of the West of Scotland,82.0,23.3,298,52.1,73.8,免费评估
58,罗伯特高登大学The Robert Gordon University,75.4,,353,80.6,73.1,免费评估
59,金斯顿大学Kingston University,84.0,11.7,280,59.0,73.0,免费评估
60,班戈大学Bangor University,82.7,11.7,318,56.7,72.9,免费评估
61,普利茅斯大学University of Plymouth,85.0,14.7,343,45.1,72.8,免费评估
61,赫特福德大学University of Hertfordshire,77.1,15.0,318,64.6,72.8,免费评估
63,谢菲尔德哈莱姆大学Sheffield Hallam University,81.7,8.3,340,57.2,72.4,免费评估
64,Manchester Metropolitan University,80.4,15.0,333,53.4,72.2,免费评估
65,卡迪夫都市大学Cardiff Metropolitan University,85.5,8.3,225,62.2,72.0,免费评估
66,赫尔大学The University of Hull,83.6,8.3,344,50.9,71.9,免费评估
66,格罗斯特大学University of Gloucestershire,96.2,,284,40.0,71.9,免费评估
68,斯特林大学University of Stirling,72.1,18.7,402,56.0,71.5,免费评估
69,阿尔斯特大学University of Ulster,82.5,,292,63.2,70.5,免费评估
70,东伦敦大学University of East London,81.7,,282,64.9,70.2,免费评估
71,北安普顿大学The University of Northampton,91.0,,247,49.1,70.1,免费评估
72,诺桑比亚大学Northumbria University,72.4,13.3,350,61.1,69.9,免费评估
73,坎特伯雷大学Canterbury Christ Church University,81.8,,247,66.4,69.6,免费评估
74,贝德福德大学University of Bedfordshire,83.9,8.3,234,,69.2,免费评估
75,利物浦约翰摩尔斯大学Liverpool John Moores University,80.6,13.6,328,40.5,68.5,免费评估
76,中央兰开夏大学University of Central Lancashire,81.2,,341,51.5,68.4,免费评估
77,斯塔福德郡大学Staffordshire University,81.1,,255,61.3,68.1,免费评估
77,波尔顿大学University of Bolton,76.2,,257,71.6,68.1,免费评估
79,罗汉普顿大学Roehampton University,79.5,1.7,276,59.0,67.8,免费评估
80,米德塞斯大学Middlesex University,82.1,,264,56.3,67.7,免费评估
81,德比大学University of Derby,81.9,5.0,307,45.9,67.6,免费评估
81,"特威克南圣玛丽大学St Mary's, Twickenham",81.1,3.3,301,50.0,67.6,免费评估
83,剑桥安鲁大学Anglia Ruskin University,86.1,,250,48.3,67.3,免费评估
84,南威尔士大学The University of South Wales,75.2,3.3,358,51.7,66.6,免费评估
85,蒂赛德大学Teesside University,74.2,,347,55.0,65.7,免费评估
86,利兹贝克特大学Leeds Beckett University,78.7,,244,56.8,65.3,免费评估
86,格林威治大学The University of Greenwich,76.5,,370,45.4,65.3,免费评估
88,索尔福德大学University of Salford,74.0,15.0,307,42.8,65.2,免费评估
88,切斯特大学University of Chester,78.6,5.0,289,45.9,65.2,免费评估
90,威斯敏斯特大学University of Westminster,79.2,,286,45.0,63.9,免费评估
91,亚伯大学Aberystwyth University,73.1,,333,49.3,63.2,免费评估
92,伯恩茅斯大学Bournemouth University,78.7,,312,38.9,62.9,免费评估
93,桑德兰大学University of Sunderland,76.4,,247,48.3,62.0,免费评估
94,伍斯特大学University of Worcester,69.2,,286,57.7,61.8,免费评估
95,伦敦南岸大学London South Bank University,68.6,11.7,206,54.8,61.1,免费评估
96,伦敦都市大学London Metropolitan University,74.8,1.7,262,27.6,56.8,免费评估
