Rank,University,Country,Score,Free
1,Harvard University,United States,100.0,免费评估
2,麻省理工学院Massachusetts Institute of Technology,United States,92.4,免费评估
3,斯坦福大学Stanford University,United States,86.2,免费评估
4,University of California--Berkeley,United States,86.1,免费评估
5,芝加哥大学The University of Chicago,United States,84.0,免费评估
6,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,82.3,免费评估
7,宾夕法尼亚大学University of Pennsylvania,United States,81.4,免费评估
8,哥伦比亚大学Columbia University,United States,80.9,免费评估
9,New York University,United States,79.2,免费评估
10,牛津大学University of Oxford,United Kingdom,75.5,免费评估
11,University of Michigan--Ann Arbor,United States,74.4,免费评估
12,耶鲁大学Yale University,United States,74.2,免费评估
13,西北大学Northwestern University,United States,73.5,免费评估
14,Erasmus University Rotterdam,Netherlands,72.0,免费评估
15,普林斯顿大学Princeton University,United States,71.1,免费评估
16,杜克大学Duke University,United States,70.8,免费评估
17,剑桥大学University of Cambridge,United Kingdom,68.1,免费评估
18,Tilburg University,Netherlands,67.1,免费评估
19,University of Toronto,Canada,66.8,免费评估
20,康奈尔大学Cornell University,United States,66.6,免费评估
21,伦敦商学院London Business School,United Kingdom,65.1,免费评估
22,National University of Singapore,Singapore,64.7,免费评估
23,University of Minnesota--Twin Cities,United States,64.2,免费评估
24,Bocconi University,Italy,63.8,免费评估
25,华威大学The University of Warwick,United Kingdom,63.6,免费评估
26,Indiana University--Bloomington,United States,63.1,免费评估
27,University of California--Los Angeles,United States,62.7,免费评估
28,密歇根州立大学Michigan State University,United States,62.2,免费评估
29,Copenhagen Business School,Denmark,60.8,免费评估
30,Arizona State University--Tempe,United States,60.6,免费评估
31,University of Maryland--College Park,United States,60.5,免费评估
32,匹兹堡州立大学Pittsburg State University,United States,60.2,免费评估
32,University of Groningen,Netherlands,60.2,免费评估
34,伦敦大学学院University College London,United Kingdom,58.8,免费评估
35,帝国理工学院Imperial College London,United Kingdom,58.3,免费评估
36,蒙纳士大学Monash University,Australia,58.2,免费评估
37,墨尔本大学The University of Melbourne,Australia,58.0,免费评估
38,VU University Amsterdam,Netherlands,57.8,免费评估
39,Hong Kong University of Science and Technology,Hong Kong,57.6,免费评估
40,Universite Paris Saclay (ComUE),France,57.5,免费评估
41,曼彻斯特大学The University of Manchester,United Kingdom,56.6,免费评估
42,Ohio State University--Columbus,United States,56.5,免费评估
42,南加州大学University of Southern California,United States,56.5,免费评估
