Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.6,564,0.85,0.94,免费评估
2,帝国理工学院Imperial College London,4.5,477,0.73,0.97,免费评估
3,谢菲尔德大学The University of Sheffield,3.5,432,0.82,0.98,免费评估
4,布里斯托大学University of Bristol,3.6,461,0.81,0.95,免费评估
5,卡迪夫大学Cardiff University,3.8,425,0.82,0.91,免费评估
6,拉夫堡大学Loughborough University,2.8,381,0.87,0.96,免费评估
7,邓迪大学University of Dundee,3.3,409,0.82,0.96,免费评估
8,巴斯大学University of Bath,3.4,434,0.82,0.92,免费评估
9,南安普顿大学University of Southampton,3.6,431,0.78,0.94,免费评估
10,诺丁汉大学University of Nottingham,3.7,375,0.81,0.91,免费评估
11,斯旺西大学Swansea University,4.3,320,0.78,0.94,免费评估
12,英国女王大学Queen's University Belfast,3.3,377,0.77,0.99,免费评估
13,曼彻斯特大学The University of Manchester,3.2,414,0.79,0.92,免费评估
14,纽卡斯尔大学Newcastle University,3.6,355,0.79,0.93,免费评估
15,萨里大学University of Surrey,3.1,343,0.79,0.96,免费评估
16,爱丁堡大学The University of Edinburgh,2.7,417,0.76,0.96,免费评估
17,伦敦大学学院University College London,2.7,432,0.8,0.9,免费评估
18,伯明翰大学University of Birmingham,2.7,372,0.74,0.93,免费评估
19,利兹大学University of Leeds,2.5,354,0.76,0.9,免费评估
20,利物浦大学The University of Liverpool,2.8,364,0.73,0.89,免费评估
21,诺丁汉特伦特大学Nottingham Trent University,1.3,234,0.82,1.0,免费评估
22,伦敦城市大学City University London,2.2,293,0.73,0.97,免费评估
23,赫瑞瓦特大学Heriot Watt University,2.2,349,0.77,0.86,免费评估
24,阿伯丁大学University of Aberdeen,2.8,369,0.7,0.86,免费评估
25,布拉德福德大学University of Bradford,2.2,269,0.69,1.0,免费评估
26,朴茨茅斯大学University of Portsmouth,,273,0.81,0.98,免费评估
26,格拉斯哥大学University of Glasgow,2.5,387,0.67,0.86,免费评估
28,思克莱德大学University of Strathclyde,1.7,395,0.63,0.94,免费评估
28,伍尔弗汉普顿大学University of Wolverhampton,2.3,192,0.67,1.0,免费评估
30,普利茅斯大学University of Plymouth,2.4,250,0.76,0.83,免费评估
31,诺桑比亚大学Northumbria University,2.1,275,0.68,0.91,免费评估
31,金斯顿大学Kingston University,1.4,176,0.85,0.84,免费评估
33,索尔福德大学University of Salford,3.2,223,0.71,0.78,免费评估
34,利物浦约翰摩尔斯大学Liverpool John Moores University,,297,0.7,1.0,免费评估
35,布莱顿大学University of Brighton,1.7,283,0.69,,免费评估
36,格林威治大学The University of Greenwich,1.6,200,0.75,,免费评估
37,阿尔斯特大学University of Ulster,,239,0.72,0.96,免费评估
38,格拉摩根大学University of Glamorgan,2.3,210,0.62,0.89,免费评估
39,考文垂大学Coventry University,1.0,274,0.75,0.73,免费评估
40,龙比亚大学Napier University,1.6,245,,0.79,免费评估
41,阿伯泰邓迪大学University of Abertay Dundee,,261,,0.83,免费评估
42,利兹都会大学Leeds Metropolitan University,,201,0.68,0.82,免费评估
43,蒂赛德大学Teesside University,,260,0.77,0.65,免费评估
