Rank,University,Country,Score,Free
1,Harvard University,United States,100.0,免费评估
2,麻省理工学院Massachusetts Institute of Technology,United States,93.6,免费评估
3,斯坦福大学Stanford University,United States,85.6,免费评估
4,宾夕法尼亚大学University of Pennsylvania,United States,84.7,免费评估
5,University of California--Berkeley,United States,84.6,免费评估
5,芝加哥大学The University of Chicago,United States,84.6,免费评估
7,New York University,United States,82.1,免费评估
8,哥伦比亚大学Columbia University,United States,81.6,免费评估
9,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,80.2,免费评估
10,牛津大学University of Oxford,United Kingdom,75.2,免费评估
11,耶鲁大学Yale University,United States,75.0,免费评估
12,University of Michigan--Ann Arbor,United States,74.8,免费评估
13,西北大学Northwestern University,United States,74.1,免费评估
14,Erasmus University Rotterdam,Netherlands,72.7,免费评估
15,普林斯顿大学Princeton University,United States,71.1,免费评估
16,杜克大学Duke University,United States,69.4,免费评估
17,University of Toronto,Canada,67.4,免费评估
18,Tilburg University,Netherlands,67.1,免费评估
19,伦敦商学院London Business School,United Kingdom,66.6,免费评估
20,康奈尔大学Cornell University,United States,66.5,免费评估
21,剑桥大学University of Cambridge,United Kingdom,66.0,免费评估
22,University of California--Los Angeles,United States,65.0,免费评估
23,University of Minnesota--Twin Cities,United States,64.0,免费评估
24,Arizona State University--Tempe,United States,63.1,免费评估
25,National University of Singapore,Singapore,62.7,免费评估
26,密歇根州立大学Michigan State University,United States,62.3,免费评估
27,Bocconi University,Italy,62.2,免费评估
28,华威大学The University of Warwick,United Kingdom,61.5,免费评估
29,匹兹堡州立大学Pittsburg State University,United States,60.5,免费评估
30,University of Maryland--College Park,United States,59.4,免费评估
31,Copenhagen Business School,Denmark,59.3,免费评估
31,帝国理工学院Imperial College London,United Kingdom,59.3,免费评估
33,Indiana University--Bloomington,United States,59.1,免费评估
34,伦敦大学学院University College London,United Kingdom,58.2,免费评估
35,University of California--San Diego,United States,57.9,免费评估
36,Ohio State University--Columbus,United States,57.3,免费评估
37,南加州大学University of Southern California,United States,57.2,免费评估
38,University of Texas--Austin,United States,56.8,免费评估
39,墨尔本大学The University of Melbourne,Australia,56.5,免费评估
40,University of Groningen,Netherlands,56.3,免费评估
41,Hong Kong University of Science and Technology,Hong Kong,56.1,免费评估
42,University of British Columbia,Canada,55.8,免费评估
43,University of Munich,Germany,55.6,免费评估
44,德克萨斯A&M大学Texas A & M University,United States,55.4,免费评估
45,曼彻斯特大学The University of Manchester,United Kingdom,55.3,免费评估
46,Chinese University Hong Kong,Hong Kong,54.9,免费评估
47,INSEAD Business School,France,54.6,免费评估
48,VU University Amsterdam,Netherlands,54.5,免费评估
49,蒙纳士大学Monash University,Australia,54.2,免费评估
50,University of Washington,United States,53.9,免费评估
51,达特茅斯学院Dartmouth College,United States,53.5,免费评估
52,Peking University,China,53.4,免费评估
52,University of Amsterdam,Netherlands,53.4,免费评估
54,波士顿大学Boston Universiy,United States,53.3,免费评估
55,新南威尔士大学The University of New South Wales,Australia,53.1,免费评估
55,University of Wisconsin--Madison,United States,53.1,免费评估
57,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,52.6,免费评估
