Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,伯明翰大学University of Birmingham,84.4%,88.3%,50.9%,152,87.6%*,100.0,免费评估
2,剑桥大学University of Cambridge,,,40.4%,210,81.7%,98.7,免费评估
3,埃克塞特大学University of Exeter,86.7%,86.3%,41.0%,174,76.2%,98.6,免费评估
4,牛津大学University of Oxford,,,38.8%,207,72.8%,97.8,免费评估
5,伦敦大学学院University College London,,,49.3%,182,68.9%,97.4,免费评估
6,圣安德鲁斯大学University of St Andrews,87.7%,88.1%,25.0%,199,66.7%,96.6,免费评估
7,萨塞克斯大学University of Sussex,85.8%,84.5%,34.4%,145,83.5%,96.2,免费评估
8,曼彻斯特大学The University of Manchester,,,36.7%,159,79.9%,95.9,免费评估
9,伦敦大学亚非学院SOAS University of London,,,31.1%,162,68.0%,93.9,免费评估
10,爱丁堡大学The University of Edinburgh,78.3%,76.6%,42.2%,179,65.0%,93.6,免费评估
11,伦敦政治经济学院The London School of Economics and Political Science,71.1%,65.1%,41.3%,188,77.8%,92.4,免费评估
12,杜伦大学Durham University,75.7%,72.3%,29.1%,180,75.2%,91.7,免费评估
13,布鲁内尔大学Brunel University,91.8%,92.7%,29.3%,132,45.5%,91.6,免费评估
14,阿伯丁大学University of Aberdeen,83.3%,79.5%,31.8%,160,56.3%,91.2,免费评估
15,布里斯托大学University of Bristol,,,11.2%,157,68.8%,90.1,免费评估
16,罗汉普顿大学Roehampton University,85.7%,89.4%,27.7%,101*,61.5%,89.4,免费评估
17,伦敦大学金史密斯学院Goldsmiths University of London,,,34.5%,130,56.3%,89.2,免费评估
18,英国女王大学Queen's University Belfast,77.1%,72.9%,49.0%,137,48.9%,88.8,免费评估
19,肯特大学University of Kent,75.8%,71.6%,20.5%,140,78.5%,88.1,免费评估
20,利物浦约翰摩尔斯大学Liverpool John Moores University,78.8%,76.6%,15.1%,134,66.7%,86.6,免费评估
21,利兹大学University of Leeds,80.0%,80.6%,,147,70.4%,86.3,免费评估
22,伯恩茅斯大学Bournemouth University,80.1%,76.9%,19.9%,117,63.8%*,86.2,免费评估
23,牛津布鲁克斯大学Oxford Brookes University,83.1%,76.2%,17.3%,118,51.7%,85.0,免费评估
24,东伦敦大学University of East London,85.1%,81.9%,13.7%,99*,50.9%,84.2,免费评估
25,圣大卫三一学院University of Wales Trinity Saint David,78.4%,74.3%,17.3%,91,38.5%,79.5,免费评估
26,伯明翰城市大学Birmingham City University,78.0%,79.5%,3.8%,,32.3%*,77.6,免费评估
