Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,3.6,498.0,0.91,0.81,免费评估
2,杜伦大学Durham University,3.9,425.0,0.87,0.82,免费评估
2,牛津大学University of Oxford,3.5,480.0,0.83,0.85,免费评估
4,爱丁堡大学The University of Edinburgh,3.3,429.0,0.82,0.73,免费评估
5,埃克塞特大学University of Exeter,,388.0,0.83,0.83,免费评估
5,圣安德鲁斯大学University of St Andrews,2.3,398.0,0.87,0.78,免费评估
7,阿伯丁大学University of Aberdeen,2.8,459.0,0.8,0.75,免费评估
8,诺丁汉大学University of Nottingham,3.0,390.0,0.78,0.74,免费评估
9,谢菲尔德大学The University of Sheffield,3.1,363.0,0.83,0.69,免费评估
10,格拉斯哥大学University of Glasgow,2.1,368.0,0.81,0.78,免费评估
11,卡迪夫大学Cardiff University,1.8,359.0,0.84,0.7,免费评估
12,曼彻斯特大学The University of Manchester,3.3,373.0,0.8,0.58,免费评估
13,兰卡斯特大学Lancaster University,2.6,373.0,0.81,0.63,免费评估
14,圣玛丽学院St Mary's College,2.0,255.0,0.83,0.79,免费评估
15,奇切斯特大学University of Chichester,1.1,279.0,0.91,,免费评估
15,布里斯托大学University of Bristol,2.4,408.0,0.7,0.75,免费评估
17,肯特大学University of Kent,1.9,323.0,0.74,0.79,免费评估
18,兰彼得大学University of Wales Lampeter,1.8,265.0,0.75,0.86,免费评估
19,伦敦国王学院King's College London,2.7,414.0,0.71,0.64,免费评估
20,赫尔大学The University of Hull,,354.0,0.82,0.79,免费评估
21,伦敦大学亚非学院SOAS University of London,2.8,336.0,0.73,0.69,免费评估
22,切斯特大学University of Chester,1.5,272.0,0.81,0.74,免费评估
23,班戈大学Bangor University,1.6,293.0,0.8,0.71,免费评估
23,利兹大学University of Leeds,2.5,358.0,0.79,0.55,免费评估
25,斯特林大学University of Stirling,1.6,,0.83,0.61,免费评估
26,纽曼大学Newman University,,231.0,0.85,0.81,免费评估
27,海斯罗珀学院Heythrop College of the University of London,0.7,326.0,0.85,0.62,免费评估
28,伯明翰大学University of Birmingham,2.7,357.0,0.7,0.61,免费评估
29,牛津布鲁克斯大学Oxford Brookes University,,319.0,0.88,0.63,免费评估
30,格罗斯特大学University of Gloucestershire,1.7,251.0,0.75,0.76,免费评估
31,英国女王大学Queen's University Belfast,,350.0,0.79,0.7,免费评估
32,约克圣约翰大学York St John University,0.6,267.0,0.87,0.6,免费评估
33,温切斯特大学University of Winchester,0.8,268.0,0.8,0.62,免费评估
34,哥比亚大学University of Cumbria,1.1,279.0,0.72,0.69,免费评估
35,巴斯斯巴大学Bath Spa University,0.4,318.0,0.83,0.51,免费评估
36,罗汉普顿大学Roehampton University,1.4,223.0,0.72,0.69,免费评估
37,坎特伯雷大学Canterbury Christ Church University,0.9,270.0,0.73,0.57,免费评估
