Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
74,National Taiwan University (NTU),Taiwan,50.9,57.4,76.4,74.1,70.9,免费评估
75,George Washington University,United States,83.6,88.6,68.0,65.6,70.7,免费评估
76,O.P. Jindal Global University,India,45.1,57.6,73.5,80.3,70.5,免费评估
76,布里斯托大学University of Bristol,United Kingdom,72.6,82.3,67.9,71.8,70.5,免费评估
76,University of Geneva,Switzerland,62.7,75.6,76.8,63.1,70.5,免费评估
79,曼彻斯特大学The University of Manchester,United Kingdom,81.7,90.2,62.9,74.0,70.4,免费评估
80,Universidad Carlos III de Madrid (UC3M),Spain,68.2,73.9,67.1,76.1,70.3,免费评估
81,University College Dublin,Ireland,70.5,88.5,68.2,70.3,70.2,免费评估
82,Tilburg University,Netherlands,81.7,87.7,68.1,64.7,70.1,免费评估
83,University of Oslo,Norway,79.5,87.3,74.5,54.4,69.9,免费评估
84,Universidad de Chile,Chile,59.4,72.3,67.3,78.5,69.7,免费评估
84,Yonsei University,South Korea,61.1,84.6,67.5,75.2,69.7,免费评估
86,University of Zurich,Switzerland,71.6,85.8,67.7,69.2,69.6,免费评估
87,Wuhan University,China (Mainland),62.7,80.1,71.2,68.4,69.5,免费评估
88,Fudan University,China (Mainland),53.3,77.8,67.6,79.2,69.4,免费评估
88,Keio University,Japan,48.2,56.0,72.2,77.6,69.4,免费评估
90,Universität Hamburg,Germany,73.6,82.9,73.3,58.2,69.3,免费评估
91,Goethe-University Frankfurt am Main,Germany,68.2,83.0,72.9,60.7,69.0,免费评估
92,Universidad Externado de Colombia,Colombia,50.9,57.4,72.1,74.4,68.9,免费评估
93,诺丁汉大学University of Nottingham,United Kingdom,74.6,85.2,67.3,65.6,68.8,免费评估
93,华威大学The University of Warwick,United Kingdom,76.3,83.3,62.5,73.1,68.8,免费评估
93,利兹大学University of Leeds,United Kingdom,80.3,88.0,63.6,68.6,68.8,免费评估
96,Universidad Autónoma de Madrid,Spain,53.3,66.5,69.6,75.0,68.6,免费评估
97,European University Institute,Italy,75.5,85.2,76.5,49.0,68.5,免费评估
98,Boston University,United States,79.5,90.5,60.2,72.9,68.4,免费评估
98,University of Milan,Italy,69.4,78.0,68.7,65.7,68.4,免费评估
100,University College Cork,Ireland,64.2,81.4,68.7,67.4,68.3,免费评估
