Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,诺丁汉大学University of Nottingham,80%,3.1/9,351.0,60.00%,100.0,免费评估
1,雷丁大学University of Reading,83%,2.4/9,334.0,74.00%,100.0,免费评估
3,哈珀亚当斯大学Harper Adams University,89%,1.2/9,294.0,81.00%,96.3,免费评估
4,纽卡斯尔大学Newcastle University,82%,2.1/9,306.0,62.00%,93.2,免费评估
5,The Queen's,78%,1.8/9,304.0,69.00%,91.1,免费评估
6,亚伯大学Aberystwyth University,86%,2.5/9,262.0,43.00%,88.8,免费评估
7,阿伯丁大学University of Aberdeen,,3.3/9,,29.00%,87.3,免费评估
8,班戈大学Bangor University,,2.1/9,290.0,44.00%,86.5,免费评估
9,格林威治大学The University of Greenwich,,1.7/9,243.0,58.00%,82.6,免费评估
10,西英格兰大学University of the West of England,,2.1/9,262.0,33.00%,79.8,免费评估
11,普利茅斯大学University of Plymouth,77%,0.9/9,293.0,39.00%,79.6,免费评估
12,皇家农学院Royal Agricultural University,80%,0.7/9,253.0,50.00%,79.1,免费评估
13,诺丁汉特伦特大学Nottingham Trent University,78%,,279.0,51.00%,78.0,免费评估
14,布里斯托大学University of Bristol,67%,1.7/9,,50.00%,75.8,免费评估
15,伯恩茅斯大学Bournemouth University,,,208.0,70.00%,74.8,免费评估
16,哥比亚大学University of Cumbria,,0.4/9,276.0,,73.8,免费评估
17,林肯大学University of Lincoln,67%,1.1/9,220.0,56.00%,72.1,免费评估
18,谢菲尔德哈莱姆大学Sheffield Hallam University,78%,,254.0,29.00%,70.8,免费评估
