Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
0,利物浦霍普大学Liverpool Hope University,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,免费评估
1,剑桥大学University of Cambridge,2.6,516.0,0.89,0.67,免费评估
2,格拉斯哥大学University of Glasgow,4.5,416.0,0.86,0.61,免费评估
3,东英吉利大学University of East Anglia,4.4,360.0,0.89,0.59,免费评估
4,约克大学The University of York,4.2,384.0,0.85,0.64,免费评估
5,哈珀亚当斯大学Harper Adams University,4.2,444.0,0.76,0.65,免费评估
6,中央兰开夏大学University of Central Lancashire,3.7,435.0,0.77,0.66,免费评估
7,圣安德鲁斯大学University of St Andrews,3.0,418.0,0.85,0.62,免费评估
8,萨塞克斯大学University of Sussex,4.2,386.0,0.72,0.71,免费评估
9,华威大学The University of Warwick,3.0,423.0,0.8,0.59,免费评估
10,伯明翰大学University of Birmingham,3.6,379.0,0.8,0.53,免费评估
11,爱丁堡大学The University of Edinburgh,2.8,455.0,0.73,0.63,免费评估
12,阿伯丁大学University of Aberdeen,2.9,323.0,0.84,0.6,免费评估
13,雷丁大学University of Reading,2.8,334.0,0.83,0.56,免费评估
14,诺丁汉大学University of Nottingham,3.3,352.0,0.77,0.58,免费评估
15,利兹大学University of Leeds,2.8,373.0,0.82,0.52,免费评估
16,莱斯特大学University of Leicester,2.1,372.0,0.85,,免费评估
16,布里斯托大学University of Bristol,2.4,416.0,0.69,0.7,免费评估
18,伦敦大学金史密斯学院Goldsmiths University of London,2.8,312.0,0.76,0.65,免费评估
19,南安普顿大学University of Southampton,2.5,,0.83,0.48,免费评估
20,伦敦大学亚非学院SOAS University of London,3.1,315.0,0.78,0.54,免费评估
21,曼彻斯特大学The University of Manchester,4.2,347.0,0.72,0.45,免费评估
22,金斯顿大学Kingston University,2.3,,0.77,0.48,免费评估
23,牛津布鲁克斯大学Oxford Brookes University,2.6,329.0,0.8,0.37,免费评估
24,布莱顿大学University of Brighton,3.6,272.0,0.71,0.47,免费评估
25,普利茅斯大学University of Plymouth,2.3,288.0,0.76,0.37,免费评估
26,罗汉普顿大学Roehampton University,,232.0,0.72,0.47,免费评估
