Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,Princeton University,United States,94.7,84.6,96.3,99.3,95.4,96.0,免费评估
2,Massachusetts Institute of Technology,United States,92.7,86.3,95.8,98.8,76.3,94.8,免费评估
3,Stanford University,United States,94.1,84.0,93.3,99.9,71.5,94.6,免费评估
4,Harvard University,United States,90.4,83.3,98.8,98.9,63.4,94.5,免费评估
5,剑桥大学University of Cambridge,United Kingdom,89.3,88.2,99.4,95.8,83.4,94.1,免费评估
6,California Institute of Technology,United States,94.6,62.9,98.2,99.4,52.9,93.8,免费评估
7,牛津大学University of Oxford,United Kingdom,88.7,93.4,96.4,97.6,62.3,93.6,免费评估
8,ETH Zurich,Switzerland,88.2,97.2,95.2,95.4,53.0,92.5,免费评估
9,"University of California, Berkeley",United States,84.8,66.7,91.8,99.7,62.8,90.0,免费评估
10,Yale University,United States,87.0,80.2,88.8,99.2,34.2,89.9,免费评估
11,帝国理工学院Imperial College London,United Kingdom,84.8,93.1,89.0,94.1,44.9,88.8,免费评估
12,University of Chicago,United States,83.5,81.4,87.5,99.3,33.0,88.7,免费评估
13,Columbia University,United States,83.7,83.7,78.2,99.4,43.2,86.7,免费评估
14,"University of California, Los Angeles",United States,76.7,79.6,88.4,96.8,45.1,86.4,免费评估
15,Cornell University,United States,79.5,78.4,85.0,96.5,39.8,85.9,免费评估
16,Paris Sciences et Lettres – PSL Research University Paris,France,83.9,72.5,83.1,88.9,63.1,84.0,免费评估
17,École Polytechnique Fédérale de Lausanne,Switzerland,72.3,97.6,76.4,95.3,49.3,82.8,免费评估
18,National University of Singapore,Singapore,78.2,94.3,82.9,85.6,38.8,82.3,免费评估
19,Peking University,China,89.7,35.6,87.6,82.9,53.3,81.8,免费评估
20,Tsinghua University,China,87.6,42.9,96.4,72.7,79.8,81.3,免费评估
21,"University of California, Santa Barbara",United States,57.2,68.7,82.3,99.6,100.0,80.9,免费评估
22,University of Michigan-Ann Arbor,United States,71.4,78.6,80.1,89.6,36.9,79.9,免费评估
23,LMU Munich,Germany,71.8,63.8,75.7,91.9,65.0,79.1,免费评估
24,University of Washington,United States,65.7,69.7,74.8,97.7,39.0,79.0,免费评估
25,"University of California, San Diego",United States,64.6,65.1,70.0,94.8,95.9,77.5,免费评估
26,University of Toronto,Canada,65.7,92.0,70.4,91.5,33.8,77.2,免费评估
27,Northwestern University,United States,60.5,72.6,69.2,99.3,47.6,77.1,免费评估
28,爱丁堡大学The University of Edinburgh,United Kingdom,62.6,91.9,66.5,95.0,54.8,77.0,免费评估
29,University of Texas at Austin,United States,60.4,40.6,76.9,96.9,50.2,76.0,免费评估
30,伦敦大学学院University College London,United Kingdom,64.0,93.2,63.9,92.5,46.0,75.7,免费评估
31,University of Wisconsin-Madison,United States,63.1,70.2,69.3,94.1,41.5,75.6,免费评估
32,Technical University of Munich,Germany,68.2,63.9,78.7,80.3,89.0,75.5,免费评估
33,Heidelberg University,Germany,72.9,62.7,61.1,92.4,49.0,75.1,免费评估
34,Australian National University,Australia,52.6,96.6,70.9,91.3,72.4,74.9,免费评估
34,Duke University,United States,67.5,75.7,62.9,90.9,62.9,74.9,免费评估
36,The University of Tokyo,Japan,84.6,34.9,88.7,65.5,52.3,74.5,免费评估
37,University of Pennsylvania,United States,58.7,72.3,65.4,95.8,52.7,74.4,免费评估
38,University of Colorado Boulder,United States,62.5,56.5,64.7,95.9,54.6,74.1,免费评估
39,Johns Hopkins University,United States,59.7,75.0,64.0,94.2,56.2,74.0,免费评估
40,University of Illinois at Urbana-Champaign,United States,59.9,58.4,71.1,91.4,55.5,73.8,免费评估
41,École Polytechnique,France,74.1,79.7,70.5,73.7,47.1,72.7,免费评估
41,New York University,United States,53.0,84.5,62.5,95.3,51.1,72.7,免费评估
43,"Nanyang Technological University, Singapore",Singapore,51.8,91.2,60.4,90.5,100.0,71.9,免费评估
44,Georgia Institute of Technology,United States,50.4,75.9,62.7,96.2,40.3,71.5,免费评估
45,Pennsylvania State University (Main campus),United States,56.2,62.3,67.0,89.8,48.1,71.2,免费评估
46,"University of Maryland, College Park",United States,53.4,41.4,64.5,97.2,44.6,70.7,免费评估
47,Sorbonne University,France,67.9,67.9,60.1,80.4,33.7,69.3,免费评估
48,曼彻斯特大学The University of Manchester,United Kingdom,52.1,83.1,65.2,83.6,47.8,69.0,免费评估
49,Chinese University of Hong Kong,Hong Kong,53.8,97.2,53.3,89.3,35.9,68.9,免费评估
49,Rice University,United States,48.4,79.9,48.7,99.7,48.0,68.8,免费评估
50,Moscow Institute of Physics and Technology,Russian Federation,82.0,66.0,75.8,50.8,100.0,68.6,免费评估
51,Delft University of Technology,Netherlands,55.9,84.7,66.5,74.4,100.0,68.5,免费评估
51,University of Science and Technology of China,China,75.8,26.5,69.4,72.1,52.1,68.5,免费评估
52,University of British Columbia,Canada,50.8,91.6,55.9,89.0,42.0,68.4,免费评估
54,University of Hong Kong,Hong Kong,58.9,98.9,63.5,74.3,40.1,68.1,免费评估
55,布里斯托大学University of Bristol,United Kingdom,50.2,77.3,53.1,93.5,41.9,68.0,免费评估
56,Carnegie Mellon University,United States,47.1,78.4,51.9,96.3,31.9,67.6,免费评估
58,The Hong Kong University of Science and Technology,Hong Kong,43.9,94.9,54.6,89.8,37.8,66.6,免费评估
58,"University of California, Davis",United States,48.1,72.9,57.1,89.0,37.4,66.5,免费评估
59,McGill University,Canada,55.8,89.1,53.5,81.6,30.4,66.1,免费评估
60,Brown University,United States,49.6,73.4,43.6,97.3,33.9,66.0,免费评估
60,Utrecht University,Netherlands,46.6,63.6,49.8,94.9,62.7,66.0,免费评估
62,Humboldt University of Berlin,Germany,61.7,62.4,47.9,85.3,43.8,65.8,免费评估
62,Kyoto University,Japan,76.5,27.8,82.5,50.2,96.0,65.8,免费评估
64,University of Melbourne,Australia,49.1,86.7,51.4,84.2,84.3,65.7,免费评估
65,"University of California, Irvine",United States,38.5,82.5,48.0,98.0,49.5,65.5,免费评估
67,University of Arizona,United States,48.6,59.7,57.4,83.2,91.3,65.0,免费评估
68,"University of California, Santa Cruz",United States,39.3,64.2,49.0,99.3,34.2,64.7,免费评估
69,Karlsruhe Institute of Technology,Germany,51.3,54.9,56.1,83.1,68.5,64.4,免费评估
70,Leiden University,Netherlands,45.1,74.6,46.6,89.0,83.1,64.1,免费评估
71,Fudan University,China,57.7,25.3,56.1,83.7,51.8,63.8,免费评估
72,Nanjing University,China,62.6,46.4,58.6,68.8,97.9,63.4,免费评估
72,RWTH Aachen University,Germany,53.8,51.8,51.6,81.7,79.5,63.4,免费评估
74,Lund University,Sweden,37.9,94.5,46.2,87.0,99.9,63.2,免费评估
75,南安普顿大学University of Southampton,United Kingdom,42.6,85.7,50.4,86.1,34.8,63.0,免费评估
75,Wageningen University & Research,Netherlands,33.3,75.8,41.4,98.1,100.0,63.0,免费评估
77,University of Zurich,Switzerland,44.0,95.7,35.8,93.4,38.3,62.8,免费评估
78,National Research Nuclear University MEPhI,Russian Federation,69.8,74.1,59.8,52.3,100.0,62.0,免费评估
79,Stockholm University,Sweden,35.9,73.1,41.1,97.4,35.8,61.7,免费评估
79,Uppsala University,Sweden,48.3,76.9,47.9,77.3,96.4,61.7,免费评估
81,华威大学The University of Warwick,United Kingdom,46.5,85.7,44.6,79.4,64.7,60.9,免费评估
82,KU Leuven,Belgium,45.9,72.6,57.0,69.9,100.0,60.7,免费评估
83,École Normale Supérieure de Lyon,France,51.8,62.7,41.9,82.2,55.6,60.6,免费评估
84,Sungkyunkwan University (SKKU),South Korea,40.5,40.6,48.4,86.6,99.8,60.3,免费评估
85,Colorado School of Mines,United States,45.4,38.7,43.3,88.0,84.9,60.2,免费评估
85,University of Göttingen,Germany,46.3,62.2,44.3,85.1,31.1,60.2,免费评估
87,University of Copenhagen,Denmark,40.8,89.6,29.6,93.7,47.6,60.1,免费评估
87,University of Groningen,Netherlands,38.2,72.5,44.0,86.1,77.8,60.1,免费评估
87,Michigan State University,United States,41.2,78.5,48.9,81.7,31.9,60.1,免费评估
90,杜伦大学Durham University,United Kingdom,38.0,76.6,39.8,90.4,46.8,60.0,免费评估
90,伦敦国王学院King's College London,United Kingdom,35.5,94.8,37.3,91.7,31.3,60.0,免费评估
92,Paris Diderot University – Paris 7,France,39.7,74.9,37.3,92.5,30.4,59.9,免费评估
92,Seoul National University,South Korea,65.9,29.1,60.2,59.9,84.9,59.9,免费评估
94,Korea Advanced Institute of Science and Technology (KAIST),South Korea,52.8,25.0,59.2,70.3,100.0,59.8,免费评估
95,Boston University,United States,33.5,66.0,42.3,94.1,33.0,59.5,免费评估
96,University of Freiburg,Germany,40.3,58.6,42.5,84.9,100.0,59.4,免费评估
96,Lomonosov Moscow State University,Russian Federation,82.1,57.9,86.1,18.8,89.2,59.4,免费评估
98,City University of Hong Kong,Hong Kong,35.2,99.1,39.1,82.7,100.0,59.3,免费评估
98,Université Catholique de Louvain,Belgium,30.9,86.5,38.6,92.3,58.3,59.3,免费评估
100,University of Hamburg,Germany,46.5,61.0,44.9,78.1,87.0,59.2,免费评估
