Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
0,利物浦霍普大学Liverpool Hope University,,,,,免费评估
1,剑桥大学University of Cambridge,2.9,,0.86,0.85,免费评估
2,牛津大学University of Oxford,3.8,510.0,0.7,0.73,免费评估
3,伦敦大学学院University College London,3.0,424.0,0.78,0.87,免费评估
4,拉夫堡大学Loughborough University,2.9,368.0,0.9,0.74,免费评估
4,爱丁堡大学The University of Edinburgh,2.6,434.0,0.91,0.69,免费评估
6,邓迪大学University of Dundee,3.2,391.0,0.81,0.74,免费评估
7,布里斯托大学University of Bristol,2.6,425.0,0.81,0.78,免费评估
8,曼彻斯特大学The University of Manchester,3.1,418.0,0.83,0.63,免费评估
9,阿伯丁大学University of Aberdeen,1.8,415.0,0.9,0.78,免费评估
10,利兹大学University of Leeds,2.8,383.0,0.88,0.63,免费评估
11,卡迪夫大学Cardiff University,2.6,407.0,0.79,0.71,免费评估
12,利物浦大学The University of Liverpool,2.4,400.0,0.85,0.65,免费评估
13,伦敦国王学院King's College London,2.8,380.0,0.77,0.71,免费评估
13,纽卡斯尔大学Newcastle University,2.7,393.0,0.82,0.64,免费评估
15,诺丁汉大学University of Nottingham,1.9,418.0,0.83,0.75,免费评估
16,萨塞克斯大学University of Sussex,2.8,364.0,0.79,0.67,免费评估
17,格拉斯哥大学University of Glasgow,2.6,384.0,0.78,0.61,免费评估
18,索尔福德大学University of Salford,1.7,,0.84,0.69,免费评估
19,莱斯特大学University of Leicester,,378.0,,0.8,免费评估
20,布拉德福德大学University of Bradford,1.8,256.0,0.84,0.59,免费评估
21,诺丁汉特伦特大学Nottingham Trent University,2.7,254.0,0.69,0.62,免费评估
22,谢菲尔德大学The University of Sheffield,,392.0,0.8,0.72,免费评估
23,英国女王大学Queen's University Belfast,,340.0,0.83,0.72,免费评估
24,东伦敦大学University of East London,,281.0,0.64,1.0,免费评估
25,北安普顿大学The University of Northampton,,219.0,,0.83,免费评估
26,阿尔斯特大学University of Ulster,,285.0,0.69,0.82,免费评估
27,威斯敏斯特大学University of Westminster,,235.0,0.69,0.41,免费评估
