Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
74,东伦敦大学University of East London,106.0,3.94,3.1,51.0,88.6,免费评估
75,温切斯特大学University of Winchester,105.0,4.02,2.59,54.0,88.5,免费评估
76,切斯特大学University of Chester,107.0,3.94,1.81,67.0,88.3,免费评估
77,金斯顿大学Kingston University,107.0,4.07,2.84,49.0,88.3,免费评估
78,"Glyndwr University, Wrexham",,4.1,1.77,58.0,88.3,免费评估
79,格林威治大学The University of Greenwich,122.0,3.72,2.01,61.0,88.3,免费评估
80,西伦敦大学University of West London,108.0,3.96,2.21,61.0,88.0,免费评估
81,哈德斯菲尔德大学University of Huddersfield,111.0,3.87,,69.0,88.0,免费评估
82,利兹贝克特大学Leeds Beckett University,102.0,4.18,2.3,48.0,87.4,免费评估
83,布莱顿大学University of Brighton,111.0,3.79,2.9,44.0,87.2,免费评估
84,米德塞斯大学Middlesex University,103.0,3.8,2.54,51.0,86.8,免费评估
85,格罗斯特大学University of Gloucestershire,110.0,3.94,,60.0,86.7,免费评估
86,伦敦都市大学London Metropolitan University,89.0,3.68,2.4,65.0,86.7,免费评估
87,剑桥安鲁大学Anglia Ruskin University,99.0,3.9,2.7,40.0,86.5,免费评估
88,南威尔士大学The University of South Wales,114.0,3.76,2.7,43.0,86.3,免费评估
89,利兹圣三一大学Leeds Trinity University,97.0,3.73,2.01,63.0,86.2,免费评估
90,贝德福德大学University of Bedfordshire,85.0,4.08,2.55,50.0,85.8,免费评估
91,哥比亚大学University of Cumbria,109.0,3.7,,58.0,85.6,免费评估
92,北安普顿大学The University of Northampton,101.0,3.99,,55.0,85.3,免费评估
93,波尔顿大学University of Bolton,104.0,4.05,,51.0,85.1,免费评估
94,约克圣约翰大学York St John University,107.0,4.09,1.9,40.0,84.5,免费评估
95,奇切斯特大学University of Chichester,119.0,3.86,,41.0,84.2,免费评估
96,新白金汉大学Buckinghamshire New University,111.0,3.56,,46.0,83.4,免费评估
97,布拉德福德大学University of Bradford,101.0,3.83,,28.0,80.5,免费评估
