Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,3.4,504,0.88,0.75,免费评估
2,杜伦大学Durham University,3.9,416,0.86,0.77,免费评估
3,牛津大学University of Oxford,3.6,469,0.79,0.73,免费评估
4,伦敦大学学院University College London,3.3,395,0.88,0.71,免费评估
5,雷丁大学University of Reading,3.8,312,0.9,0.67,免费评估
6,约克大学The University of York,3.1,389,0.9,0.63,免费评估
7,谢菲尔德大学The University of Sheffield,3.1,375,0.84,0.7,免费评估
8,埃克塞特大学University of Exeter,2.9,363,0.9,0.57,免费评估
9,莱斯特大学University of Leicester,3.2,353,0.82,0.6,免费评估
10,格拉斯哥大学University of Glasgow,2.3,362,0.86,0.66,免费评估
11,英国女王大学Queen's University Belfast,3.1,289,0.83,0.64,免费评估
12,利物浦大学The University of Liverpool,3.3,352,0.78,0.55,免费评估
13,布里斯托大学University of Bristol,2.5,404,0.75,0.61,免费评估
13,诺丁汉大学University of Nottingham,2.9,339,0.77,0.61,免费评估
15,南安普顿大学University of Southampton,3.2,316,0.84,0.5,免费评估
16,曼彻斯特大学The University of Manchester,2.7,321,0.78,0.59,免费评估
17,爱丁堡大学The University of Edinburgh,2.9,415,0.75,0.48,免费评估
18,邓迪大学University of Dundee,,405,0.86,0.69,免费评估
19,罗伯特高登大学The Robert Gordon University,,332,,0.78,免费评估
20,卡迪夫大学Cardiff University,2.6,334,0.79,0.54,免费评估
21,伯明翰大学University of Birmingham,2.4,367,0.76,0.55,免费评估
22,布拉德福德大学University of Bradford,2.7,260,0.74,0.66,免费评估
23,纽卡斯尔大学Newcastle University,2.5,335,0.76,0.54,免费评估
24,中央兰开夏大学University of Central Lancashire,1.3,283,0.81,0.68,免费评估
25,赫尔大学The University of Hull,,295,0.88,0.71,免费评估
25,肯特大学University of Kent,1.2,301,0.77,0.68,免费评估
27,兰彼得大学University of Wales Lampeter,2.5,268,0.72,0.58,免费评估
28,伯恩茅斯大学Bournemouth University,1.9,249,0.79,0.59,免费评估
29,诺丁汉特伦特大学Nottingham Trent University,1.6,248,0.69,0.68,免费评估
30,西英格兰大学University of the West of England,,268,0.86,0.64,免费评估
31,斯塔福德郡大学Staffordshire University,,249,0.82,0.61,免费评估
32,林肯大学University of Lincoln,,286,0.78,0.6,免费评估
33,格拉摩根大学University of Glamorgan,,297,0.73,0.64,免费评估
34,斯旺西大学Swansea University,,344,0.75,0.48,免费评估
35,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,,316,0.71,0.53,免费评估
36,切斯特大学University of Chester,,238,0.77,0.55,免费评估
37,剑桥安鲁大学Anglia Ruskin University,,355,0.58,0.61,免费评估
38,利物浦约翰摩尔斯大学Liverpool John Moores University,,241,0.71,0.6,免费评估
39,德比大学University of Derby,,227,0.73,0.58,免费评估
40,蒂赛德大学Teesside University,,262,0.73,0.53,免费评估
41,德蒙福特大学De Montfort University,,219,0.59,0.74,免费评估
42,温切斯特大学University of Winchester,1.2,204,0.77,0.36,免费评估
43,伍尔弗汉普顿大学University of Wolverhampton,,206,0.65,0.59,免费评估
44,坎特伯雷大学Canterbury Christ Church University,,220,0.68,0.41,免费评估
45,金斯顿大学Kingston University,,218,0.63,0.44,免费评估
