Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
79,利物浦约翰摩尔斯大学Liverpool John Moores University,86.0,13.3,332,34.9,72.4,免费评估
80,伯明翰城市大学Birmingham City University,79.0,10.0,305,56.0,71.7,免费评估
80,伍斯特大学University of Worcester,84.5,11.7,290,43.0,71.7,免费评估
82,贝德福德大学University of Bedfordshire,85.8,23.3,218,40.0,71.6,免费评估
83,谢菲尔德哈莱姆大学Sheffield Hallam University,82.4,13.3,340,38.7,71.5,免费评估
84,布莱顿大学University of Brighton,80.2,15.0,333,42.8,71.3,免费评估
85,蒂赛德大学Teesside University,84.5,,345,38.6,70.4,免费评估
86,法尔茅斯大学Falmouth University,83.3,,281,50.0,70.2,免费评估
87,威斯敏斯特大学University of Westminster,77.7,6.7,316,53.3,70.1,免费评估
87,约克圣约翰大学York St John University,82.1,3.3,299,47.6,70.1,免费评估
89,阿尔斯特大学University of Ulster,84.2,15.0,281,33.0,69.5,免费评估
90,坎特伯雷大学Canterbury Christ Church University,85.1,6.7,290,33.8,68.9,免费评估
91,中央兰开夏大学University of Central Lancashire,83.7,6.7,299,33.8,68.5,免费评估
92,伦敦都市大学London Metropolitan University,79.7,,219,56.3,67.3,免费评估
93,利兹都会大学Leeds Metropolitan University,80.2,,284,43.1,66.8,免费评估
94,"圣马克与圣约翰大学University of St Mark & St John, Plymouth",88.2,0.0,247,22.2,65.4,免费评估
95,利兹圣三一大学Leeds Trinity University,75.0,11.7,289,38.3,65.0,免费评估
96,米德塞斯大学Middlesex University,68.5,15.0,262,53.1,64.4,免费评估
97,斯塔福德郡大学Staffordshire University,74.3,11.7,239,38.3,63.0,免费评估
98,东伦敦大学University of East London,77.1,,237,37.5,62.0,免费评估
99,波尔顿大学University of Bolton,69.4,3.3,254,45.2,60.6,免费评估
