Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,阿斯顿大学Aston University,2.5,386.0,0.89,0.96,免费评估
2,利兹大学University of Leeds,3.1,325.0,0.83,1.0,免费评估
3,卡迪夫大学Cardiff University,2.8,384.0,0.79,0.92,免费评估
4,剑桥大学University of Cambridge,,558.0,0.86,0.84,免费评估
5,纽卡斯尔大学Newcastle University,2.7,427.0,0.82,0.76,免费评估
6,兰卡斯特大学Lancaster University,3.0,364.0,0.8,0.8,免费评估
7,曼彻斯特大学The University of Manchester,2.7,403.0,0.72,0.93,免费评估
8,埃克塞特大学University of Exeter,2.8,351.0,0.78,0.88,免费评估
9,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,2.7,377.0,0.78,0.8,免费评估
10,布拉德福德大学University of Bradford,1.8,375.0,0.8,0.87,免费评估
11,赫尔大学The University of Hull,2.9,,0.75,0.81,免费评估
11,思克莱德大学University of Strathclyde,2.7,396.0,0.72,0.83,免费评估
13,诺丁汉大学University of Nottingham,2.0,351.0,0.81,0.83,免费评估
14,帝国理工学院Imperial College London,,474.0,,0.82,免费评估
15,伦敦大学玛丽女王学院Queen Mary University of London,3.0,,0.73,0.84,免费评估
16,谢菲尔德大学The University of Sheffield,2.6,373.0,0.79,0.71,免费评估
17,朴茨茅斯大学University of Portsmouth,2.6,279.0,0.77,0.92,免费评估
18,南安普顿大学University of Southampton,1.1,391.0,0.82,0.81,免费评估
19,伦敦国王学院King's College London,2.6,381.0,0.75,0.76,免费评估
20,罗伯特高登大学The Robert Gordon University,1.3,379.0,,0.87,免费评估
21,西英格兰大学University of the West of England,2.8,287.0,0.78,0.79,免费评估
22,阿尔斯特大学University of Ulster,2.7,340.0,0.71,0.85,免费评估
22,肯特大学University of Kent,1.6,282.0,0.86,0.77,免费评估
24,伦敦城市大学City University London,1.8,303.0,0.73,0.94,免费评估
25,利物浦大学The University of Liverpool,2.0,346.0,0.68,0.93,免费评估
26,杜伦大学Durham University,,390.0,0.84,0.78,免费评估
27,剑桥安鲁大学Anglia Ruskin University,1.1,326.0,0.77,0.89,免费评估
28,牛津布鲁克斯大学Oxford Brookes University,1.7,337.0,0.77,0.76,免费评估
29,伦敦大学学院University College London,3.1,372.0,0.69,0.69,免费评估
30,布莱顿大学University of Brighton,0.9,303.0,0.82,0.81,免费评估
31,赫特福德大学University of Hertfordshire,2.4,279.0,0.72,0.85,免费评估
32,班戈大学Bangor University,,346.0,0.75,1.0,免费评估
33,伯明翰大学University of Birmingham,,423.0,0.79,0.76,免费评估
34,诺丁汉特伦特大学Nottingham Trent University,2.7,279.0,0.7,0.82,免费评估
35,雷丁大学University of Reading,,448.0,,0.7,免费评估
36,诺桑比亚大学Northumbria University,1.5,286.0,0.79,0.78,免费评估
37,东英吉利大学University of East Anglia,0.8,379.0,0.78,0.7,免费评估
38,谢菲尔德哈莱姆大学Sheffield Hallam University,1.2,322.0,0.75,0.81,免费评估
39,索尔福德大学University of Salford,1.7,274.0,0.75,0.8,免费评估
40,蒂赛德大学Teesside University,1.0,282.0,0.81,0.74,免费评估
41,玛格丽特女王大学Queen Margaret University,0.5,357.0,,0.81,免费评估
42,北安普顿大学The University of Northampton,0.8,240.0,0.77,0.92,免费评估
43,"圣乔治医学院St George's, University of London",,307.0,0.78,0.88,免费评估
44,斯旺西大学Swansea University,2.8,329.0,0.72,0.57,免费评估
45,威尔士大学卡迪夫学院UWIC,1.0,300.0,0.75,0.78,免费评估
46,哥比亚大学University of Cumbria,0.1,305.0,,0.88,免费评估
47,中央兰开夏大学University of Central Lancashire,1.5,257.0,0.78,0.65,免费评估
48,考文垂大学Coventry University,0.9,303.0,,0.76,免费评估
49,基尔大学Keele University,,318.0,,0.79,免费评估
50,曼彻斯特城市大学Manchester Metropolitan University,1.5,333.0,0.71,0.66,免费评估
51,布里斯托大学University of Bristol,,316.0,0.75,0.8,免费评估
52,东伦敦大学University of East London,1.7,237.0,0.74,0.72,免费评估
53,德蒙福特大学De Montfort University,1.4,255.0,0.74,0.71,免费评估
54,伯明翰城市大学Birmingham City University,,292.0,,0.81,免费评估
54,约克圣约翰大学York St John University,,0.3,292.0,0.78,免费评估
56,利兹都会大学Leeds Metropolitan University,0.6,302.0,0.75,0.69,免费评估
57,伦敦南岸大学London South Bank University,,180.0,0.78,0.91,免费评估
58,米德塞斯大学Middlesex University,1.5,224.0,0.65,0.89,免费评估
59,贝德福德大学University of Bedfordshire,,188.0,0.75,0.93,免费评估
60,布鲁内尔大学Brunel University,1.4,337.0,0.63,0.74,免费评估
61,坎特伯雷大学Canterbury Christ Church University,0.4,261.0,0.68,0.84,免费评估
62,格林威治大学The University of Greenwich,,234.0,0.83,0.6,免费评估
62,威斯敏斯特大学University of Westminster,1.9,207.0,0.68,0.71,免费评估
64,龙比亚大学Napier University,0.9,,,0.68,免费评估
65,埃塞克斯大学University of Essex,,235.0,,0.8,免费评估
66,切斯特大学University of Chester,0.8,261.0,0.76,0.57,免费评估
67,普利茅斯大学University of Plymouth,0.5,308.0,0.65,0.76,免费评估
68,金斯顿大学Kingston University,1.4,,0.72,0.57,免费评估
69,格拉摩根大学University of Glamorgan,0.1,329.0,0.57,0.93,免费评估
70,罗汉普顿大学Roehampton University,1.0,,0.74,0.56,免费评估
71,利物浦约翰摩尔斯大学Liverpool John Moores University,1.4,226.0,0.75,0.51,免费评估
72,林肯大学University of Lincoln,0.5,231.0,0.74,0.63,免费评估
73,哈德斯菲尔德大学University of Huddersfield,,245.0,0.73,0.68,免费评估
74,圣玛丽学院St Mary's College,,268.0,0.78,0.52,免费评估
75,德比大学University of Derby,,256.0,0.64,0.76,免费评估
76,伍尔弗汉普顿大学University of Wolverhampton,1.1,167.0,0.7,0.58,免费评估
76,伯明翰大学University of Birmingham,,199.0,0.73,0.62,免费评估
78,阿伯泰邓迪大学University of Abertay Dundee,0.7,269.0,,0.42,免费评估
79,伍斯特大学University of Worcester,0.6,,,0.48,免费评估
