Rank,University,Country,Score,Free
1,Harvard University,United States,100.0,免费评估
2,伦敦国王学院King's College London,United Kingdom,94.3,免费评估
3,斯坦福大学Stanford University,United States,88.7,免费评估
4,耶鲁大学Yale University,United States,87.7,免费评估
5,哥伦比亚大学Columbia University,United States,87.1,免费评估
6,University of California--Los Angeles,United States,85.5,免费评估
7,伦敦大学学院University College London,United Kingdom,82.4,免费评估
8,牛津大学University of Oxford,United Kingdom,81.3,免费评估
9,University of Toronto,Canada,80.3,免费评估
10,杜克大学Duke University,United States,80.1,免费评估
11,宾夕法尼亚大学University of Pennsylvania,United States,79.8,免费评估
12,剑桥大学University of Cambridge,United Kingdom,78.8,免费评估
13,University of California--San Diego,United States,78.3,免费评估
14,University of Pittsburgh,United States,77.3,免费评估
15,Karolinska Institute,Sweden,76.6,免费评估
15,University of Michigan--Ann Arbor,United States,76.6,免费评估
17,约翰霍普金斯大学Johns Hopkins University,United States,75.8,免费评估
18,New York University,United States,75.7,免费评估
19,墨尔本大学The University of Melbourne,Australia,74.4,免费评估
20,麻省理工学院Massachusetts Institute of Technology,United States,74.0,免费评估
20,University of British Columbia,Canada,74.0,免费评估
22,University of Minnesota--Twin Cities,United States,73.5,免费评估
23,University of North Carolina--Chapel Hill,United States,73.4,免费评估
24,University of Amsterdam,Netherlands,73.3,免费评估
25,圣路易斯华盛顿大学Washington University in St Louis,United States,72.3,免费评估
26,University of California--Berkeley,United States,72.0,免费评估
27,VU University Amsterdam,Netherlands,71.9,免费评估
28,Catholic University of Leuven,Belgium,71.5,免费评估
29,University of Groningen,Netherlands,70.7,免费评估
30,Utrecht University,Netherlands,69.9,免费评估
31,University of Washington,United States,69.7,免费评估
32,芝加哥大学The University of Chicago,United States,69.3,免费评估
33,康奈尔大学Cornell University,United States,69.2,免费评估
34,新南威尔士大学The University of New South Wales,Australia,68.9,免费评估
35,范德堡大学Vanderbilt University,United States,68.4,免费评估
36,University of California--San Francisco,United States,68.3,免费评估
37,University of Munich,Germany,68.2,免费评估
38,Maastricht University,Netherlands,67.3,免费评估
39,McGill University,Canada,67.2,免费评估
40,University of California--Davis,United States,67.1,免费评估
41,西北大学Northwestern University,United States,67.0,免费评估
41,普林斯顿大学Princeton University,United States,67.0,免费评估
43,埃默里大学Emory University,United States,66.2,免费评估
44,Radboud University Nijmegen,Netherlands,65.2,免费评估
45,University of Wisconsin--Madison,United States,64.9,免费评估
46,Aarhus University,Denmark,64.8,免费评估
46,Ohio State University--Columbus,United States,64.8,免费评估
48,波士顿大学Boston Universiy,United States,64.7,免费评估
49,Ghent University,Belgium,64.0,免费评估
49,University of Queensland Australia,Australia,64.0,免费评估
51,University of Zurich,Switzerland,63.7,免费评估
52,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,62.7,免费评估
53,匹兹堡州立大学Pittsburg State University,United States,61.6,免费评估
54,University of Texas--Austin,United States,61.3,免费评估
54,"弗吉尼亚大学University of Virginia,Main Campus",United States,61.3,免费评估
56,University of Barcelona,Spain,61.2,免费评估
57,Humboldt-Universität zu Berlin,Germany,60.7,免费评估
58,University of Rochester,United States,60.1,免费评估
59,University of California--Irvine,United States,59.8,免费评估
59,悉尼大学The University of Sydney,Australia,59.8,免费评估
61,Technical University of Dresden,Germany,59.7,免费评估
62,布朗大学Brown University,United States,59.6,免费评估
62,卡迪夫大学Cardiff University,United Kingdom,59.6,免费评估
64,University of Copenhagen,Denmark,59.5,免费评估
64,南加州大学University of Southern California,United States,59.5,免费评估
66,Heidelberg University,Germany,59.3,免费评估
67,密歇根州立大学Michigan State University,United States,59.0,免费评估
68,爱荷华大学University of Iowa,United States,58.6,免费评估
68,曼彻斯特大学The University of Manchester,United Kingdom,58.6,免费评估
68,西澳大学The University of Western Australia,Australia,58.6,免费评估
71,爱丁堡大学The University of Edinburgh,United Kingdom,58.5,免费评估
72,Freie Universität Berlin,Germany,57.7,免费评估
73,Leiden University,Netherlands,57.5,免费评估
74,University of Maryland--College Park,United States,56.9,免费评估
75,布里斯托大学University of Bristol,United Kingdom,56.8,免费评估
76,Arizona State University--Tempe,United States,56.6,免费评估
76,University of Basel,Switzerland,56.6,免费评估
78,Stony Brook University--SUNY,United States,56.3,免费评估
79,Erasmus University Rotterdam,Netherlands,56.1,免费评估
80,Indiana University--Bloomington,United States,55.8,免费评估
80,Universidade de São Paulo,Brazil,55.8,免费评估
82,Mount Sinai School of Medicine,United States,55.6,免费评估
83,迈阿密大学University of Miami,United States,55.3,免费评估
84,Florida State University,United States,55.1,免费评估
85,University of Arizona,United States,54.9,免费评估
86,University of Colorado--Boulder,United States,54.4,免费评估
87,卡内基梅隆大学Carnegie Mellon University,United States,54.1,免费评估
88,University of Hong Kong,Hong Kong,54.0,免费评估
89,University of Geneva,Switzerland,53.7,免费评估
90,Tilburg University,Netherlands,53.5,免费评估
91,Tel Aviv University,Israel,53.0,免费评估
92,萨塞克斯大学University of Sussex,United Kingdom,52.7,免费评估
93,Virginia Commonwealth University,United States,52.6,免费评估
94,University of Illinois--Chicago,United States,52.3,免费评估
95,达特茅斯学院Dartmouth College,United States,51.8,免费评估
96,Birkbeck University London,United Kingdom,51.6,免费评估
97,University of Otago,New Zealand,51.5,免费评估
98,University of Oslo,Norway,51.4,免费评估
99,Hebrew University of Jerusalem,Israel,51.0,免费评估
99,University of Missouri,United States,51.0,免费评估
101,"Eberhard Karls University, Tübingen",Germany,50.6,免费评估
101,University of Oregon,United States,50.6,免费评估
103,佛罗里达大学University of Florida,United States,50.2,免费评估
104,Purdue University--West Lafayette,United States,50.0,免费评估
105,蒙纳士大学Monash University,Australia,49.8,免费评估
106,University of California--Santa Barbara,United States,49.6,免费评估
107,帝国理工学院Imperial College London,United Kingdom,49.5,免费评估
107,McMaster University,Canada,49.5,免费评估
109,University of Connecticut,United States,49.1,免费评估
109,埃克塞特大学University of Exeter,United Kingdom,49.1,免费评估
111,Western University,Canada,49.0,免费评估
112,University of Texas Southwestern Medical Center--Dallas,United States,48.8,免费评估
113,Paris Descartes University-Paris V,France,48.5,免费评估
113,University of Bern,Switzerland,48.5,免费评估
113,University of Montreal,Canada,48.5,免费评估
113,约克大学The University of York,United Kingdom,48.5,免费评估
117,伯明翰大学University of Birmingham,United Kingdom,48.2,免费评估
118,南安普顿大学University of Southampton,United Kingdom,48.1,免费评估
119,University of Bonn,Germany,48.0,免费评估
120,纽卡斯尔大学Newcastle University,United Kingdom,47.7,免费评估
120,"Rutgers, The State University of New Jersey--New Brunswick",United States,47.7,免费评估
122,National University of Singapore,Singapore,47.3,免费评估
123,University of Cologne,Germany,47.2,免费评估
124,德克萨斯A&M大学Texas A & M University,United States,46.1,免费评估
125,麦考瑞大学Macquarie University,Australia,46.0,免费评估
126,Charite - Medical University of Berlin,Germany,45.6,免费评估
126,华威大学The University of Warwick,United Kingdom,45.6,免费评估
128,Yeshiva University,United States,45.5,免费评估
129,Federal University of Rio Grande do Sul,Brazil,45.2,免费评估
129,Sapienza University of Rome,Italy,45.2,免费评估
131,University of Calgary,Canada,45.1,免费评估
132,University of Helsinki,Finland,44.5,免费评估
133,Chinese University Hong Kong,Hong Kong,44.4,免费评估
134,Autonomous University of Barcelona,Spain,44.3,免费评估
134,University of Göttingen,Germany,44.3,免费评估
134,诺丁汉大学University of Nottingham,United Kingdom,44.3,免费评估
137,Baylor College of Medicine,United States,44.1,免费评估
137,York University,Canada,44.1,免费评估
139,Simon Fraser University,Canada,43.8,免费评估
140,格拉斯哥大学University of Glasgow,United Kingdom,43.7,免费评估
140,University of Würzburg,Germany,43.7,免费评估
142,澳大利亚国立大学The Australian National University,Australia,43.6,免费评估
142,University of Maryland--Baltimore,United States,43.6,免费评估
142,University of Padua,Italy,43.6,免费评估
145,University of Leipzig,Germany,43.4,免费评估
145,University of Utah,United States,43.4,免费评估
147,University Catholique of Louvain,Belgium,43.3,免费评估
148,Technical University of Munich,Germany,43.0,免费评估
149,Dalhousie University,Canada,42.7,免费评估
150,塔夫茨大学Tufts University,United States,42.5,免费评估
150,University of Cape Town,South Africa,42.5,免费评估
150,University of Cincinnati,United States,42.5,免费评估
150,University of Waterloo,Canada,42.5,免费评估
154,Peking University,China,42.2,免费评估
155,Philipps University of Marburg,Germany,42.1,免费评估
155,University of South Florida,United States,42.1,免费评估
157,University of Konstanz,Germany,42.0,免费评估
