Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
55,西英格兰大学University of the West of England,63.3,84.7,80.4,65.3,20.9,4.0,118,7.0,75.0,免费评估
57,利物浦霍普大学Liverpool Hope University,62.9,89.1,89.1,78.6,16.4,3.0,107,3.0,61.0,免费评估
57,温切斯特大学University of Winchester,62.9,81.0,82.5,72.7,18.4,3.0,105,9.0,66.0,免费评估
59,布拉德福德大学University of Bradford,62.6,82.8,81.2,67.8,17.1,6.0,128,7.0,67.0,免费评估
60,哥比亚大学University of Cumbria,62.3,90.9,91.0,75.1,10.7,9.0,95,1.0,,免费评估
61,罗伯特高登大学The Robert Gordon University,62.2,87.1,85.6,70.6,24.9,3.0,166,5.0,68.0,免费评估
61,圣大卫三一学院University of Wales Trinity Saint David,62.2,87.3,90.8,88.6,18.6,4.0,105,4.0,53.0,免费评估
63,Lincoln,62.1,84.9,79.7,69.0,21.6,4.0,125,2.0,83.0,免费评估
63,谢菲尔德哈莱姆大学Sheffield Hallam University,62.1,81.4,81.2,66.3,18.7,5.0,117,8.0,72.0,免费评估
65,亚伯大学Aberystwyth University,61.7,77.6,82.9,82.4,17.0,3.0,117,2.0,70.0,免费评估
66,桑德兰大学University of Sunderland,61.6,86.0,84.6,79.7,20.2,9.0,115,2.0,63.0,免费评估
67,利兹圣三一大学Leeds Trinity University,61.5,93.4,92.9,74.5,31.7,3.0,92,10.0,67.0,免费评估
68,阿伯泰邓迪大学University of Abertay Dundee,61.0,85.9,80.9,74.2,18.0,2.0,135,3.0,69.0,免费评估
68,普利茅斯大学University of Plymouth,61.0,83.4,77.4,69.8,19.5,6.0,112,8.0,64.0,免费评估
70,伦敦大学玛丽女王学院Queen Mary University of London,60.7,79.9,76.5,62.8,17.6,5.0,146,5.0,68.0,免费评估
71,斯塔福德郡大学Staffordshire University,60.6,78.4,82.1,74.7,13.9,7.0,112,3.0,68.0,免费评估
72,诺桑比亚大学Northumbria University,60.3,86.0,80.7,65.1,21.5,4.0,141,5.0,72.0,免费评估
73,伦敦城市大学City University London,60.2,75.3,72.6,53.7,22.6,10.0,163,9.0,,免费评估
74,龙比亚大学Napier University,59.8,78.1,80.7,69.9,25.8,4.0,155,8.0,69.0,免费评估
75,伦敦大学皇家霍洛威学院Royal Holloway University of London,59.7,83.9,78.1,54.8,17.7,6.0,148,4.0,69.0,免费评估
76,布里斯托大学University of Bristol,59.6,65.7,67.4,55.4,17.9,5.0,176,5.0,,免费评估
77,赫特福德大学University of Hertfordshire,59.2,79.6,77.4,64.0,19.3,4.0,125,5.0,68.0,免费评估
78,Uni of the Arts London,59.1,73.5,74.9,71.5,18.5,10.0,121,4.0,62.0,免费评估
79,基尔大学Keele University,59.0,85.7,83.3,69.9,19.9,4.0,118,2.0,71.0,免费评估
80,哈珀亚当斯大学Harper Adams University,58.7,80.0,72.8,72.8,16.1,7.0,126,1.0,,免费评估
80,东伦敦大学University of East London,58.7,82.8,80.4,72.4,19.9,4.0,102,7.0,54.0,免费评估
82,伦敦南岸大学London South Bank University,58.0,87.7,83.3,64.4,18.0,4.0,101,6.0,74.0,免费评估
82,奇切斯特大学University of Chichester,58.0,78.3,77.0,64.0,15.8,3.0,129,4.0,65.0,免费评估
84,皇家农学院Royal Agricultural University,57.5,81.8,77.1,65.8,20.9,6.0,102,6.0,65.0,免费评估
85,布莱顿大学University of Brighton,57.2,80.0,80.4,70.1,22.6,3.0,113,7.0,63.0,免费评估
85,埃塞克斯大学University of Essex,57.2,80.8,77.3,62.5,17.1,6.0,112,3.0,73.0,免费评估
87,曼彻斯特城市大学Manchester Metropolitan University,56.9,73.9,73.9,63.3,20.6,4.0,128,5.0,71.0,免费评估
88,蒂赛德大学Teesside University,56.7,72.8,68.4,76.3,17.9,6.0,112,4.0,73.0,免费评估
89,威斯敏斯特大学University of Westminster,55.7,71.9,69.4,58.1,22.7,4.0,130,7.0,67.0,免费评估
90,切斯特大学University of Chester,55.6,80.4,77.6,68.5,18.5,4.0,107,4.0,67.0,免费评估
90,南安普顿索伦特大学Southampton Solent University,55.6,74.9,74.6,63.4,25.0,3.0,107,7.0,74.0,免费评估
92,玛格丽特女王大学Queen Margaret University,55.3,70.4,79.2,63.3,21.4,3.0,142,6.0,68.0,免费评估
93,中央兰开夏大学University of Central Lancashire,54.9,76.3,79.1,67.7,21.0,4.0,128,4.0,68.0,免费评估
94,格林威治大学The University of Greenwich,54.8,75.5,73.6,69.5,21.0,3.0,130,8.0,51.0,免费评估
95,剑桥安鲁大学Anglia Ruskin University,54.6,88.2,86.9,82.9,21.4,7.0,93,4.0,64.0,免费评估
96,伍斯特大学University of Worcester,54.3,77.4,72.9,61.3,18.9,2.0,113,7.0,60.0,免费评估
96,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,54.3,76.7,79.1,62.3,23.7,4.0,178,7.0,53.0,免费评估
