Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.6,564.0,0.85,0.94,免费评估
2,牛津大学University of Oxford,3.7,544.0,0.82,0.93,免费评估
3,杜伦大学Durham University,2.5,480.0,0.79,0.91,免费评估
4,诺丁汉特伦特大学Nottingham Trent University,2.7,,0.82,0.87,免费评估
5,华威大学The University of Warwick,3.2,422.0,0.71,0.89,免费评估
6,卡迪夫大学Cardiff University,3.1,368.0,0.75,0.83,免费评估
7,埃克塞特大学University of Exeter,2.5,335.0,0.82,0.77,免费评估
8,布里斯托大学University of Bristol,,470.0,0.81,1.0,免费评估
9,莱斯特大学University of Leicester,2.4,283.0,0.81,0.77,免费评估
10,斯旺西大学Swansea University,3.2,240.0,0.74,,免费评估
11,阿伯丁大学University of Aberdeen,2.8,365.0,0.7,,免费评估
12,西英格兰大学University of the West of England,2.4,338.0,0.75,0.67,免费评估
13,格林威治大学The University of Greenwich,1.0,,0.75,0.81,免费评估
14,赫特福德大学University of Hertfordshire,2.4,,0.73,0.58,免费评估
15,利物浦约翰摩尔斯大学Liverpool John Moores University,2.9,,0.7,0.54,免费评估
16,龙比亚大学Napier University,1.6,277.0,,0.72,免费评估
17,谢菲尔德哈莱姆大学Sheffield Hallam University,1.7,206.0,0.72,0.78,免费评估
18,思克莱德大学University of Strathclyde,2.7,,0.7,0.57,免费评估
19,中央兰开夏大学University of Central Lancashire,1.4,,0.67,0.84,免费评估
20,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,1.1,293.0,0.77,0.56,免费评估
21,德蒙福特大学De Montfort University,1.7,200.0,0.73,0.67,免费评估
21,伍尔弗汉普顿大学University of Wolverhampton,1.5,204.0,0.75,0.65,免费评估
23,考文垂大学Coventry University,1.0,,0.75,0.65,免费评估
23,伯恩茅斯大学Bournemouth University,1.7,207.0,0.76,0.52,免费评估
25,牛津布鲁克斯大学Oxford Brookes University,1.8,210.0,0.7,,免费评估
26,伦敦大学玛丽女王学院Queen Mary University of London,2.1,234.0,0.62,0.75,免费评估
27,阿尔斯特大学University of Ulster,,219.0,0.69,0.81,免费评估
28,伯明翰城市大学Birmingham City University,,199.0,0.77,0.56,免费评估
29,格拉摩根大学University of Glamorgan,2.4,189.0,0.62,0.51,免费评估
29,伦敦南岸大学London South Bank University,2.4,,0.64,0.47,免费评估
