Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Delft University of Technology,Netherlands,100.0,63.3,75.8,96.5,,274.9,免费评估
2,Beijing Jiaotong University,China,79.9,77.2,87.8,92.8,,267.5,免费评估
3,"University of California, Berkeley",United States,86.3,64.8,72.0,100.0,,265.5,免费评估
4,利兹大学University of Leeds,United Kingdom,72.6,69.1,77.2,88.4,,245.6,免费评估
5,National University of Singapore,Singapore,61.8,79.3,84.7,83.8,,241.8,免费评估
6,The Hong Kong University of Science and Technology,China-Hong Kong,51.1,84.2,77.4,86.7,,237.4,免费评估
7,University of Sydney,Australia,78.7,67.9,77.8,74.5,,236.7,免费评估
8,The Hong Kong Polytechnic University,China-Hong Kong,62.8,72.9,84.6,82.1,,234.7,免费评估
9,The University of Texas at Austin,United States,73.8,60.2,65.8,83.8,,230.9,免费评估
10,Massachusetts Institute of Technology (MIT),United States,69.3,71.4,84.7,71.1,,228.7,免费评估
11,"University of Maryland, College Park",United States,74.9,56.0,60.1,85.0,,228.0,免费评估
12,Purdue University - West Lafayette,United States,74.3,59.6,56.8,79.6,,224.9,免费评估
13,Georgia Institute of Technology,United States,67.8,65.3,67.7,77.7,,224.4,免费评估
14,Tsinghua University,China,74.0,70.0,85.1,62.1,,223.2,免费评估
15,KTH Royal Institute of Technology,Sweden,64.6,71.8,82.3,69.7,,222.5,免费评估
16,The University of Hong Kong,China-Hong Kong,51.9,79.1,67.7,76.4,,220.9,免费评估
17,University of Montreal,Canada,50.3,80.1,81.3,73.8,,220.4,免费评估
18,Swiss Federal Institute of Technology Lausanne,Switzerland,44.2,92.0,97.7,62.9,,218.6,免费评估
19,Tongji University,China,75.7,57.7,88.0,67.5,,218.5,免费评估
20,Monash University,Australia,80.0,64.8,73.7,58.9,,218.4,免费评估
21,伦敦大学学院University College London,United Kingdom,67.2,63.5,78.6,68.2,,214.7,免费评估
22,Queensland University of Technology,Australia,69.5,67.7,65.2,62.1,,212.4,免费评估
23,University of British Columbia,Canada,66.4,70.0,85.5,58.0,,211.6,免费评估
24,Technical University of Denmark,Denmark,57.0,70.0,80.6,66.7,,209.9,免费评估
25,Southeast University,China,71.1,63.5,91.1,52.7,,205.5,免费评估
26,Shanghai Jiao Tong University,China,71.6,59.6,73.4,58.9,,204.8,免费评估
27,University of Florida,United States,56.8,61.8,79.3,65.2,,199.6,免费评估
28,University of Illinois at Urbana-Champaign,United States,63.4,58.3,58.3,65.2,,198.6,免费评估
29,Virginia Polytechnic Institute and State University,United States,76.4,56.9,58.5,51.7,,196.7,免费评估
30,"University of California, Davis",United States,65.7,56.0,67.6,60.5,,195.8,免费评估
31,"University of Minnesota, Twin Cities",United States,59.1,62.8,53.9,62.9,,195.6,免费评估
32,牛津大学University of Oxford,United Kingdom,47.5,75.1,80.1,56.3,,195.0,免费评估
33,Nanyang Technological University,Singapore,51.9,78.9,87.4,46.7,,194.9,免费评估
34,南安普顿大学University of Southampton,United Kingdom,60.6,67.2,82.3,49.8,,194.1,免费评估
35,University of Toronto,Canada,64.7,63.5,68.1,50.7,,192.6,免费评估
36,Arizona State University,United States,57.3,63.8,64.5,58.0,,192.0,免费评估
37,Northwestern University,United States,50.3,62.8,60.7,66.7,,191.9,免费评估
38,Pennsylvania State University - University Park,United States,51.9,66.7,65.4,59.7,,191.4,免费评估
39,National Technical University of Athens,Greece,57.5,62.8,71.1,56.3,,190.8,免费评估
40,Peking University,China,36.5,100.0,79.7,37.2,,189.7,免费评估
41,The University of New South Wales,Australia,64.6,57.5,67.8,53.6,,189.2,免费评估
42,Beihang University,China,43.2,80.1,71.6,50.7,,188.4,免费评估
43,Huazhong University of Science and Technology,China,40.8,80.1,82.2,49.8,,187.0,免费评估
44,Texas A&M University,United States,83.9,42.0,48.7,50.7,,186.4,免费评估
45,University of Waterloo,Canada,58.9,69.1,84.3,41.0,,185.9,免费评估
46,The Ohio State University - Columbus,United States,54.9,68.2,61.0,49.8,,185.1,免费评估
47,McGill University,Canada,59.9,67.5,69.3,43.4,,184.6,免费评估
48,"University of California, Irvine",United States,46.7,58.6,70.0,63.7,,182.9,免费评估
49,Old Dominion University,United States,44.9,70.3,68.0,53.6,,182.3,免费评估
50,University of Michigan-Ann Arbor,United States,70.1,62.3,73.2,34.5,,181.4,免费评估
