Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
56,亚伯大学Aberystwyth University,62.0,94.0,92.0,60.0,20.0,10.0,292,3.0,48.0,免费评估
57,阿斯顿大学Aston University,61.5,86.0,87.0,65.0,16.7,4.0,332,3.0,58.0,免费评估
58,斯旺西大学Swansea University,61.1,90.0,92.0,60.0,19.7,4.0,325,6.0,54.0,免费评估
59,德比大学University of Derby,60.7,89.0,91.0,70.0,25.3,3.0,245,8.0,,免费评估
60,蒂赛德大学Teesside University,60.5,80.0,80.0,68.0,22.2,4.0,270,9.0,,免费评估
61,埃塞克斯大学University of Essex,60.4,95.0,93.0,73.0,18.6,4.0,260,6.0,48.0,免费评估
62,西英格兰大学University of the West of England,59.9,93.0,92.0,70.0,,3.0,266,8.0,48.0,免费评估
63,斯特林大学University of Stirling,59.3,84.0,87.0,57.0,15.8,5.0,310,3.0,57.0,免费评估
63,卡迪夫都市大学Cardiff Metropolitan University,59.3,80.0,81.0,60.0,19.4,3.0,269,8.0,63.0,免费评估
65,艾芝西尔大学Edge Hill University,59.0,77.0,83.0,66.0,11.8,4.0,199,,,免费评估
65,哈德斯菲尔德大学University of Huddersfield,59.0,88.0,87.0,76.0,23.5,4.0,250,5.0,61.0,免费评估
67,威斯敏斯特大学University of Westminster,58.5,79.0,83.0,64.0,15.1,3.0,245,8.0,51.0,免费评估
68,诺桑比亚大学Northumbria University,58.4,75.0,78.0,50.0,15.0,4.0,282,5.0,66.0,免费评估
69,牛津布鲁克斯大学Oxford Brookes University,58.3,88.0,91.0,63.0,21.5,6.0,301,7.0,44.0,免费评估
70,布鲁内尔大学Brunel University,58.1,84.0,83.0,62.0,24.4,3.0,329,5.0,64.0,免费评估
71,考文垂大学Coventry University,57.8,80.0,85.0,68.0,19.1,3.0,304,8.0,46.0,免费评估
72,中央兰开夏大学University of Central Lancashire,57.7,70.0,77.0,60.0,16.7,5.0,261,5.0,63.0,免费评估
73,思克莱德大学University of Strathclyde,55.8,93.0,90.0,56.0,20.4,4.0,318,4.0,51.0,免费评估
74,龙比亚大学Napier University,55.2,85.0,88.0,69.0,20.5,3.0,285,6.0,45.0,免费评估
75,Leeds Met,54.9,83.0,82.0,70.0,16.4,4.0,245,3.0,57.0,免费评估
76,布拉德福德大学University of Bradford,53.6,85.0,73.0,66.0,13.4,5.0,266,1.0,69.0,免费评估
77,切斯特大学University of Chester,53.3,77.0,84.0,58.0,17.6,4.0,298,4.0,46.0,免费评估
77,格林威治大学The University of Greenwich,53.3,86.0,85.0,59.0,22.4,7.0,223,4.0,48.0,免费评估
79,赫特福德大学University of Hertfordshire,52.8,84.0,85.0,57.0,24.4,3.0,266,7.0,54.0,免费评估
80,伍斯特大学University of Worcester,52.4,65.0,79.0,54.0,20.8,3.0,248,9.0,,免费评估
81,罗汉普顿大学Roehampton University,52.0,82.0,82.0,54.0,20.2,2.0,212,8.0,56.0,免费评估
82,波尔顿大学University of Bolton,51.0,76.0,90.0,52.0,18.5,2.0,183,,,免费评估
83,利物浦约翰摩尔斯大学Liverpool John Moores University,50.5,85.0,84.0,62.0,19.0,4.0,270,4.0,43.0,免费评估
84,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,49.9,85.0,85.0,60.0,25.1,3.0,282,4.0,52.0,免费评估
85,赫尔大学The University of Hull,49.7,87.0,88.0,56.0,21.8,4.0,314,1.0,56.0,免费评估
86,班戈大学Bangor University,49.6,82.0,84.0,58.0,19.7,6.0,297,2.0,43.0,免费评估
87,曼彻斯特城市大学Manchester Metropolitan University,49.4,77.0,81.0,56.0,15.7,4.0,259,3.0,49.0,免费评估
88,金斯顿大学Kingston University,49.1,89.0,86.0,63.0,26.6,3.0,241,8.0,42.0,免费评估
89,伦敦南岸大学London South Bank University,46.8,85.0,81.0,56.0,,2.0,188,5.0,,免费评估
90,索尔福德大学University of Salford,46.0,96.0,91.0,50.0,30.2,3.0,251,8.0,36.0,免费评估
91,剑桥安鲁大学Anglia Ruskin University,45.6,79.0,85.0,65.0,21.1,5.0,254,3.0,34.0,免费评估
92,"St Mary's UC, Twickenham",44.8,79.0,80.0,66.0,16.9,2.0,183,2.0,,免费评估
93,东伦敦大学University of East London,43.9,70.0,67.0,63.0,15.9,3.0,216,3.0,,免费评估
94,伦敦都市大学London Metropolitan University,36.5,60.0,67.0,39.0,21.4,3.0,202,3.0,55.0,免费评估
95,贝德福德大学University of Bedfordshire,32.4,38.0,56.0,44.0,26.7,2.0,187,8.0,,免费评估
