Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,诺丁汉大学University of Nottingham,85.8,30.0,388.0,57.5,100.0,免费评估
2,西英格兰大学University of the West of England,,18.3,,65.4,96.3,免费评估
3,皇家兽医学院Royal Veterinary College,85.4,25.0,377.0,52.4,95.8,免费评估
4,萨里大学University of Surrey,81.3,,445.0,81.8,91.9,免费评估
5,利物浦大学The University of Liverpool,72.5,18.3,420.0,67.9,91.2,免费评估
6,雷丁大学University of Reading,83.8,18.3,379.0,,91.0,免费评估
7,亚伯大学Aberystwyth University,83.9,21.7,311.0,23.6,84.0,免费评估
8,哈珀亚当斯大学Harper Adams University,85.1,8.3,380.0,20.0,83.2,免费评估
9,布拉德福德大学University of Bradford,72.0,13.3,408.0,,82.1,免费评估
10,普利茅斯大学University of Plymouth,86.9,3.3,340.0,37.5,81.6,免费评估
11,University of Lincoln,72.3,6.7,364.0,59.0,80.2,免费评估
12,中央兰开夏大学University of Central Lancashire,,,389.0,21.4,78.1,免费评估
13,剑桥安鲁大学Anglia Ruskin University,92.1,,275.0,18.5,75.1,免费评估
14,龙比亚大学Napier University,87.8,,329.0,4.8,74.7,免费评估
15,诺丁汉特伦特大学Nottingham Trent University,76.7,,320.0,33.0,72.2,免费评估
16,格林威治大学The University of Greenwich,,13.3,288.0,14.0,72.1,免费评估
17,切斯特大学University of Chester,72.6,,345.0,20.3,69.9,免费评估
18,米德塞斯大学Middlesex University,78.2,,296.0,13.3,68.2,免费评估
