Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
64,达特茅斯学院Dartmouth College,United States,47.5,37.7,46.3,91.4,43.6,61.8,免费评估
65,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,34.6,91.4,34.1,98.5,47.4,61.5,免费评估
66,University of Basel,Switzerland,36.6,91.8,39.9,87.8,95.1,61.1,免费评估
66,Lund University,Sweden,43.3,72.7,52.1,77.9,82.4,61.1,免费评估
66,University of Zurich,Switzerland,51.1,86.9,48.1,74.5,45.7,61.1,免费评估
69,布里斯托大学University of Bristol,United Kingdom,29.1,70.2,47.4,94.7,39.7,60.4,免费评估
70,"加州大学戴维斯分校University of California,Davis",United States,49.3,47.7,54.4,76.8,50.3,60.3,免费评估
71,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,United States,55.0,28.8,54.0,76.3,44.9,60.0,免费评估
72,Sungkyunkwan University (SKKU),"Korea, Republic of",67.5,23.4,71.7,49.5,100.0,59.9,免费评估
73,阿尔伯塔大学University of Alberta,Canada,47.6,74.7,52.5,72.0,58.5,59.8,免费评估
74,奥克兰大学The University of Auckland,New Zealand,39.5,92.9,41.8,81.1,76.4,59.6,免费评估
75,Peking University,China,74.7,41.0,75.6,36.5,90.1,59.5,免费评估
76,University of Tübingen,Germany,36.9,64.2,51.1,80.8,69.3,59.0,免费评估
77,University of the Witwatersrand,South Africa,25.2,71.5,38.1,95.4,100.0,58.7,免费评估
78,卡尔加里大学Calgary University,Canada,36.9,68.4,42.7,86.3,50.4,58.5,免费评估
78,Chinese University of Hong Kong,Hong Kong,52.4,84.2,58.6,58.3,51.0,58.5,免费评估
80,邓迪大学University of Dundee,United Kingdom,38.1,71.7,32.7,92.5,43.0,58.3,免费评估
81,新南威尔士大学The University of New South Wales,Australia,31.7,86.9,51.4,77.5,61.5,58.0,免费评估
82,University of Bern,Switzerland,40.5,91.7,48.9,68.2,91.8,57.7,免费评估
83,University of Barcelona,Spain,37.8,46.4,46.8,83.5,36.0,56.9,免费评估
84,俄亥俄州立大学Ohio State University,United States,46.6,44.9,43.5,77.5,48.1,56.5,免费评估
85,"弗吉尼亚大学University of Virginia,Main Campus",United States,45.0,60.6,31.7,84.7,41.0,56.4,免费评估
86,澳大利亚国立大学The Australian National University,Australia,34.6,91.5,38.4,80.6,47.4,56.3,免费评估
86,Autonomous University of Barcelona,Spain,37.0,46.2,37.5,89.5,40.0,56.3,免费评估
86,西澳大学The University of Western Australia,Australia,27.7,93.3,37.9,85.7,49.9,56.3,免费评估
89,佛罗里达大学University of Florida,United States,51.6,28.6,48.2,70.7,67.8,56.1,免费评估
90,赫尔大学University of Hull,Finland,33.6,53.6,51.5,78.5,38.4,55.9,免费评估
90,迈阿密大学University of Miami,United States,40.4,50.3,31.7,89.3,38.4,55.9,免费评估
92,University of Groningen,Netherlands,27.3,50.6,52.4,79.4,94.4,55.8,免费评估
93,Fudan University,China,61.3,35.6,70.3,43.4,64.1,55.7,免费评估
94,Aarhus University,Denmark,33.9,69.2,49.0,73.7,74.4,55.6,免费评估
95,University of Oslo,Norway,37.8,72.2,39.4,78.9,44.7,55.4,免费评估
96,莱斯特大学University of Leicester,United Kingdom,27.3,78.2,25.7,95.2,40.7,54.8,免费评估
97,University of Gothenburg,Sweden,25.7,60.5,44.3,85.3,42.9,54.7,免费评估
97,奥塔哥大学University of Otago,New Zealand,35.8,94.4,33.5,78.6,39.4,54.7,免费评估
99,Paris-Sud University,France,32.5,60.1,27.6,93.2,36.1,54.6,免费评估
99,西安大略大学University of Western Ontario,Canada,38.6,56.5,45.3,71.7,88.4,54.6,免费评估
