Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
90,卡迪夫都市大学Cardiff Metropolitan University,74.9%,75.7%,,114,71.6%,78.2,免费评估
91,伍尔弗汉普顿大学University of Wolverhampton,73.7%,76.8%,,108,70.0%,77.2,免费评估
92,金斯顿大学Kingston University,78.0%,77.7%,2.6%,110,62.6%,76.7,免费评估
93,坎特伯雷大学Canterbury Christ Church University,80.4%,74.2%,11.9%,79,63.3%,76.0,免费评估
94,皇家兽医学院Royal Veterinary College,62.0%,60.1%,,143,70.0%,75.5,免费评估
95,布莱顿大学University of Brighton,79.0%,69.7%,4.8%,105,59.7%,75.2,免费评估
96,米德塞斯大学Middlesex University,56.2%,68.9%,10.0%,114,72.2%,75.1,免费评估
97,北安普顿大学The University of Northampton,76.3%,72.7%,,105,59.0%,74.1,免费评估
97,伦敦南岸大学London South Bank University,57.4%,67.4%,35.0%,100,58.7%,74.1,免费评估
99,利物浦大学The University of Liverpool,41.0%,41.0%,,128,93.6%,74.0,免费评估
100,剑桥安鲁大学Anglia Ruskin University,79.6%,77.8%,2.2%,106,49.5%,73.3,免费评估
101,伯恩茅斯大学Bournemouth University,72.0%,69.1%,4.7%,113,51.4%,72.0,免费评估
