Rank,University,Country,Score,Free
119,University of Macau,Macau,48.8,免费评估
120,University of Montreal,Canada,48.6,免费评估
121,Chalmers University of Technology,Sweden,48.5,免费评估
122,佛罗里达大学University of Florida,United States,48.1,免费评估
122,Yonsei University,South Korea,48.1,免费评估
124,皇家墨尔本理工大学Royal Melbourne Institute of Technology University,Australia,47.8,免费评估
124,Universidad Carlos III de Madrid,Spain,47.8,免费评估
126,University of Bologna,Italy,47.6,免费评估
127,Beijing Institute of Technology,China,47.2,免费评估
128,Polytechnic University of Madrid,Spain,47.1,免费评估
129,National Chiao Tung University,Taiwan,47.0,免费评估
130,Technical University of Berlin,Germany,46.9,免费评估
131,Polytechnic University of Valencia,Spain,46.6,免费评估
132,Pompeu Fabra University,Spain,46.2,免费评估
132,University of Qatar,Qatar,46.2,免费评估
134,University of Oulu,Finland,46.0,免费评估
135,布里斯托大学University of Bristol,United Kingdom,45.2,免费评估
135,University of Tokyo,Japan,45.2,免费评估
137,University of Trento,Italy,45.1,免费评估
138,Sapienza University of Rome,Italy,45.0,免费评估
138,谢菲尔德大学The University of Sheffield,United Kingdom,45.0,免费评估
140,Tianjin University,China,44.8,免费评估
141,Carleton University,Canada,44.7,免费评估
142,Sichuan University,China,44.4,免费评估
143,National Technical University of Athens,Greece,44.1,免费评估
143,Ohio State University--Columbus,United States,44.1,免费评估
143,University of Tehran,Iran,44.1,免费评估
146,Hunan University,China,43.9,免费评估
147,China University of Geosciences,China,43.7,免费评估
148,Indian Institute of Technology Delhi,India,43.6,免费评估
149,Universiti Teknologi Malaysia,Malaysia,43.5,免费评估
150,Sharif University of Technology,Iran,43.4,免费评估
150,University of Lisbon,Portugal,43.4,免费评估
152,University of Padua,Italy,43.2,免费评估
153,Technical University of Dresden,Germany,43.1,免费评估
154,Sun Yat-sen University,China,43.0,免费评估
155,Fudan University,China,42.6,免费评估
156,Indian Institute of Technology Kharagpur,India,42.5,免费评估
156,Universidade de São Paulo,Brazil,42.5,免费评估
158,University of Ottawa,Canada,42.4,免费评估
159,PSL Research University Paris (ComUE),France,42.2,免费评估
160,Tel Aviv University,Israel,42.1,免费评估
161,蒙纳士大学Monash University,Australia,41.9,免费评估
162,Chongqing University,China,41.7,免费评估
162,"Rutgers, The State University of New Jersey--New Brunswick",United States,41.7,免费评估
164,New Jersey Institute of Technology,United States,41.5,免费评估
165,University of Luxembourg,Luxembourg,41.3,免费评估
166,University of Oslo,Norway,41.0,免费评估
166,University of Queensland Australia,Australia,41.0,免费评估
168,National Tsing Hua University,Taiwan,40.9,免费评估
168,Technical University of Denmark,Denmark,40.9,免费评估
170,Karlsruhe Institute of Technology,Germany,40.8,免费评估
171,Simon Fraser University,Canada,40.4,免费评估
