Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,哈佛大学Harvard University,United States,94.6,72.3,94.0,89.1,44.0,90.8,免费评估
1,斯坦福大学Stanford University,United States,95.6,67.3,93.1,88.9,62.0,90.8,免费评估
3,牛津大学University of Oxford,United Kingdom,89.4,73.2,95.0,86.7,39.9,88.8,免费评估
4,伦敦大学学院University College London,United Kingdom,83.3,93.6,92.5,77.7,45.3,85.8,免费评估
5,剑桥大学University of Cambridge,United Kingdom,89.7,68.8,95.2,61.1,48.4,85.0,免费评估
6,哥伦比亚大学Columbia University,United States,87.1,64.2,89.2,81.1,45.6,84.4,免费评估
6,普林斯顿大学Princeton University,United States,92.3,57.3,89.3,72.2,41.9,84.4,免费评估
8,耶鲁大学Yale University,United States,88.6,50.2,89.5,82.3,39.3,84.0,免费评估
9,麻省理工学院Massachusetts Institute of Technology,United States,77.5,85.4,85.8,96.9,46.3,83.5,免费评估
10,芝加哥大学The University of Chicago,United States,88.1,49.0,90.0,77.1,38.6,83.1,免费评估
11,"加州大学伯克利分校University of California,Berkeley",United States,86.2,30.9,91.6,85.4,41.3,83.0,免费评估
12,宾夕法尼亚大学University of Pennsylvania,United States,79.2,52.9,84.6,84.8,40.7,79.3,免费评估
13,"加州大学洛杉矶分校University of California,Los Angeles",United States,79.2,37.2,87.8,82.3,40.5,78.9,免费评估
14,爱丁堡大学The University of Edinburgh,United Kingdom,77.4,78.7,86.4,64.0,38.8,78.0,免费评估
15,多伦多大学University of Toronto,Canada,75.6,59.3,88.0,68.8,38.6,77.2,免费评估
16,伦敦大学国王学院King's College London,United Kingdom,73.7,80.0,83.0,67.8,39.0,76.0,免费评估
17,纽约大学New York University,United States,78.5,32.6,85.2,71.8,39.2,75.6,免费评估
18,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,73.0,39.8,84.2,80.4,39.4,75.1,免费评估
19,Humboldt University of Berlin,Germany,79.3,52.6,88.5,45.5,47.1,75.0,免费评估
20,KU Leuven,Belgium,71.4,64.8,85.5,56.1,99.0,74.7,免费评估
21,LMU Munich,Germany,73.4,67.3,84.9,47.3,68.6,73.3,免费评估
22,Free University of Berlin,Germany,76.3,60.7,86.1,44.4,39.2,73.2,免费评估
23,杜克大学Duke University,United States,68.4,38.9,73.5,86.8,100.0,71.8,免费评估
23,Heidelberg University,Germany,73.4,70.5,79.0,55.1,38.9,71.8,免费评估
25,澳大利亚国立大学The Australian National University,Australia,59.6,75.9,82.7,68.3,51.0,70.7,免费评估
26,康奈尔大学Cornell University,United States,68.6,45.0,70.1,90.1,38.6,70.0,免费评估
27,Peking University,China,69.6,80.7,64.1,69.2,97.4,69.1,免费评估
28,Leiden University,Netherlands,65.7,70.8,77.2,57.3,40.7,68.6,免费评估
29,杜伦大学Durham University,United Kingdom,64.0,64.8,69.5,68.9,46.1,66.5,免费评估
30,University of Hong Kong,Hong Kong,64.2,98.0,65.8,56.0,45.9,65.8,免费评估
31,约克大学University of York,United Kingdom,62.1,66.8,63.8,78.6,39.4,65.1,免费评估
32,University of Amsterdam,Netherlands,54.9,61.9,75.9,65.9,39.2,64.6,免费评估
33,Paris-Sorbonne University – Paris 4,France,72.2,30.9,86.1,9.5,38.7,64.2,免费评估
34,Panthéon-Sorbonne University – Paris 1,France,75.7,34.0,77.5,17.8,40.5,63.8,免费评估
35,华威大学The University of Warwick,United Kingdom,62.3,54.4,68.2,63.5,38.6,63.6,免费评估
36,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",United States,56.9,19.7,76.6,72.4,41.5,63.5,免费评估
36,圣安德鲁斯大学University of St Andrews,United Kingdom,68.0,72.2,63.2,52.0,38.6,63.5,免费评估
38,University of Tübingen,Germany,55.8,56.0,66.4,75.2,73.7,63.3,免费评估
39,布朗大学Brown University,United States,70.7,34.0,63.2,59.9,38.6,62.9,免费评估
40,麦吉尔大学McGill University,Canada,59.8,90.0,61.0,63.1,44.4,62.7,免费评估
41,墨尔本大学The University of Melbourne,Australia,59.3,80.4,59.7,65.9,65.3,62.3,免费评估
42,英属哥伦比亚大学University of British Columbia,Canada,52.9,92.0,62.1,74.3,39.1,62.2,免费评估
43,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,United States,54.6,21.9,73.0,73.6,39.3,61.6,免费评估
44,约翰霍普金斯大学Johns Hopkins University,United States,55.3,50.9,64.8,76.4,43.6,61.5,免费评估
45,École Normale Supérieure,France,63.0,55.2,62.2,59.6,40.7,61.1,免费评估
46,圣母诺特丹大学University of Notre Dame,United States,63.5,25.9,67.6,56.5,40.2,60.7,免费评估
47,University of Tokyo,Japan,64.9,37.5,65.0,43.2,99.1,60.6,免费评估
48,National University of Singapore,Singapore,60.1,90.2,59.0,50.6,44.8,60.3,免费评估
49,悉尼大学The University of Sydney,Australia,55.7,56.4,67.2,56.7,48.9,60.2,免费评估
50,University of Vienna,Austria,60.8,85.6,64.0,38.4,39.2,60.1,免费评估
51,德克萨斯大学奥斯汀分校The University of Texas at Austin,United States,59.4,23.1,66.2,57.2,49.0,58.8,免费评估
52,曼彻斯特大学The University of Manchester,United Kingdom,48.7,59.8,62.4,64.2,38.8,56.9,免费评估
53,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,United States,57.7,26.9,58.4,67.3,39.9,56.8,免费评估
54,谢菲尔德大学The University of Sheffield,United Kingdom,52.7,68.8,48.0,74.8,38.9,55.2,免费评估
55,Aarhus University,Denmark,47.3,64.2,49.3,79.3,76.9,54.9,免费评估
55,赫尔大学University of Hull,Finland,54.1,45.5,59.4,52.0,39.6,54.9,免费评估
57,西北大学Northwestern University,United States,49.4,31.7,53.9,82.3,38.6,54.6,免费评估
58,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,39.6,97.4,39.6,98.3,94.5,54.2,免费评估
58,兰卡斯特大学University of Lancaster,United Kingdom,48.0,60.5,50.4,78.0,39.0,54.2,免费评估
60,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",United States,56.4,39.5,47.5,68.1,63.2,53.8,免费评估
61,Utrecht University,Netherlands,51.2,51.2,52.9,58.6,71.0,53.6,免费评估
62,Sapienza University of Rome,Italy,58.4,35.9,54.1,47.5,51.1,53.3,免费评估
62,南加州大学University of Southern California,United States,43.7,38.7,56.8,77.1,40.6,53.3,免费评估
64,University of Freiburg,Germany,45.6,62.5,52.1,60.1,100.0,53.0,免费评估
