Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,埃塞克斯大学University of Essex,83.1%,84.2%,45.6%,394.0,75.2%,100.0,免费评估
2,伯明翰大学University of Birmingham,83.6%,85.9%,48.8%,380.0,72.5%,99.7,免费评估
3,诺丁汉大学University of Nottingham,86.3%,87.1%,39.9%,378.0,66.6%,97.2,免费评估
4,肯特大学University of Kent,83.1%,82.5%,47.3%,344.0,69.0%,96.5,免费评估
5,曼彻斯特大学The University of Manchester,73.1%,82.8%,49.1%,411.0,57.3%,94.7,免费评估
6,东英吉利大学University of East Anglia,80.8%,90.2%,33.1%,394.0,59.4%,93.8,免费评估
7,莱斯特大学University of Leicester,84.5%,84.8%,34.3%,354.0,56.0%,91.9,免费评估
8,基尔大学Keele University,88.5%,88.8%,29.8%,341.0,56.1%,91.8,免费评估
9,伦敦大学金史密斯学院Goldsmiths University of London,88.6%,85.8%,34.9%,332.0,52.3%,91.3,免费评估
10,赫尔大学The University of Hull,91.0%,90.7%,26.1%,319.0,57.3%,91.1,免费评估
11,朴茨茅斯大学University of Portsmouth,85.6%,83.8%,32.2%,280.0,65.5%,90.5,免费评估
12,华威大学The University of Warwick,69.8%,65.8%,51.7%,,69.4%,90.4,免费评估
13,邓迪大学University of Dundee,88.4%,97.3%,30.4%,,48.5%,90.3,免费评估
14,斯旺西大学Swansea University,76.8%,83.0%,18.5%,315.0,72.7%,88.6,免费评估
15,埃塞克斯大学University of Essex,88.1%,85.6%,,303.0,58.8%,84.1,免费评估
16,利物浦大学The University of Liverpool,68.9%,59.1%,33.4%,,63.3%,83.3,免费评估
17,约克圣约翰大学York St John University,85.9%,78.9%,,259.0,66.7%,82.7,免费评估
18,坎特伯雷大学Canterbury Christ Church University,89.9%,82.9%,16.3%,243.0,43.0%,81.3,免费评估
19,德比大学University of Derby,84.4%,86.4%,13.5%,251.0,39.7%,79.3,免费评估
20,温切斯特大学University of Winchester,86.6%,88.2%,,278.0,42.9%,79.2,免费评估
