Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
66,德蒙福特大学De Montfort University,79.5%,81.3%,5.2%,108,77.6%,79.7,免费评估
67,萨里大学University of Surrey,75.9%,68.7%,8.5%,161,70.1%,79.6,免费评估
67,考文垂大学Coventry University,79.9%,78.8%,5.6%,115,75.7%,79.6,免费评估
69,利物浦约翰摩尔斯大学Liverpool John Moores University,82.3%,77.2%,2.7%,134,69.7%,79.4,免费评估
70,亚伯大学Aberystwyth University,73.7%,75.5%,14.3%,117,76.2%,79.2,免费评估
71,桑德兰大学University of Sunderland,79.9%,81.8%,0.7%,106,76.8%,78.8,免费评估
72,Northumbria University,75.2%,74.4%,2.5%,139,74.3%,78.7,免费评估
72,赫特福德大学University of Hertfordshire,80.5%,79.5%,,107,76.6%,78.7,免费评估
72,格罗斯特大学University of Gloucestershire,79.5%,73.5%,,108,80.4%,78.7,免费评估
75,龙比亚大学Napier University,74.5%,74.2%,,161,69.1%,78.5,免费评估
75,中央兰开夏大学University of Central Lancashire,78.2%,75.5%,5.3%,141,67.1%,78.5,免费评估
77,南威尔士大学The University of South Wales,86.5%,83.1%,,128,60.6%,78.3,免费评估
78,新白金汉大学Buckinghamshire New University,89.7%,86.0%,,113,58.3%,78.0,免费评估
79,伦敦城市大学City University London,72.4%,73.3%,9.1%,137,70.2%,77.9,免费评估
80,艾芝西尔大学Edge Hill University,77.6%,78.2%,12.1%,112,66.3%,77.6,免费评估
81,威斯敏斯特大学University of Westminster,71.4%,72.5%,7.5%,120,75.6%,77.4,免费评估
81,牛津布鲁克斯大学Oxford Brookes University,76.5%,73.6%,5.1%,126,69.4%,77.4,免费评估
83,斯塔福德郡大学Staffordshire University,82.9%,80.0%,,114,65.2%,77.2,免费评估
84,哥比亚大学University of Cumbria,93.5%,92.3%,,101,48.9%,76.7,免费评估
85,蒂赛德大学Teesside University,84.0%,77.0%,15.0%,107,54.5%,76.4,免费评估
86,东伦敦大学University of East London,79.9%,77.5%,8.6%,101,63.8%,76.3,免费评估
87,伯恩茅斯大学Bournemouth University,73.9%,68.7%,8.8%,116,69.6%,76.2,免费评估
88,切斯特大学University of Chester,73.4%,68.4%,,116,75.5%,76.1,免费评估
89,利兹贝克特大学Leeds Beckett University,78.3%,79.0%,,102,68.7%,76.0,免费评估
90,伯明翰城市大学Birmingham City University,77.0%,78.2%,2.8%,105,65.6%,75.6,免费评估
91,剑桥安鲁大学Anglia Ruskin University,82.9%,82.0%,5.2%,95,58.5%,75.5,免费评估
92,波尔顿大学University of Bolton,77.8%,77.2%,,105,61.3%,74.3,免费评估
93,金斯顿大学Kingston University,69.5%,69.0%,,118,68.6%,73.9,免费评估
94,德比大学University of Derby,64.1%,61.8%,2.4%,108,79.4%,73.8,免费评估
95,北安普顿大学The University of Northampton,74.3%,76.1%,,97,59.5%,72.4,免费评估
96,温切斯特大学University of Winchester,76.9%,71.5%,,103,57.0%,72.3,免费评估
96,布莱顿大学University of Brighton,66.4%,68.7%,6.5%,115,61.8%,72.3,免费评估
98,西苏格兰大学University of the West of Scotland,75.0%,69.1%,,134,48.9%,71.8,免费评估
99,坎特伯雷大学Canterbury Christ Church University,80.7%,71.4%,3.2%,115,40.9%,70.9,免费评估
100,伦敦都市大学London Metropolitan University,65.3%,59.3%,0.3%,86,68.1%,69.7,免费评估
