Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,加利福尼亚理工学院California Institute of Technology,United States,98.8,57.5,99.8,99.5,99.7,96.2,免费评估
2,斯坦福大学Stanford University,United States,94.1,83.6,98.0,100.0,93.5,96.0,免费评估
3,牛津大学University of Oxford,United Kingdom,95.7,89.1,96.2,99.2,56.4,94.4,免费评估
4,麻省理工学院Massachusetts Institute of Technology,United States,95.9,83.9,91.0,99.3,91.2,94.2,免费评估
5,剑桥大学University of Cambridge,United Kingdom,96.0,91.4,96.7,93.5,70.1,93.9,免费评估
6,普林斯顿大学Princeton University,United States,94.0,77.8,91.2,97.5,52.6,90.8,免费评估
7,帝国理工学院Imperial College London,United Kingdom,92.0,95.1,88.0,90.1,71.0,89.5,免费评估
7,National University of Singapore,Singapore,87.5,93.2,91.6,89.7,81.5,89.5,免费评估
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,88.2,95.0,95.2,89.0,48.5,89.0,免费评估
10,"加州大学伯克利分校University of California,Berkeley",United States,88.0,64.7,93.5,99.8,41.2,88.8,免费评估
11,École Polytechnique Fédérale de Lausanne,Switzerland,82.0,97.8,85.8,97.0,62.7,87.4,免费评估
12,Peking University,China,86.5,43.8,89.8,93.9,99.7,87.0,免费评估
13,"加州大学洛杉矶分校University of California,Los Angeles",United States,80.4,73.1,91.9,99.6,46.0,86.9,免费评估
13,佐治亚理工学院Georgia Institute of Technology,United States,84.2,68.5,95.4,91.3,54.8,86.9,免费评估
15,卡内基梅隆大学Carnegie Mellon University,United States,82.6,59.5,92.7,98.0,45.2,86.3,免费评估
16,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,82.6,58.2,93.0,92.8,72.7,86.2,免费评估
17,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,83.8,67.4,90.9,90.4,51.0,84.9,免费评估
18,Nanyang Technological University,Singapore,74.1,96.3,79.3,95.2,98.3,84.3,免费评估
19,Hong Kong University of Science and Technology,Hong Kong,78.6,80.3,83.4,95.9,60.3,84.0,免费评估
20,Delft University of Technology,Netherlands,81.9,80.2,94.0,74.7,90.6,83.9,免费评估
21,西北大学Northwestern University,United States,77.8,71.7,82.5,97.8,49.0,82.8,免费评估
22,康奈尔大学Cornell University,United States,79.3,61.7,78.9,93.1,35.6,79.5,免费评估
23,Tsinghua University,China,87.6,27.9,97.0,61.1,98.1,79.2,免费评估
24,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",United States,62.6,79.7,71.3,99.7,100.0,78.5,免费评估
25,德克萨斯大学奥斯汀分校The University of Texas at Austin,United States,68.8,36.0,81.7,97.4,53.8,77.3,免费评估
26,哥伦比亚大学Columbia University,United States,73.6,73.0,69.9,95.1,45.4,77.0,免费评估
27,普渡大学Purdue University,United States,80.8,71.5,88.2,64.5,58.5,76.7,免费评估
28,Technical University of Munich,Germany,71.2,62.6,85.6,71.4,99.8,76.3,免费评估
29,RWTH Aachen University,Germany,75.7,46.2,90.4,63.2,100.0,75.7,免费评估
30,Korea Advanced Institute of Science and Technology (KAIST),"Korea, Republic of",73.8,31.7,73.4,84.6,99.7,74.8,免费评估
31,多伦多大学University of Toronto,Canada,68.1,83.0,74.1,87.3,36.8,74.7,免费评估
32,Seoul National University,"Korea, Republic of",79.9,27.0,84.5,69.6,77.7,74.4,免费评估
33,University of Hong Kong,Hong Kong,67.1,98.7,77.4,75.6,35.0,73.3,免费评估
34,KU Leuven,Belgium,53.4,62.3,72.5,93.2,97.9,73.0,免费评估
35,University of Tokyo,Japan,91.0,33.3,84.6,52.8,37.1,71.6,免费评估
36,KTH Royal Institute of Technology,Sweden,66.3,76.8,73.4,77.6,43.4,71.2,免费评估
37,曼彻斯特大学The University of Manchester,United Kingdom,66.5,87.5,69.9,73.1,47.1,69.9,免费评估
38,伦敦大学学院University College London,United Kingdom,64.9,94.9,67.3,76.6,35.6,69.6,免费评估
38,University of Science and Technology of China,China,70.7,24.7,62.6,86.0,83.0,69.6,免费评估
40,Pohang University of Science and Technology,"Korea, Republic of",63.1,34.5,64.0,86.9,87.2,69.0,免费评估
40,Technical University of Berlin,Germany,54.1,54.7,72.2,82.1,88.9,69.0,免费评估
42,约翰霍普金斯大学Johns Hopkins University,United States,59.8,64.2,64.8,89.4,41.5,68.9,免费评估
43,"西雅图华盛顿大学University of Washington,Seattle Campus",United States,54.8,66.9,59.7,96.4,43.6,68.0,免费评估
44,"加利福尼亚大学圣地亚哥分校University of California,San Diego",United States,48.1,49.4,62.1,96.2,74.0,66.9,免费评估
45,蒙纳什大学Monash University,Australia,48.3,92.7,59.2,85.6,80.1,66.7,免费评估
46,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,United States,59.5,52.8,59.7,89.1,42.3,66.3,免费评估
47,Kyoto University,Japan,77.9,29.7,77.4,51.3,64.1,66.2,免费评估
48,宾州州立大学Pennsylvania State University,United States,51.7,44.2,66.6,84.3,57.9,64.9,免费评估
49,莱斯大学Rice University,United States,47.3,72.2,48.4,100.0,53.8,64.3,免费评估
50,南加州大学University of Southern California,United States,46.7,72.6,53.5,97.3,35.3,64.1,免费评估
51,Sungkyunkwan University (SKKU),"Korea, Republic of",56.2,29.0,61.0,83.5,70.6,63.8,免费评估
52,麦吉尔大学McGill University,Canada,63.0,80.3,65.9,57.2,64.7,63.7,免费评估
53,Shanghai Jiao Tong University,China,68.3,24.7,76.8,48.0,99.6,63.6,免费评估
53,Technical University of Denmark,Denmark,55.5,80.6,57.2,78.5,43.7,63.6,免费评估
55,Tohoku University,Japan,67.6,39.1,73.3,54.0,63.0,63.2,免费评估
56,新南威尔士大学The University of New South Wales,Australia,50.1,93.7,55.5,80.7,43.1,63.1,免费评估
57,俄亥俄州立大学Ohio State University,United States,47.1,64.5,63.6,75.1,84.2,62.9,免费评估
58,City University of Hong Kong,Hong Kong,42.1,80.5,46.0,96.9,73.1,62.7,免费评估
59,爱丁堡大学The University of Edinburgh,United Kingdom,46.9,93.1,50.6,89.0,37.6,62.6,免费评估
60,Karlsruhe Institute of Technology,Germany,48.4,60.2,55.6,83.0,68.9,62.0,免费评估
61,École Polytechnique,France,69.9,87.0,52.3,53.6,79.4,61.9,免费评估
62,Tokyo Institute of Technology,Japan,73.0,32.3,73.8,45.4,50.6,61.5,免费评估
63,英属哥伦比亚大学University of British Columbia,Canada,49.1,87.1,65.9,66.8,40.2,61.4,免费评估
64,Eindhoven University of Technology,Netherlands,47.3,70.4,57.8,81.0,44.9,61.3,免费评估
64,墨尔本大学The University of Melbourne,Australia,56.7,89.4,52.0,71.3,47.2,61.3,免费评估
64,"明尼苏达大学双城校区University of Minnesota,Twin Cities",United States,46.5,46.1,59.4,80.5,79.4,61.3,免费评估
67,Zhejiang University,China,66.3,20.2,72.6,50.5,83.0,61.2,免费评估
68,昆士兰大学The University of Queensland,Australia,47.6,85.5,47.1,76.8,96.1,60.8,免费评估
69,布朗大学Brown University,United States,47.7,76.2,39.5,98.7,29.8,60.5,免费评估
70,布里斯托大学University of Bristol,United Kingdom,49.0,86.7,48.0,78.0,59.7,60.1,免费评估
71,Texas A&M University,United States,61.2,61.1,74.3,46.7,37.0,59.9,免费评估
