Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,牛津大学University of Oxford,United Kingdom,95.8,91.1,96.0,90.4,48.1,93.0,免费评估
2,Stanford University,United States,93.1,64.5,89.7,99.7,80.0,91.2,免费评估
3,Massachusetts Institute of Technology,United States,88.4,77.5,88.5,99.0,99.7,90.5,免费评估
4,Harvard University,United States,91.2,70.6,91.7,98.0,45.1,90.4,免费评估
5,Princeton University,United States,91.6,53.3,87.3,99.2,92.5,89.3,免费评估
6,剑桥大学University of Cambridge,United Kingdom,92.9,87.7,93.2,82.5,36.8,88.6,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,87.2,86.5,87.2,91.9,35.6,87.0,免费评估
8,Yale University,United States,90.2,63.1,88.5,92.8,35.1,86.9,免费评估
9,University of Chicago,United States,88.7,49.6,92.7,86.4,33.8,85.1,免费评估
10,University of Michigan-Ann Arbor,United States,80.6,26.1,95.6,90.4,77.7,83.8,免费评估
11,Columbia University,United States,88.1,65.7,81.3,87.0,43.0,82.8,免费评估
12,"University of California, Los Angeles",United States,78.9,35.1,91.4,94.3,34.4,82.4,免费评估
13,"University of California, Berkeley",United States,81.3,47.1,89.8,87.1,42.4,82.0,免费评估
14,伦敦大学学院University College London,United Kingdom,76.2,87.0,83.7,86.1,34.5,80.9,免费评估
15,University of Pennsylvania,United States,76.6,51.8,88.3,85.2,53.5,80.1,免费评估
16,University of Wisconsin-Madison,United States,77.8,29.2,84.0,91.6,57.9,79.1,免费评估
17,New York University,United States,76.2,50.9,82.6,87.7,41.0,78.4,免费评估
18,Cornell University,United States,77.5,58.3,76.5,91.5,33.3,78.1,免费评估
19,Duke University,United States,72.0,47.5,75.2,94.1,100.0,77.4,免费评估
20,ETH Zurich,Switzerland,57.4,98.8,76.5,99.1,46.9,76.9,免费评估
21,University of Amsterdam,Netherlands,71.5,73.6,78.7,84.2,33.9,76.2,免费评估
22,National University of Singapore,Singapore,72.5,85.3,85.8,65.5,65.7,75.9,免费评估
23,Peking University,China,75.4,93.3,67.9,76.2,65.9,74.3,免费评估
24,University of Washington,United States,72.9,36.8,74.5,89.1,33.2,73.8,免费评估
25,University of Toronto,Canada,72.8,61.1,80.9,70.7,33.6,73.1,免费评估
26,University of Hong Kong,Hong Kong,65.9,99.5,78.4,62.6,100.0,72.6,免费评估
27,Australian National University,Australia,70.6,77.8,76.2,68.5,54.4,72.0,免费评估
28,Johns Hopkins University,United States,57.2,69.4,78.2,78.8,100.0,71.4,免费评估
29,University of British Columbia,Canada,60.6,85.9,68.7,86.4,33.6,70.9,免费评估
29,Northwestern University,United States,62.1,36.8,71.2,95.5,36.1,70.9,免费评估
31,曼彻斯特大学The University of Manchester,United Kingdom,66.1,70.6,62.4,87.8,38.5,69.9,免费评估
31,University of North Carolina at Chapel Hill,United States,67.6,21.1,78.2,80.1,35.2,69.9,免费评估
33,伦敦国王学院King's College London,United Kingdom,67.1,81.4,66.1,73.5,65.3,69.4,免费评估
33,University of Mannheim,Germany,57.0,62.2,67.2,92.4,51.9,69.4,免费评估
35,"University of California, San Diego",United States,55.8,45.3,61.5,97.5,87.0,68.1,免费评估
36,爱丁堡大学The University of Edinburgh,United Kingdom,68.9,77.8,65.9,67.9,34.3,67.5,免费评估
36,Tsinghua University,China,65.9,68.0,61.5,74.2,99.5,67.5,免费评估
38,Paris Sciences et Lettres – PSL Research University Paris,France,80.0,61.6,65.4,55.5,40.0,66.8,免费评估
39,Humboldt University of Berlin,Germany,61.8,51.8,65.7,79.1,64.0,66.7,免费评估
40,McGill University,Canada,61.1,83.0,66.5,71.2,33.2,66.3,免费评估
41,Utrecht University,Netherlands,50.8,61.0,62.8,91.5,67.1,66.1,免费评估
42,University of Texas at Austin,United States,67.5,24.3,64.3,80.1,40.3,65.7,免费评估
43,University of Illinois at Urbana-Champaign,United States,68.8,39.6,61.9,73.8,37.8,64.8,免费评估
44,The University of Tokyo,Japan,70.2,57.4,69.2,51.2,89.9,64.7,免费评估
45,杜伦大学Durham University,United Kingdom,53.2,67.0,56.7,90.9,44.1,64.6,免费评估
46,KU Leuven,Belgium,45.2,71.6,65.8,81.2,100.0,64.3,免费评估
47,Chinese University of Hong Kong,Hong Kong,60.2,98.0,55.5,67.0,67.7,63.4,免费评估
47,埃塞克斯大学University of Essex,United Kingdom,52.1,94.4,57.4,79.5,33.8,63.4,免费评估
49,Free University of Berlin,Germany,66.5,63.4,73.5,47.8,36.0,63.1,免费评估
50,University of Southern California,United States,58.6,30.4,60.3,83.5,36.7,62.7,免费评估
51,Ohio State University (Main campus),United States,48.6,41.0,66.7,81.6,35.6,61.9,免费评估
52,University of Melbourne,Australia,47.4,83.5,60.8,76.0,55.3,61.8,免费评估
53,Indiana University,United States,60.1,36.5,61.5,73.1,45.3,61.7,免费评估
54,Brown University,United States,67.3,54.1,47.0,78.2,33.2,61.6,免费评估
54,谢菲尔德大学The University of Sheffield,United Kingdom,56.0,68.1,49.6,85.5,33.9,61.6,免费评估
54,萨塞克斯大学University of Sussex,United Kingdom,51.8,79.1,49.7,87.3,33.3,61.6,免费评估
57,Leiden University,Netherlands,51.3,60.5,61.3,74.0,67.1,61.4,免费评估
58,Georgetown University,United States,55.7,47.0,52.0,81.4,100.0,61.3,免费评估
59,University of Minnesota,United States,52.6,29.1,58.2,81.8,88.8,60.9,免费评估
59,Wageningen University & Research,Netherlands,40.1,79.3,45.1,99.0,100.0,60.9,免费评估
61,The Hong Kong University of Science and Technology,Hong Kong,39.8,98.8,49.6,91.2,46.7,60.5,免费评估
61,LMU Munich,Germany,46.1,48.3,65.0,74.7,80.8,60.5,免费评估
62,"University of California, Santa Barbara",United States,45.8,37.9,53.1,96.5,53.2,60.4,免费评估
62,University of Copenhagen,Denmark,57.5,66.1,49.8,77.8,46.6,60.4,免费评估
62,University of Zurich,Switzerland,42.4,85.7,44.1,97.4,60.5,60.4,免费评估
66,Michigan State University,United States,52.7,42.1,55.6,83.9,34.1,60.2,免费评估
66,University of Oslo,Norway,48.5,52.8,54.6,86.8,39.1,60.2,免费评估
68,"University of California, Irvine",United States,49.1,41.2,54.0,88.1,33.7,59.4,免费评估
68,Sciences Po,France,62.2,64.9,56.1,60.7,39.3,59.4,免费评估
70,Pennsylvania State University (Main campus),United States,52.2,30.2,55.6,83.8,41.2,59.3,免费评估
71,Delft University of Technology,Netherlands,38.4,91.8,50.8,83.3,100.0,59.2,免费评估
72,Georgia Institute of Technology,United States,49.5,52.8,49.6,86.2,35.8,58.6,免费评估
73,Carnegie Mellon University,United States,39.6,74.2,45.1,97.2,37.6,58.3,免费评估
73,"University of Maryland, College Park",United States,41.7,31.2,57.2,91.6,37.4,58.3,免费评估
75,University of Twente,Netherlands,38.9,90.7,37.8,92.6,99.4,57.4,免费评估
76,Lund University,Sweden,45.4,64.2,48.7,81.3,57.3,57.1,免费评估
77,Uppsala University,Sweden,46.1,50.2,51.9,79.0,67.6,57.0,免费评估
77,华威大学The University of Warwick,United Kingdom,53.4,74.1,44.7,75.2,33.2,57.0,免费评估
79,University of Konstanz,Germany,38.9,52.7,46.1,91.4,97.5,56.9,免费评估
80,Stockholm University,Sweden,39.1,66.7,52.1,84.2,36.5,56.6,免费评估
81,Arizona State University (Tempe),United States,36.3,35.4,52.8,93.4,40.5,56.0,免费评估
82,"Nanyang Technological University, Singapore",Singapore,37.7,88.0,60.2,63.5,62.2,55.9,免费评估
83,Kyoto University,Japan,60.2,48.9,53.3,51.8,88.0,55.7,免费评估
84,University of Queensland,Australia,37.0,81.8,43.7,84.1,87.2,55.6,免费评估
85,Aarhus University,Denmark,30.7,68.9,51.8,85.4,65.9,55.0,免费评估
86,"Rutgers, the State University of New Jersey",United States,51.6,24.2,47.5,78.5,37.0,54.6,免费评估
87,University of Groningen,Netherlands,39.7,56.0,46.3,80.4,73.1,54.1,免费评估
88,兰卡斯特大学Lancaster University,United Kingdom,35.2,70.8,40.2,93.2,34.6,54.0,免费评估
89,University of Cape Town,South Africa,34.9,82.9,47.1,72.8,97.0,53.5,免费评估
