Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
78,桑德兰大学University of Sunderland,118,4.02,2.12,46.0,84.4,免费评估
79,巴斯斯巴大学Bath Spa University,113,4.08,2.69,35.0,84.3,免费评估
80,威斯敏斯特大学University of Westminster,117,4.15,,49.0,84.3,免费评估
81,格罗斯特大学University of Gloucestershire,116,4.21,,47.0,84.1,免费评估
82,利兹贝克特大学Leeds Beckett University,103,3.93,1.93,51.0,84.0,免费评估
83,伦敦都市大学London Metropolitan University,106,4.01,,54.0,83.7,免费评估
84,切斯特大学University of Chester,104,4.0,1.58,45.0,83.7,免费评估
85,格林威治大学The University of Greenwich,127,3.87,,45.0,83.3,免费评估
86,温切斯特大学University of Winchester,107,3.92,1.85,42.0,83.1,免费评估
87,坎特伯雷大学Canterbury Christ Church University,104,4.21,1.7,36.0,82.8,免费评估
88,Suffolk,121,4.01,,39.0,82.5,免费评估
89,金斯顿大学Kingston University,105,3.98,,47.0,82.4,免费评估
90,利兹圣三一大学Leeds Trinity University,78,4.47,,,82.2,免费评估
91,"特威克南圣玛丽大学St Mary's, Twickenham",108,3.91,,,82.2,免费评估
92,南威尔士大学The University of South Wales,114,3.95,,40.0,81.8,免费评估
93,北安普顿大学The University of Northampton,98,4.16,,41.0,81.7,免费评估
94,伍尔弗汉普顿大学University of Wolverhampton,93,4.17,,41.0,81.4,免费评估
95,哥比亚大学University of Cumbria,111,3.69,,,81.2,免费评估
96,伍斯特大学University of Worcester,106,3.72,,44.0,81.0,免费评估
97,剑桥安鲁大学Anglia Ruskin University,88,4.26,,37.0,80.8,免费评估
