Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,伦敦国王学院King's College London,76.3,41.7,452.0,95.1,100.0,免费评估
2,萨里大学University of Surrey,83.1,33.3,415.0,88.8,96.0,免费评估
3,诺丁汉大学University of Nottingham,87.3,30.0,399.0,84.0,94.3,免费评估
4,利兹大学University of Leeds,84.9,31.7,408.0,80.0,93.6,免费评估
5,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,88.6,,437.0,76.9,86.7,免费评估
6,雷丁大学University of Reading,81.8,21.7,348.0,87.0,86.5,免费评估
7,赫瑞瓦特大学Heriot Watt University,,16.7,,81.8,86.3,免费评估
8,Coventry University,96.9,,348.0,85.5,85.6,免费评估
9,英国女王大学Queen's University Belfast,86.0,13.3,355.0,83.7,85.4,免费评估
10,赫特福德大学University of Hertfordshire,82.2,,342.0,92.3,80.7,免费评估
11,纽卡斯尔大学Newcastle University,67.8,18.3,371.0,82.1,80.2,免费评估
12,阿尔斯特大学University of Ulster,88.5,11.7,315.0,72.3,80.1,免费评估
13,切斯特大学University of Chester,84.0,5.0,320.0,86.5,80.0,免费评估
14,罗伯特高登大学The Robert Gordon University,88.3,,402.0,58.1,79.6,免费评估
15,玛格丽特女王大学Queen Margaret University,85.8,,358.0,75.4,79.4,免费评估
15,哈珀亚当斯大学Harper Adams University,79.3,8.3,321.0,87.5,79.4,免费评估
17,利物浦约翰摩尔斯大学Liverpool John Moores University,92.1,11.7,307.0,64.9,79.3,免费评估
18,谢菲尔德哈莱姆大学Sheffield Hallam University,91.7,,327.0,67.7,77.7,免费评估
19,利兹贝克特大学Leeds Beckett University,85.5,,329.0,71.2,76.2,免费评估
20,布莱顿大学University of Brighton,81.5,18.3,,52.6,75.4,免费评估
21,巴斯斯巴大学Bath Spa University,90.0,,316.0,62.7,75.0,免费评估
22,伯恩茅斯大学Bournemouth University,90.2,,291.0,66.7,74.1,免费评估
23,诺桑比亚大学Northumbria University,78.8,10.9,326.0,60.0,73.8,免费评估
24,普利茅斯大学University of Plymouth,80.1,3.3,330.0,64.3,73.4,免费评估
25,中央兰开夏大学University of Central Lancashire,78.5,,355.0,61.1,72.8,免费评估
26,威斯敏斯特大学University of Westminster,79.0,15.0,312.0,53.5,72.7,免费评估
27,卡迪夫都市大学Cardiff Metropolitan University,80.9,8.3,300.0,60.8,72.2,免费评估
28,University of Lincoln,77.0,6.7,,60.9,70.8,免费评估
29,Manchester Metropolitan University,78.8,10.0,315.0,49.5,70.3,免费评估
30,哈德斯菲尔德大学University of Huddersfield,80.8,,274.0,67.1,69.2,免费评估
31,罗汉普顿大学Roehampton University,75.9,,289.0,66.7,68.2,免费评估
32,金斯顿大学Kingston University,89.4,,313.0,33.3,67.6,免费评估
33,"特威克南圣玛丽大学St Mary's, Twickenham",78.1,,288.0,49.8,65.0,免费评估
34,伦敦都市大学London Metropolitan University,56.9,1.7,,79.6,63.7,免费评估
35,阿伯泰邓迪大学University of Abertay Dundee,60.9,3.3,297.0,66.7,63.6,免费评估
