Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.4,559.0,0.86,0.85,免费评估
2,牛津大学University of Oxford,4.1,542.0,0.82,0.89,免费评估
3,圣安德鲁斯大学University of St Andrews,3.0,434.0,0.82,0.95,免费评估
4,伦敦大学学院University College London,3.6,444.0,0.79,0.78,免费评估
5,帝国理工学院Imperial College London,3.4,447.0,0.76,0.85,免费评估
6,南安普顿大学University of Southampton,3.2,381.0,0.88,0.74,免费评估
7,格拉斯哥大学University of Glasgow,2.2,373.0,0.92,0.84,免费评估
8,利物浦大学The University of Liverpool,3.1,383.0,0.87,0.77,免费评估
9,布里斯托大学University of Bristol,3.5,429.0,0.79,0.78,免费评估
10,莱斯特大学University of Leicester,2.7,379.0,0.92,0.71,免费评估
11,东英吉利大学University of East Anglia,3.4,372.0,0.83,0.76,免费评估
12,杜伦大学Durham University,3.0,413.0,0.83,0.76,免费评估
13,爱丁堡大学The University of Edinburgh,3.0,413.0,0.77,0.84,免费评估
14,阿伯丁大学University of Aberdeen,2.6,347.0,0.82,0.86,免费评估
15,伦敦大学皇家霍洛威学院Royal Holloway University of London,3.2,313.0,0.81,0.78,免费评估
16,曼彻斯特大学The University of Manchester,3.2,362.0,0.81,0.7,免费评估
17,埃克塞特大学University of Exeter,1.6,341.0,0.9,0.81,免费评估
18,卡迪夫大学Cardiff University,3.0,333.0,0.82,0.71,免费评估
19,利兹大学University of Leeds,3.0,380.0,0.73,0.79,免费评估
20,伯明翰大学University of Birmingham,2.9,369.0,0.82,0.65,免费评估
21,班戈大学Bangor University,2.5,284.0,0.79,0.71,免费评估
22,亚伯大学Aberystwyth University,,359.0,0.9,0.73,免费评估
23,普利茅斯大学University of Plymouth,2.2,229.0,0.81,0.65,免费评估
24,基尔大学Keele University,,306.0,0.87,0.76,免费评估
25,朴茨茅斯大学University of Portsmouth,2.0,254.0,0.74,0.62,免费评估
26,布莱顿大学University of Brighton,1.7,,0.73,0.6,免费评估
27,伍尔弗汉普顿大学University of Wolverhampton,,210.0,0.73,0.46,免费评估
28,金斯顿大学Kingston University,,210.0,0.67,0.5,免费评估
