Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,Stanford University,United States,93.2,63.5,98.4,95.9,75.4,92.8,免费评估
2,Harvard University,United States,93.2,59.5,99.5,93.5,41.1,91.3,免费评估
3,"University of California, Berkeley",United States,97.9,57.4,96.3,79.7,35.9,87.8,免费评估
4,University of Hong Kong,Hong Kong,87.3,99.8,98.5,70.3,89.6,86.9,免费评估
5,牛津大学University of Oxford,United Kingdom,83.3,92.9,88.4,90.4,54.3,86.8,免费评估
6,University of Pennsylvania,United States,87.2,59.3,92.7,84.8,50.1,85.1,免费评估
6,University of Wisconsin-Madison,United States,88.5,42.2,93.2,82.8,98.3,85.1,免费评估
8,University of Michigan-Ann Arbor,United States,86.8,34.3,93.7,84.5,35.9,83.0,免费评估
9,"University of California, Los Angeles",United States,88.6,34.0,89.0,79.3,44.8,81.0,免费评估
10,剑桥大学University of Cambridge,United Kingdom,81.1,81.9,86.2,75.3,45.2,80.2,免费评估
11,Michigan State University,United States,85.0,44.2,87.6,77.6,37.0,79.5,免费评估
12,Vanderbilt University,United States,73.6,33.3,87.7,92.3,37.8,79.0,免费评估
13,University of Toronto,Canada,81.7,63.3,81.5,75.8,35.9,77.5,免费评估
14,Columbia University,United States,84.1,58.6,79.1,74.2,44.0,77.0,免费评估
15,National Taiwan Normal University,Taiwan,88.0,57.2,85.8,57.4,100.0,76.9,免费评估
16,Johns Hopkins University,United States,64.7,32.2,89.0,86.9,100.0,76.5,免费评估
17,University of Washington,United States,68.8,38.2,82.2,92.2,35.9,76.1,免费评估
18,Chinese University of Hong Kong,Hong Kong,79.5,88.6,92.4,48.4,87.1,75.7,免费评估
18,University of British Columbia,Canada,73.1,85.5,85.7,68.4,37.1,75.6,免费评估
18,伦敦国王学院King's College London,United Kingdom,75.1,87.2,71.3,79.8,52.0,75.6,免费评估
21,伦敦大学学院University College London,United Kingdom,78.6,73.1,79.5,69.6,36.0,74.9,免费评估
22,University of Texas at Austin,United States,74.0,29.0,90.8,69.5,54.1,73.9,免费评估
23,Pennsylvania State University (Main campus),United States,81.0,36.7,79.9,70.5,45.4,73.5,免费评估
24,University of Melbourne,Australia,74.8,74.7,81.1,58.8,78.2,72.4,免费评估
25,University of Southern California,United States,74.4,36.2,72.4,78.4,42.2,71.2,免费评估
26,Peking University,China,83.2,83.4,74.8,50.3,51.3,70.9,免费评估
27,Utrecht University,Netherlands,55.8,63.7,77.5,83.1,67.8,70.7,免费评估
28,University of Minnesota,United States,68.9,26.1,81.7,71.6,68.4,70.3,免费评估
29,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,57.7,54.3,60.2,97.1,100.0,70.1,免费评估
30,New York University,United States,64.4,53.2,73.8,77.3,47.7,69.5,免费评估
31,Maastricht University,Netherlands,59.1,96.5,51.0,88.3,98.9,68.5,免费评估
32,Ohio State University (Main campus),United States,67.7,40.6,79.8,63.4,41.5,67.4,免费评估
33,Indiana University,United States,68.9,37.6,70.8,66.8,51.0,66.1,免费评估
33,University of Sydney,Australia,52.9,73.1,75.2,72.4,40.1,66.1,免费评估
35,University of Auckland,New Zealand,61.0,86.9,70.4,58.5,100.0,66.0,免费评估
36,兰卡斯特大学Lancaster University,United Kingdom,55.2,83.6,58.1,84.3,36.4,65.7,免费评估
36,LMU Munich,Germany,57.3,48.4,72.2,71.4,88.0,65.7,免费评估
38,University of Virginia (Main campus),United States,59.7,22.4,69.7,80.6,47.9,65.3,免费评估
39,University of Illinois at Urbana-Champaign,United States,69.8,31.2,74.4,61.1,42.3,65.2,免费评估
39,University of Queensland,Australia,57.8,86.5,63.8,71.7,42.6,65.2,免费评估
41,爱丁堡大学The University of Edinburgh,United Kingdom,70.0,76.2,61.2,63.1,35.9,65.1,免费评估
42,University of Tübingen,Germany,52.4,46.2,59.2,90.9,65.8,64.9,免费评估
43,Humboldt University of Berlin,Germany,68.4,42.3,71.5,60.8,48.9,64.8,免费评估
44,University of Helsinki,Finland,62.8,39.8,70.9,68.9,36.6,64.5,免费评估
45,布里斯托大学University of Bristol,United Kingdom,53.3,78.2,52.1,88.5,36.5,64.1,免费评估
46,"Nanyang Technological University, Singapore",Singapore,59.7,81.8,68.7,59.5,43.1,63.6,免费评估
47,Arizona State University (Tempe),United States,54.4,35.9,73.3,72.5,49.1,63.5,免费评估
48,University of North Carolina at Chapel Hill,United States,62.4,29.0,60.7,78.3,35.9,63.1,免费评估
49,University of Georgia,United States,72.0,32.6,64.3,60.3,41.4,62.8,免费评估
50,The University of Tokyo,Japan,81.3,38.0,80.5,28.3,60.1,62.7,免费评估
51,"University of California, San Diego",United States,57.6,29.5,40.1,97.5,100.0,62.3,免费评估
51,杜伦大学Durham University,United Kingdom,51.4,74.3,60.0,76.5,40.8,62.3,免费评估
53,McGill University,Canada,44.9,60.8,63.6,82.9,35.9,61.9,免费评估
54,Boston College,United States,57.9,46.5,59.3,69.6,44.3,60.3,免费评估
55,Florida State University,United States,61.1,32.6,58.3,68.9,49.4,60.0,免费评估
56,University of Pittsburgh-Pittsburgh campus,United States,47.7,38.0,57.5,81.8,55.9,59.5,免费评估
57,Monash University,Australia,46.2,79.3,63.5,65.8,51.2,59.4,免费评估
57,UNSW Sydney,Australia,52.6,88.6,57.6,63.1,41.2,59.4,免费评估
59,University of Hamburg,Germany,58.8,49.1,43.0,80.0,60.2,59.2,免费评估
