Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,,4.41,2.65,75.0,100.0,免费评估
2,南威尔士大学The University of South Wales,394.0,4.23,0.65,95.0,98.0,免费评估
3,普利茅斯大学University of Plymouth,,4.23,1.15,95.0,97.0,免费评估
4,威斯敏斯特大学University of Westminster,,3.77,1.9,85.0,96.3,免费评估
5,索尔福德大学University of Salford,,3.96,2.2,75.0,96.0,免费评估
6,米德塞斯大学Middlesex University,288.0,3.83,1.95,85.0,94.9,免费评估
7,伯恩茅斯大学Bournemouth University,353.0,4.13,,90.0,94.8,免费评估
8,哈德斯菲尔德大学University of Huddersfield,,4.21,,95.0,94.4,免费评估
9,利兹都会大学Leeds Metropolitan University,313.0,3.41,1.35,90.0,93.6,免费评估
10,格林威治大学The University of Greenwich,273.0,4.09,,90.0,91.2,免费评估
11,林肯大学University of Lincoln,,4.53,1.0,70.0,91.0,免费评估
12,格林多大学Glyndwr University,323.0,3.87,,,90.6,免费评估
13,卡迪夫都市大学Cardiff Metropolitan University,224.0,4.17,1.55,65.0,87.8,免费评估
14,德比大学University of Derby,,4.11,,55.0,83.8,免费评估
