Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
75,利物浦约翰摩尔斯大学Liverpool John Moores University,82.1,1.7,320.0,48.8,69.3,免费评估
76,皇家农学院Royal Agricultural University,79.7,,286.0,64.0,69.2,免费评估
77,蒂赛德大学Teesside University,82.1,11.7,288.0,39.2,68.8,免费评估
78,约克圣约翰大学York St John University,82.6,,271.0,54.8,68.6,免费评估
79,切斯特大学University of Chester,77.7,,289.0,65.3,68.4,免费评估
79,温切斯特大学University of Winchester,80.7,,296.0,54.6,68.4,免费评估
81,米德塞斯大学Middlesex University,83.6,13.3,230.0,37.4,67.7,免费评估
81,格林威治大学The University of Greenwich,82.5,10.0,268.0,37.8,67.7,免费评估
83,德比大学University of Derby,82.8,,275.0,47.7,67.5,免费评估
83,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,75.4,8.3,347.0,46.1,67.5,免费评估
85,伍斯特大学University of Worcester,77.9,,290.0,58.8,67.3,免费评估
85,威斯敏斯特大学University of Westminster,74.0,13.3,326.0,46.7,67.3,免费评估
87,西苏格兰大学University of the West of Scotland,77.7,13.3,282.0,42.7,67.1,免费评估
87,普利茅斯大学University of Plymouth,73.1,13.3,291.0,54.6,67.1,免费评估
89,利兹圣三一大学Leeds Trinity University,77.9,,239.0,66.2,66.9,免费评估
89,玛格丽特女王大学Queen Margaret University,75.3,1.7,293.0,61.9,66.9,免费评估
89,阿伯泰邓迪大学University of Abertay Dundee,74.1,5.0,281.0,63.6,66.9,免费评估
92,坎特伯雷大学Canterbury Christ Church University,78.2,,253.0,61.1,66.6,免费评估
93,桑德兰大学University of Sunderland,84.8,,262.0,37.8,66.3,免费评估
94,奇切斯特大学University of Chichester,81.2,,264.0,47.8,66.2,免费评估
95,罗汉普顿大学Roehampton University,84.1,,226.0,44.0,65.8,免费评估
96,伦敦南岸大学London South Bank University,79.4,10.0,233.0,43.6,65.7,免费评估
96,利兹都会大学Leeds Metropolitan University,72.8,6.7,270.0,61.2,65.7,免费评估
98,卡迪夫都市大学Cardiff Metropolitan University,80.6,3.3,295.0,36.5,65.6,免费评估
99,西伦敦大学University of West London,81.6,,195.0,55.0,65.4,免费评估
100,艾芝西尔大学Edge Hill University,79.1,,291.0,41.3,64.7,免费评估
101,斯塔福德郡大学Staffordshire University,75.9,15.0,211.0,42.7,64.0,免费评估
102,南安普顿索伦特大学Southampton Solent University,73.4,,263.0,55.7,63.1,免费评估
103,"St Mary's University College, Twickenham",75.5,,267.0,48.2,63.0,免费评估
104,格林多大学Glyndwr University,72.1,,211.0,68.2,62.9,免费评估
105,伦敦艺术大学University of the Arts London,73.0,,293.0,44.3,61.8,免费评估
106,剑桥安鲁大学Anglia Ruskin University,73.8,,241.0,48.8,61.2,免费评估
107,新白金汉大学Buckinghamshire New University,73.4,6.7,214.0,43.0,60.6,免费评估
108,波尔顿大学University of Bolton,74.3,3.3,274.0,26.9,59.3,免费评估
109,贝德福德大学University of Bedfordshire,72.1,5.0,198.0,36.9,57.7,免费评估
110,东伦敦大学University of East London,73.9,,215.0,33.8,57.5,免费评估
111,伦敦都市大学London Metropolitan University,67.5,5.0,220.0,42.1,56.8,免费评估
112,哥比亚大学University of Cumbria,57.9,,225.0,35.5,48.8,免费评估
