Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,87.9,55.0,533.0,73.9,100.0,免费评估
2,班戈大学Bangor University,92.0,25.0,411.0,90.9,94.9,免费评估
3,亚伯大学Aberystwyth University,87.0,38.3,403.0,78.3,92.1,免费评估
4,Cardiff University,85.7,28.3,441.0,85.7,91.5,免费评估
5,格拉斯哥大学University of Glasgow,88.9,26.7,,74.1,90.7,免费评估
6,斯旺西大学Swansea University,87.6,35.0,319.0,76.9,88.7,免费评估
7,阿尔斯特大学University of Ulster,89.0,48.3,290.0,29.6,85.3,免费评估
8,英国女王大学Queen's University Belfast,81.7,16.7,367.0,62.7,81.0,免费评估
9,利物浦大学The University of Liverpool,79.4,26.7,,48.4,77.6,免费评估
10,高地与群岛大学University of the Highlands and Islands,,8.3,351.0,33.3,75.2,免费评估
