Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,California Institute of Technology,United States,96.1,75.6,99.3,96.7,90.9,95.4,免费评估
1,Stanford University,United States,93.7,84.8,95.4,99.9,95.8,95.4,免费评估
3,剑桥大学University of Cambridge,United Kingdom,95.2,91.8,98.2,94.6,84.6,95.2,免费评估
3,Harvard University,United States,96.0,82.0,99.7,99.6,59.8,95.2,免费评估
5,牛津大学University of Oxford,United Kingdom,94.0,93.5,97.5,98.9,66.7,95.0,免费评估
6,Massachusetts Institute of Technology,United States,95.2,87.0,91.9,99.1,91.6,94.5,免费评估
7,Princeton University,United States,92.3,82.4,93.4,99.6,53.9,92.0,免费评估
8,ETH Zurich,Switzerland,85.4,95.5,93.9,95.3,46.7,89.5,免费评估
9,"University of California, Los Angeles",United States,85.2,78.1,92.6,98.8,58.0,89.3,免费评估
9,Georgia Institute of Technology,United States,84.2,72.4,95.7,96.2,68.5,89.3,免费评估
11,帝国理工学院Imperial College London,United Kingdom,90.5,95.3,87.7,89.7,67.5,88.6,免费评估
12,National University of Singapore,Singapore,87.2,94.2,89.7,90.8,66.2,88.4,免费评估
13,Peking University,China,89.7,38.3,94.2,97.4,68.2,88.2,免费评估
14,"University of California, Berkeley",United States,87.9,73.0,87.9,99.8,41.7,87.8,免费评估
15,"Nanyang Technological University, Singapore",Singapore,79.3,96.0,86.4,94.8,88.7,87.4,免费评估
16,Carnegie Mellon University,United States,80.0,77.2,88.1,99.1,41.9,85.5,免费评估
17,University of Michigan-Ann Arbor,United States,82.8,69.5,88.4,93.3,58.7,85.2,免费评估
18,Tsinghua University,China,91.9,32.5,96.9,76.8,98.8,85.1,免费评估
19,École Polytechnique Fédérale de Lausanne,Switzerland,78.8,97.6,83.5,95.5,53.8,85.0,免费评估
20,Yale University,United States,84.4,72.2,83.5,96.2,41.4,84.3,免费评估
21,Delft University of Technology,Netherlands,78.6,87.3,93.1,76.2,90.6,83.5,免费评估
22,University of Texas at Austin,United States,78.2,47.1,84.2,99.2,61.5,82.6,免费评估
23,University of Illinois at Urbana-Champaign,United States,79.4,60.1,89.0,87.2,53.8,81.7,免费评估
24,The Hong Kong University of Science and Technology,Hong Kong,67.3,96.1,77.9,98.1,72.2,81.3,免费评估
25,Technical University of Munich,Germany,73.9,67.3,83.1,84.7,99.6,80.4,免费评估
26,Cornell University,United States,72.6,72.4,76.3,95.7,35.7,78.2,免费评估
27,University of Toronto,Canada,71.4,87.5,73.9,90.2,39.9,76.9,免费评估
28,"University of California, Santa Barbara",United States,60.2,78.4,69.6,98.3,99.4,76.8,免费评估
29,University of Science and Technology of China,China,73.2,30.3,73.7,92.2,95.1,76.5,免费评估
30,RWTH Aachen University,Germany,75.2,50.9,88.4,67.1,100.0,76.3,免费评估
31,The University of Tokyo,Japan,90.0,36.6,91.7,54.3,80.8,76.2,免费评估
