Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,91.6,56.7,592.0,80.7,100.0,免费评估
2,牛津大学University of Oxford,85.6,40.0,533.0,68.6,88.0,免费评估
3,杜伦大学Durham University,87.0,11.7,536.0,84.2,86.9,免费评估
4,埃克塞特大学University of Exeter,90.6,18.3,469.0,75.2,85.2,免费评估
5,伯明翰大学University of Birmingham,85.4,26.7,,74.7,84.4,免费评估
6,华威大学The University of Warwick,83.5,40.0,448.0,69.3,84.1,免费评估
7,布拉德福德大学University of Bradford,79.8,31.7,443.0,77.4,82.6,免费评估
8,曼彻斯特大学The University of Manchester,85.1,31.7,432.0,67.9,82.2,免费评估
9,巴斯大学University of Bath,84.5,21.7,433.0,75.5,81.8,免费评估
10,伦敦大学学院University College London,75.6,28.3,488.0,78.3,81.6,免费评估
11,利兹大学University of Leeds,86.3,41.7,410.0,56.9,81.1,免费评估
11,雷丁大学University of Reading,88.7,38.3,337.0,64.6,81.1,免费评估
13,格拉斯哥大学University of Glasgow,80.3,13.3,523.0,,78.6,免费评估
14,爱丁堡大学The University of Edinburgh,82.5,8.3,495.0,68.7,78.2,免费评估
15,朴茨茅斯大学University of Portsmouth,84.6,25.0,295.0,68.6,75.8,免费评估
16,圣安德鲁斯大学University of St Andrews,66.8,13.3,520.0,78.2,75.2,免费评估
17,Manchester Metropolitan University,87.6,6.7,359.0,50.0,70.4,免费评估
18,伦敦大学皇家霍洛威学院Royal Holloway University of London,80.0,16.7,408.0,49.0,70.3,免费评估
19,Cardiff University,72.8,25.0,382.0,54.9,69.4,免费评估
20,诺丁汉特伦特大学Nottingham Trent University,86.3,,296.0,55.2,67.4,免费评估
