Rank,University,Country,Score,Free
1,Pierre and Marie Curie University,France,100.0,免费评估
2,斯坦福大学Stanford University,United States,98.9,免费评估
3,普林斯顿大学Princeton University,United States,96.7,免费评估
4,麻省理工学院Massachusetts Institute of Technology,United States,96.6,免费评估
5,University of California--Berkeley,United States,92.5,免费评估
6,牛津大学University of Oxford,United Kingdom,91.7,免费评估
7,New York University,United States,88.9,免费评估
8,Harvard University,United States,88.1,免费评估
9,剑桥大学University of Cambridge,United Kingdom,85.4,免费评估
10,Swiss Federal Institute of Technology Zurich,Switzerland,85.1,免费评估
10,芝加哥大学The University of Chicago,United States,85.1,免费评估
12,哥伦比亚大学Columbia University,United States,84.6,免费评估
13,University of Texas--Austin,United States,83.1,免费评估
14,University of California--Los Angeles,United States,82.5,免费评估
15,University of Minnesota--Twin Cities,United States,81.1,免费评估
16,德克萨斯A&M大学Texas A & M University,United States,80.6,免费评估
17,University of Wisconsin--Madison,United States,79.9,免费评估
18,帝国理工学院Imperial College London,United Kingdom,79.8,免费评估
19,Peking University,China,76.9,免费评估
19,University of Michigan--Ann Arbor,United States,76.9,免费评估
21,Islamic Azad University,Iran,76.8,免费评估
22,École Polytechnique Federale of Lausanne,Switzerland,76.5,免费评估
23,华威大学The University of Warwick,United Kingdom,76.0,免费评估
24,布朗大学Brown University,United States,75.3,免费评估
24,杜克大学Duke University,United States,75.3,免费评估
26,匹兹堡州立大学Pittsburg State University,United States,75.0,免费评估
26,University of Bonn,Germany,75.0,免费评估
28,University Paris Diderot - Paris 7,France,74.5,免费评估
29,"Rutgers, The State University of New Jersey--New Brunswick",United States,73.8,免费评估
30,University of Washington,United States,73.1,免费评估
31,Fudan University,China,72.9,免费评估
32,Université Paris-Sud,France,72.8,免费评估
32,University of Milan,Italy,72.8,免费评估
34,Chinese University Hong Kong,Hong Kong,72.5,免费评估
35,University of British Columbia,Canada,72.2,免费评估
36,École Polytechnique,France,71.8,免费评估
36,Sapienza University of Rome,Italy,71.8,免费评估
36,Sungkyunkwan University,South Korea,71.8,免费评估
39,Nankai University,China,71.0,免费评估
39,Shanghai Jiao Tong University,China,71.0,免费评估
39,Universidade de São Paulo,Brazil,71.0,免费评估
42,Kyoto University,Japan,70.2,免费评估
43,National University of Singapore,Singapore,70.0,免费评估
44,Catholic University of Leuven,Belgium,69.8,免费评估
45,Beijing Normal University,China,69.3,免费评估
46,宾夕法尼亚大学University of Pennsylvania,United States,69.2,免费评估
47,University of Toronto,Canada,69.1,免费评估
47,University of Vienna,Austria,69.1,免费评估
49,佐治亚理工学院Georgia Institute of Technology,United States,69.0,免费评估
50,加利福尼亚理工学院California Institute of Technology,United States,68.9,免费评估
51,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,68.8,免费评估
52,Hong Kong Polytechnic University,Hong Kong,68.5,免费评估
52,Tsinghua University,China,68.5,免费评估
54,University of Tokyo,Japan,68.1,免费评估
55,North Carolina State University--Raleigh,United States,67.4,免费评估
56,Technion Israel Institute of Technology,Israel,67.1,免费评估
57,University of California--San Diego,United States,66.1,免费评估
58,M. V. Lomonosov Moscow State University,Russia,65.6,免费评估
59,University of Lisbon,Portugal,65.5,免费评估
60,University of Aix-Marseille,France,65.3,免费评估
61,City University Hong Kong,Hong Kong,65.1,免费评估
61,"École Normale Superieure, Paris",France,65.1,免费评估
61,密歇根州立大学Michigan State University,United States,65.1,免费评估
61,Purdue University--West Lafayette,United States,65.1,免费评估
65,King Saud University,Saudi Arabia,64.5,免费评估
66,Zhejiang University,China,64.1,免费评估
67,University of Science and Technology of China,China,64.0,免费评估
68,University of Munich,Germany,63.8,免费评估
69,University of North Carolina--Chapel Hill,United States,63.6,免费评估
70,Polytechnic University of Milan,Italy,62.1,免费评估
71,Charles University in Prague,Czech Republic,62.0,免费评估
72,Ohio State University--Columbus,United States,61.9,免费评估
73,University of Victoria,Canada,61.8,免费评估
74,Nanjing University,China,61.1,免费评估
75,新南威尔士大学The University of New South Wales,Australia,60.9,免费评估
76,University of Paris Dauphine - Paris IX,France,60.5,免费评估
77,Technical University of Berlin,Germany,60.4,免费评估
78,Polytechnic University of Turin,Italy,60.1,免费评估
78,University of Belgrade,Serbia,60.1,免费评估
80,Technical University of Munich,Germany,59.6,免费评估
81,Xiamen University,China,59.4,免费评估
82,University of Granada,Spain,59.3,免费评估
83,University of Pavia,Italy,59.1,免费评估
83,耶鲁大学Yale University,United States,59.1,免费评估
85,University of Warsaw,Poland,59.0,免费评估
86,Seoul National University,South Korea,58.9,免费评估
87,Atilim University,Turkey,58.7,免费评估
87,Saint Petersburg State University,Russia,58.7,免费评估
89,莱斯大学Rice University,United States,58.6,免费评估
90,康奈尔大学Cornell University,United States,58.3,免费评估
91,Humboldt-Universität zu Berlin,Germany,58.2,免费评估
91,巴斯大学University of Bath,United Kingdom,58.2,免费评估
93,University of California--Davis,United States,58.0,免费评估
94,卡内基梅隆大学Carnegie Mellon University,United States,57.7,免费评估
94,Sun Yat-sen University,China,57.7,免费评估
96,Hebrew University of Jerusalem,Israel,57.5,免费评估
97,Amirkabir University of Technology (AUT),Iran,57.4,免费评估
98,University of Göttingen,Germany,57.3,免费评估
99,University of Seville,Spain,57.2,免费评估
100,Vienna University of Technology,Austria,57.1,免费评估
101,Autonomous University of Barcelona,Spain,56.7,免费评估
101,Autonomous University of Madrid,Spain,56.7,免费评估
103,University of Maryland--College Park,United States,56.4,免费评估
104,澳大利亚国立大学The Australian National University,Australia,56.1,免费评估
104,McGill University,Canada,56.1,免费评估
106,Harbin Institute of Technology,China,56.0,免费评估
107,约翰霍普金斯大学Johns Hopkins University,United States,55.9,免费评估
108,Scuola Normale Superiore di Pisa,Italy,55.8,免费评估
109,爱丁堡大学The University of Edinburgh,United Kingdom,55.6,免费评估
110,Gyeongsang National University,South Korea,55.5,免费评估
110,McMaster University,Canada,55.5,免费评估
110,University of Helsinki,Finland,55.5,免费评估
113,Southeast University,China,55.4,免费评估
113,Universite Grenoble Alpes (UGA),France,55.4,免费评估
115,布里斯托大学University of Bristol,United Kingdom,55.3,免费评估
116,Norwegian University of Science and Technology,Norway,55.0,免费评估
117,King Fahd University of Petroleum and Minerals (KFUPM),Saudi Arabia,54.9,免费评估
117,伦敦大学学院University College London,United Kingdom,54.9,免费评估
119,Babeş-Bolyai University,Romania,54.7,免费评估
119,Hong Kong Baptist University,Hong Kong,54.7,免费评估
119,University of Santiago of Compostela,Spain,54.7,免费评估
122,Tel Aviv University,Israel,54.6,免费评估
123,University of Ljubljana,Slovenia,54.1,免费评估
123,曼彻斯特大学The University of Manchester,United Kingdom,54.1,免费评估
125,Claude Bernard University Lyon 1,France,54.0,免费评估
126,Waseda University,Japan,53.5,免费评估
127,University of Rome Tor Vergata,Italy,53.2,免费评估
128,Complutense University of Madrid,Spain,53.1,免费评估
129,Aligarh Muslim University,India,52.8,免费评估
130,University of Zurich,Switzerland,52.7,免费评估
131,Lanzhou University,China,52.5,免费评估
131,National Autonomous University of Mexico,Mexico,52.5,免费评估
133,University of Waterloo,Canada,52.3,免费评估
133,Wuhan University,China,52.3,免费评估
135,Polytechnic University of Catalonia,Spain,52.1,免费评估
136,Shanghai University,China,52.0,免费评估
137,University Catholique of Louvain,Belgium,51.9,免费评估
138,University of Colorado--Boulder,United States,51.8,免费评估
139,East China Normal University,China,51.7,免费评估
140,Shandong University,China,51.3,免费评估
140,University of Padua,Italy,51.3,免费评估
142,Uppsala University,Sweden,50.8,免费评估
143,University of California--Irvine,United States,50.5,免费评估
144,National Research University - Higher School of Economics,Russia,50.2,免费评估
145,University of Alberta,Canada,49.8,免费评估
146,爱荷华大学University of Iowa,United States,49.4,免费评估
146,University of Lorraine,France,49.4,免费评估
148,RWTH Aachen University,Germany,49.0,免费评估
149,International School for Advanced Studies,Italy,48.7,免费评估
150,University of Copenhagen,Denmark,48.4,免费评估
151,Universite Toulouse 1 Capitole,France,48.3,免费评估
152,Central South University,China,48.2,免费评估
153,Universidad Carlos III de Madrid,Spain,48.1,免费评估
154,University of Bucharest,Romania,48.0,免费评估
154,University of Chile,Chile,48.0,免费评估
154,佛罗里达大学University of Florida,United States,48.0,免费评估
157,Indiana University--Bloomington,United States,47.9,免费评估
157,University of Pisa,Italy,47.9,免费评估
159,University of Lille I,France,47.8,免费评估
160,Weizmann Institute of Science,Israel,47.7,免费评估
161,南加州大学University of Southern California,United States,47.5,免费评估
162,University of Utah,United States,47.4,免费评估
163,University of Münster,Germany,47.1,免费评估
164,Jagiellonian University,Poland,46.9,免费评估
164,Université de Rennes 1,France,46.9,免费评估
164,University of Bologna,Italy,46.9,免费评估
167,Universite Paris-Est Marne-la-Vallee,France,46.5,免费评估
168,Osaka University,Japan,46.3,免费评估
168,Universite Nice Sophia Antipolis,France,46.3,免费评估
170,Bielefeld University,Germany,46.1,免费评估
171,西北大学Northwestern University,United States,46.0,免费评估
171,Sichuan University,China,46.0,免费评估
173,University of Florence,Italy,45.9,免费评估
174,Xi'an Jiaotong University,China,45.8,免费评估
175,Dalian University of Technology,China,45.6,免费评估
176,University of Zagreb,Croatia,45.4,免费评估
177,State University of Campinas,Brazil,45.2,免费评估
177,University of Milan - Bicocca,Italy,45.2,免费评估
179,National Taiwan University,Taiwan,44.7,免费评估
179,University of Amsterdam,Netherlands,44.7,免费评估
181,悉尼大学The University of Sydney,Australia,44.4,免费评估
182,Universidade Tecnica de Lisboa,Portugal,44.3,免费评估
183,Heidelberg University,Germany,43.9,免费评估
183,Kyushu University,Japan,43.9,免费评估
185,Stony Brook University--SUNY,United States,43.7,免费评估
186,Universite de Bordeaux,France,43.6,免费评估
187,Eindhoven University of Technology,Netherlands,43.5,免费评估
188,Aalto University,Finland,43.3,免费评估
189,Aveiro University,Portugal,43.1,免费评估
189,Shanghai Normal University,China,43.1,免费评估
191,Polytechnic University of Valencia,Spain,42.9,免费评估
192,University of Illinois--Chicago,United States,42.7,免费评估
193,Novosibirsk State University,Russia,42.2,免费评估
193,University of Oslo,Norway,42.2,免费评估
195,National Technical University of Athens,Greece,42.1,免费评估
196,University of Palermo,Italy,42.0,免费评估
197,Nagoya University,Japan,41.9,免费评估
198,Freie Universität Berlin,Germany,41.8,免费评估
199,Royal Institute of Technology,Sweden,41.3,免费评估
199,University of Nebraska--Lincoln,United States,41.3,免费评估
