Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
74,格罗斯特大学University of Gloucestershire,82.5,11.7,308.0,39.3,70.5,免费评估
76,布拉德福德大学University of Bradford,75.7,11.7,317.0,56.9,70.4,免费评估
77,"特威克南圣玛丽大学St Mary's, Twickenham",87.7,,293.0,38.6,70.3,免费评估
78,格林威治大学The University of Greenwich,83.3,18.3,298.0,29.7,70.1,免费评估
79,斯塔福德郡大学Staffordshire University,86.6,,238.0,47.9,69.9,免费评估
80,坎特伯雷大学Canterbury Christ Church University,84.7,10.0,273.0,35.6,69.5,免费评估
80,亚伯大学Aberystwyth University,74.5,21.7,325.0,44.4,69.5,免费评估
82,威斯敏斯特大学University of Westminster,84.0,5.0,295.0,35.8,68.8,免费评估
83,东伦敦大学University of East London,78.4,,245.0,64.0,68.6,免费评估
84,普利茅斯大学University of Plymouth,81.6,8.3,280.0,40.2,68.5,免费评估
85,诺丁汉特伦特大学Nottingham Trent University,76.8,13.3,283.0,46.2,68.1,免费评估
85,纽曼大学Newman University,87.7,0.0,273.0,31.0,68.1,免费评估
87,格罗斯泰斯特主教大学Bishop Grosseteste University,76.8,,240.0,64.8,67.6,免费评估
88,利兹圣三一大学Leeds Trinity University,77.7,11.7,223.0,46.0,66.2,免费评估
89,约克圣约翰大学York St John University,80.9,,297.0,36.3,65.9,免费评估
90,利兹贝克特大学Leeds Beckett University,80.2,,260.0,38.0,64.6,免费评估
91,金斯顿大学Kingston University,74.1,13.3,258.0,38.5,64.0,免费评估
92,索尔福德大学University of Salford,72.4,11.7,,47.3,63.9,免费评估
93,伍斯特大学University of Worcester,76.6,0.0,285.0,38.4,63.4,免费评估
