Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,85%,5.5/9,567.0,94.00%,100.0,免费评估
2,南安普顿大学University of Southampton,83%,3.8/9,457.0,97.00%,90.2,免费评估
3,萨里大学University of Surrey,87%,4.2/9,436.0,87.00%,90.0,免费评估
4,帝国理工学院Imperial College London,82%,3.7/9,491.0,87.00%,88.2,免费评估
5,谢菲尔德大学The University of Sheffield,85%,3.3/9,377.0,89.00%,84.8,免费评估
6,格拉斯哥大学University of Glasgow,83%,3.5/9,411.0,84.00%,84.2,免费评估
7,拉夫堡大学Loughborough University,85%,3.1/9,340.0,91.00%,82.7,免费评估
7,约克大学The University of York,90%,2.6/9,387.0,78.00%,82.7,免费评估
9,布里斯托大学University of Bristol,76%,2.9/9,443.0,94.00%,82.6,免费评估
10,The Queen's,82%,3.3/9,372.0,86.00%,82.5,免费评估
11,巴斯大学University of Bath,80%,3.6/9,397.0,82.00%,82.3,免费评估
12,爱丁堡大学The University of Edinburgh,82%,3.0/9,384.0,88.00%,82.1,免费评估
13,伦敦大学学院University College London,76%,3.7/9,454.0,77.00%,82.0,免费评估
14,纽卡斯尔大学Newcastle University,83%,3.0/9,342.0,91.00%,81.8,免费评估
15,埃塞克斯大学University of Essex,,3.3/9,,83.00%,80.7,免费评估
16,利兹大学University of Leeds,70%,4.4/9,399.0,80.00%,79.8,免费评估
16,诺丁汉大学University of Nottingham,79%,2.9/9,353.0,90.00%,79.8,免费评估
18,思克莱德大学University of Strathclyde,77%,2.8/9,414.0,84.00%,79.6,免费评估
19,伯明翰大学University of Birmingham,79%,2.7/9,372.0,88.00%,79.4,免费评估
20,卡迪夫大学Cardiff University,78%,2.6/9,364.0,87.00%,78.1,免费评估
21,埃克塞特大学University of Exeter,81%,2.7/9,353.0,82.00%,78.0,免费评估
22,曼彻斯特大学The University of Manchester,71%,3.9/9,378.0,74.00%,76.7,免费评估
23,肯特大学University of Kent,81%,2.6/9,255.0,88.00%,75.8,免费评估
24,阿伯丁大学University of Aberdeen,75%,3.2/9,292.0,81.00%,74.5,免费评估
25,赫瑞瓦特大学Heriot Watt University,77%,2.7/9,308.0,80.00%,74.1,免费评估
26,班戈大学Bangor University,,4.2/9,238.0,69.00%,74.0,免费评估
27,兰卡斯特大学Lancaster University,70%,2.6/9,,90.00%,73.6,免费评估
28,伦敦国王学院King's College London,77%,1.9/9,364.0,77.00%,73.2,免费评估
29,索尔福德大学University of Salford,75%,3.2/9,295.0,72.00%,72.9,免费评估
30,布鲁内尔大学Brunel University,78%,2.3/9,306.0,74.00%,72.4,免费评估
30,朴茨茅斯大学University of Portsmouth,88%,1.5/9,233.0,80.00%,72.4,免费评估
32,雷丁大学University of Reading,76%,1.9/9,329.0,81.00%,72.2,免费评估
33,利物浦大学The University of Liverpool,72%,2.9/9,335.0,69.00%,71.1,免费评估
34,萨塞克斯大学University of Sussex,75%,2.8/9,,67.00%,70.4,免费评估
35,斯塔福德郡大学Staffordshire University,69%,2.2/9,,85.00%,69.6,免费评估
36,伦敦大学玛丽女王学院Queen Mary University of London,78%,2.8/9,265.0,61.00%,69.4,免费评估
37,阿斯顿大学Aston University,77%,2.2/9,270.0,69.00%,68.9,免费评估
38,西英格兰大学University of the West of England,72%,2.6/9,243.0,75.00%,68.1,免费评估
39,利物浦约翰摩尔斯大学Liverpool John Moores University,72%,3.3/9,229.0,65.00%,67.9,免费评估
40,诺桑比亚大学Northumbria University,74%,2.2/9,240.0,75.00%,67.7,免费评估
41,斯旺西大学Swansea University,73%,1.9/9,330.0,67.00%,67.6,免费评估
42,普利茅斯大学University of Plymouth,84%,1.4/9,268.0,61.00%,67.4,免费评估
43,赫特福德大学University of Hertfordshire,76%,2.7/9,202.0,61.00%,65.9,免费评估
44,罗伯特高登大学The Robert Gordon University,74%,,302.0,89.00%,65.5,免费评估
45,赫尔大学The University of Hull,73%,1.8/9,219.0,75.00%,64.9,免费评估
45,Central Lancs,78%,1.4/9,262.0,63.00%,64.9,免费评估
47,哈德斯菲尔德大学University of Huddersfield,73%,1.9/9,279.0,59.00%,64.2,免费评估
48,伦敦城市大学City University London,64%,2.4/9,263.0,73.00%,64.0,免费评估
49,考文垂大学Coventry University,71%,2.1/9,237.0,66.00%,63.6,免费评估
50,威斯敏斯特大学University of Westminster,73%,0.9/9,302.0,64.00%,62.5,免费评估
51,曼彻斯特城市大学Manchester Metropolitan University,69%,1.5/9,226.0,71.00%,61.5,免费评估
52,布拉德福德大学University of Bradford,74%,0.8/9,,66.00%,61.1,免费评估
53,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,68%,,302.0,76.00%,59.9,免费评估
54,谢菲尔德哈莱姆大学Sheffield Hallam University,67%,1.8/9,186.0,65.00%,58.7,免费评估
55,伦敦南岸大学London South Bank University,65%,2.5/9,,51.00%,58.2,免费评估
56,蒂赛德大学Teesside University,79%,,251.0,52.00%,58.0,免费评估
57,德蒙福特大学De Montfort University,77%,1.8/9,207.0,37.00%,57.9,免费评估
58,德比大学University of Derby,74%,,248.0,62.00%,57.6,免费评估
59,Soton Solent,72%,,259.0,64.00%,57.5,免费评估
60,阿尔斯特大学University of Ulster,70%,,224.0,66.00%,55.7,免费评估
61,伯明翰城市大学Birmingham City University,67%,,242.0,64.00%,54.5,免费评估
62,格拉摩根大学University of Glamorgan,61%,2.1/9,256.0,33.00%,52.5,免费评估
63,牛津布鲁克斯大学Oxford Brookes University,66%,,234.0,55.00%,51.7,免费评估
64,波尔顿大学University of Bolton,61%,,199.0,50.00%,47.3,免费评估
