Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
70,格林威治大学The University of Greenwich,80.2%,83.9%,2.2%,253*,66.1%,78.5,免费评估
71,布拉德福德大学University of Bradford,66.8%,74.6%,10.6%,302,65.0%,78.3,免费评估
72,普利茅斯大学University of Plymouth,68.3%,66.0%,16.0%,279,68.6%,78.0,免费评估
73,格罗斯特大学University of Gloucestershire,62.6%,76.6%,,286,76.6%,77.4,免费评估
74,哥比亚大学University of Cumbria,80.0%,77.1%,,280,57.9%,77.3,免费评估
75,格林多大学Glyndwr University,78.7%,78.1%,,238,70.0%,77.2,免费评估
76,纽曼大学Newman University,81.8%,84.3%,2.2%,268,44.8%,75.5,免费评估
77,伦敦都市大学London Metropolitan University,72.0%,77.3%,8.8%,273,50.6%,75.1,免费评估
77,伍斯特大学University of Worcester,78.6%,90.5%,,197,64.4%,75.1,免费评估
79,"圣马克与圣约翰大学University of St Mark & St John, Plymouth",81.9%,84.5%,,259,46.3%,75.0,免费评估
80,坎特伯雷大学Canterbury Christ Church University,77.8%,80.8%,2.2%,273,46.5%,74.9,免费评估
