Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,格拉斯哥大学University of Glasgow,220.0,4.12,2.81,89.0,100.0,免费评估
2,思克莱德大学University of Strathclyde,213.0,3.82,3.17,90.0,99.9,免费评估
3,华威大学The University of Warwick,185.0,4.15,3.15,89.0,98.8,免费评估
4,利兹大学University of Leeds,172.0,4.48,3.18,87.0,98.6,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,187.0,3.46,3.46,94.0,97.8,免费评估
6,巴斯大学University of Bath,176.0,4.05,3.2,88.0,97.6,免费评估
7,拉夫堡大学Loughborough University,156.0,4.19,2.97,96.0,97.4,免费评估
8,英国女王大学Queen's University Belfast,159.0,4.0,2.88,94.0,96.6,免费评估
9,埃克塞特大学University of Exeter,159.0,4.21,2.85,91.0,96.3,免费评估
10,阿伯丁大学University of Aberdeen,180.0,3.84,3.02,88.0,96.1,免费评估
11,兰卡斯特大学Lancaster University,148.0,4.11,3.16,89.0,95.8,免费评估
12,杜伦大学Durham University,157.0,4.06,3.05,91.0,95.7,免费评估
13,纽卡斯尔大学Newcastle University,155.0,4.1,2.72,93.0,95.6,免费评估
14,诺丁汉大学University of Nottingham,158.0,3.98,2.92,89.0,95.5,免费评估
15,伯明翰大学University of Birmingham,144.0,4.09,2.84,90.0,94.8,免费评估
16,谢菲尔德大学The University of Sheffield,152.0,4.01,3.12,87.0,94.7,免费评估
17,爱丁堡大学The University of Edinburgh,185.0,3.79,3.04,75.0,94.3,免费评估
18,萨塞克斯大学University of Sussex,142.0,4.02,2.87,91.0,94.3,免费评估
19,斯特林大学University of Stirling,170.0,3.94,2.97,78.0,94.1,免费评估
20,东英吉利大学University of East Anglia,147.0,4.13,3.09,82.0,94.0,免费评估
21,曼彻斯特大学The University of Manchester,171.0,3.98,3.07,73.0,94.0,免费评估
22,利物浦大学The University of Liverpool,157.0,4.05,2.92,82.0,93.9,免费评估
23,赫瑞瓦特大学Heriot Watt University,163.0,3.97,2.75,82.0,93.8,免费评估
24,阿尔斯特大学University of Ulster,125.0,4.34,2.97,82.0,93.7,免费评估
25,雷丁大学University of Reading,135.0,4.0,3.11,88.0,93.7,免费评估
26,肯特大学University of Kent,139.0,3.92,2.84,90.0,93.6,免费评估
27,伦敦大学玛丽女王学院Queen Mary University of London,157.0,3.73,2.98,82.0,93.5,免费评估
28,卡迪夫大学Cardiff University,162.0,3.93,3.28,73.0,93.3,免费评估
29,斯旺西大学Swansea University,125.0,4.1,2.93,90.0,93.1,免费评估
30,罗伯特高登大学The Robert Gordon University,184.0,4.13,2.53,74.0,92.9,免费评估
31,布里斯托大学University of Bristol,169.0,3.92,3.02,68.0,92.8,免费评估
32,南安普顿大学University of Southampton,148.0,4.0,2.9,79.0,92.7,免费评估
