Rank,University,Country,Score,Free
1,Harvard University,United States,100.0,免费评估
2,麻省理工学院Massachusetts Institute of Technology,United States,86.0,免费评估
3,University of California--San Francisco,United States,78.0,免费评估
4,University of Washington,United States,77.7,免费评估
5,牛津大学University of Oxford,United Kingdom,77.4,免费评估
6,University of California--Berkeley,United States,74.7,免费评估
7,杜克大学Duke University,United States,74.6,免费评估
8,圣路易斯华盛顿大学Washington University in St Louis,United States,74.4,免费评估
9,宾夕法尼亚大学University of Pennsylvania,United States,74.3,免费评估
10,University of North Carolina--Chapel Hill,United States,72.7,免费评估
11,Rockefeller University,United States,72.4,免费评估
12,University of California--San Diego,United States,72.0,免费评估
13,University of Wisconsin--Madison,United States,70.9,免费评估
14,斯坦福大学Stanford University,United States,70.5,免费评估
15,约翰霍普金斯大学Johns Hopkins University,United States,70.2,免费评估
16,埃默里大学Emory University,United States,69.6,免费评估
17,Mount Sinai School of Medicine,United States,69.5,免费评估
18,剑桥大学University of Cambridge,United Kingdom,68.2,免费评估
19,哥伦比亚大学Columbia University,United States,68.1,免费评估
20,芝加哥大学The University of Chicago,United States,67.8,免费评估
21,耶鲁大学Yale University,United States,67.6,免费评估
22,康奈尔大学Cornell University,United States,67.2,免费评估
23,帝国理工学院Imperial College London,United Kingdom,66.4,免费评估
24,墨尔本大学The University of Melbourne,Australia,66.2,免费评估
25,University of Tokyo,Japan,66.0,免费评估
26,University of California--Los Angeles,United States,63.9,免费评估
27,Swiss Federal Institute of Technology Zurich,Switzerland,63.8,免费评估
28,University of Hong Kong,Hong Kong,63.3,免费评估
29,University of Michigan--Ann Arbor,United States,63.0,免费评估
30,University of Queensland Australia,Australia,62.8,免费评估
31,Erasmus University Rotterdam,Netherlands,62.6,免费评估
32,格拉斯哥大学University of Glasgow,United Kingdom,62.5,免费评估
33,University of Toronto,Canada,62.2,免费评估
34,爱丁堡大学The University of Edinburgh,United Kingdom,62.1,免费评估
35,Ghent University,Belgium,61.5,免费评估
36,National University of Singapore,Singapore,61.4,免费评估
37,Universidade de São Paulo,Brazil,61.3,免费评估
38,University of Copenhagen,Denmark,60.7,免费评估
39,University of Maryland--Baltimore,United States,60.3,免费评估
40,University of Munich,Germany,59.9,免费评估
41,New York University,United States,59.2,免费评估
42,London School of Hygiene & Tropical Medicine,United Kingdom,58.5,免费评估
42,McGill University,Canada,58.5,免费评估
44,Languedoc-Roussillon Universites (ComUE),France,57.6,免费评估
44,利物浦大学The University of Liverpool,United Kingdom,57.6,免费评估
46,University of California--Davis,United States,57.5,免费评估
47,乔治亚大学University of Georgia,United States,57.0,免费评估
48,University of Amsterdam,Netherlands,56.7,免费评估
49,Karolinska Institute,Sweden,55.8,免费评估
50,普林斯顿大学Princeton University,United States,55.7,免费评估
50,Seoul National University,South Korea,55.7,免费评估
52,Universite de Lyon (ComUE),France,55.2,免费评估
52,Wageningen University and Research Center,Netherlands,55.2,免费评估
54,Catholic University of Leuven,Belgium,54.8,免费评估
55,University of Aix-Marseille,France,54.7,免费评估
56,Osaka University,Japan,54.6,免费评估
56,University of Pittsburgh,United States,54.6,免费评估
58,悉尼大学The University of Sydney,Australia,53.7,免费评估
58,University of Zurich,Switzerland,53.7,免费评估
60,Universite Paris Saclay (ComUE),France,53.2,免费评估
61,Ohio State University--Columbus,United States,52.7,免费评估
62,University of British Columbia,Canada,52.3,免费评估
63,University of Cape Town,South Africa,52.2,免费评估
63,University of Texas Medical Branch--Galveston,United States,52.2,免费评估
65,University of Helsinki,Finland,51.9,免费评估
66,Leiden University,Netherlands,51.7,免费评估
67,伦敦大学学院University College London,United Kingdom,51.4,免费评估
68,University of Minnesota--Twin Cities,United States,50.7,免费评估
69,Mahidol University,Thailand,50.6,免费评估
70,Universite Sorbonne Paris Cite-USPC (ComUE),France,50.5,免费评估
70,南加州大学University of Southern California,United States,50.5,免费评估
72,Kyoto University,Japan,50.2,免费评估
73,Freie Universität Berlin,Germany,50.1,免费评估
74,Radboud University Nijmegen,Netherlands,49.9,免费评估
74,佛罗里达大学University of Florida,United States,49.9,免费评估
76,蒙纳士大学Monash University,Australia,49.8,免费评估
77,University of Freiburg,Germany,49.7,免费评估
77,Utrecht University,Netherlands,49.7,免费评估
79,匹兹堡州立大学Pittsburg State University,United States,49.6,免费评估
80,阿伯丁大学University of Aberdeen,United Kingdom,49.5,免费评估
81,University of Vienna,Austria,49.3,免费评估
82,凯斯西储大学Case Western Reserve University,United States,49.0,免费评估
83,University of Texas Southwestern Medical Center--Dallas,United States,48.9,免费评估
84,University of California--Irvine,United States,48.8,免费评估
85,Purdue University--West Lafayette,United States,48.1,免费评估
86,University of Alabama--Birmingham,United States,47.7,免费评估
87,新南威尔士大学The University of New South Wales,Australia,47.1,免费评估
88,Hokkaido University,Japan,47.0,免费评估
88,University of Bonn,Germany,47.0,免费评估
90,Federal University of Minas Gerais,Brazil,46.7,免费评估
90,National Autonomous University of Mexico,Mexico,46.7,免费评估
92,University of Basel,Switzerland,46.4,免费评估
93,University of Tennessee,United States,46.2,免费评估
94,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,46.1,免费评估
95,"Rutgers, The State University of New Jersey--New Brunswick",United States,46.0,免费评估
96,Baylor College of Medicine,United States,45.9,免费评估
97,University of Cologne,Germany,45.5,免费评估
98,University of Massachusetts Worcester,United States,45.3,免费评估
99,纽卡斯尔大学Newcastle University,United Kingdom,45.2,免费评估
100,University of Pretoria,South Africa,45.1,免费评估
100,范德堡大学Vanderbilt University,United States,45.1,免费评估
102,University of Kentucky,United States,45.0,免费评估
102,University of Würzburg,Germany,45.0,免费评估
104,Colorado State University,United States,44.8,免费评估
104,密歇根州立大学Michigan State University,United States,44.8,免费评估
106,Nanyang Technological University,Singapore,44.6,免费评估
106,Technical University of Denmark,Denmark,44.6,免费评估
108,Fudan University,China,44.3,免费评估
108,University of Calgary,Canada,44.3,免费评估
110,University of Geneva,Switzerland,44.1,免费评估
111,Hebrew University of Jerusalem,Israel,44.0,免费评估
111,西北大学Northwestern University,United States,44.0,免费评估
113,Heidelberg University,Germany,43.8,免费评估
113,University of Otago,New Zealand,43.8,免费评估
115,University of Münster,Germany,43.7,免费评估
116,Federal University of Rio de Janeiro,Brazil,43.4,免费评估
117,University of Lausanne,Switzerland,43.2,免费评估
117,Yeshiva University,United States,43.2,免费评估
119,Hannover Medical School,Germany,43.0,免费评估
119,Heinrich Heine University of Dusseldorf,Germany,43.0,免费评估
121,University of Texas--Austin,United States,42.7,免费评估
122,University of Connecticut,United States,42.4,免费评估
123,University of Malaya,Malaysia,42.1,免费评估
124,Liverpool School of Tropical Medicine,United Kingdom,42.0,免费评估
124,University of Porto,Portugal,42.0,免费评估
126,"Eberhard Karls University, Tübingen",Germany,41.9,免费评估
127,伯明翰大学University of Birmingham,United Kingdom,41.8,免费评估
128,Swedish University of Agricultural Sciences,Sweden,41.6,免费评估
128,University of Strasbourg,France,41.6,免费评估
130,University of Groningen,Netherlands,41.4,免费评估
131,Humboldt-Universität zu Berlin,Germany,41.1,免费评估
132,塔夫茨大学Tufts University,United States,40.7,免费评估
133,Aarhus University,Denmark,40.6,免费评估
134,Tulane University,United States,40.5,免费评估
135,Indiana University--Bloomington,United States,40.2,免费评估
136,Sapienza University of Rome,Italy,39.8,免费评估
136,University of Arizona,United States,39.8,免费评估
138,达特茅斯学院Dartmouth College,United States,39.5,免费评估
139,Universite Federale Toulouse Midi-Pyrenees (ComUE),France,39.4,免费评估
140,Charles University in Prague,Czech Republic,38.6,免费评估
140,德克萨斯A&M大学Texas A & M University,United States,38.6,免费评估
140,University of Bern,Switzerland,38.6,免费评估
143,Tsinghua University,China,38.5,免费评估
143,University of Nebraska--Lincoln,United States,38.5,免费评估
145,Zhejiang University,China,38.4,免费评估
146,China Agricultural University,China,38.3,免费评估
146,University of Witwatersrand,South Africa,38.3,免费评估
148,爱荷华大学University of Iowa,United States,38.2,免费评估
148,Uppsala University,Sweden,38.2,免费评估
150,University of Alberta,Canada,38.1,免费评估
150,University of Lisbon,Portugal,38.1,免费评估
152,Nagasaki University,Japan,38.0,免费评估
152,University of Giessen,Germany,38.0,免费评估
154,波士顿大学Boston Universiy,United States,37.5,免费评估
154,Philipps University of Marburg,Germany,37.5,免费评估
154,University College Cork,Ireland,37.5,免费评估
154,华威大学The University of Warwick,United Kingdom,37.5,免费评估
158,弗吉尼亚理工大学Virginia Polytechnic Institute and State University,United States,37.4,免费评估
159,University of Oklahoma,United States,36.9,免费评估
160,University of Gothenburg,Sweden,36.8,免费评估
160,University of Milan,Italy,36.8,免费评估
160,VU University Amsterdam,Netherlands,36.8,免费评估
163,University of Montreal,Canada,36.6,免费评估
164,诺丁汉大学University of Nottingham,United Kingdom,36.5,免费评估
165,McMaster University,Canada,36.4,免费评估
166,卡迪夫大学Cardiff University,United Kingdom,36.2,免费评估
167,Free University of Brussels,Belgium,36.0,免费评估
167,Laval University,Canada,36.0,免费评估
169,University of Guelph,Canada,35.8,免费评估
170,University of Turku,Finland,35.6,免费评估
170,University of Utah,United States,35.6,免费评估
172,Friedrich Schiller University of Jena,Germany,35.4,免费评估
172,Oregon State University,United States,35.4,免费评估
174,Sun Yat-sen University,China,35.2,免费评估
175,曼彻斯特大学The University of Manchester,United Kingdom,35.1,免费评估
175,University of Maryland--College Park,United States,35.1,免费评估
177,布里斯托大学University of Bristol,United Kingdom,34.9,免费评估
178,King Saud University,Saudi Arabia,34.8,免费评估
179,Communaute Universite Grenoble Alpes,France,34.5,免费评估
179,Kansas State University,United States,34.5,免费评估
179,University of Nova de Lisboa,Portugal,34.5,免费评估
182,Tel Aviv University,Israel,34.4,免费评估
183,M. V. Lomonosov Moscow State University,Russia,34.2,免费评估
183,University of California--Riverside,United States,34.2,免费评估
185,Universite Lille-Nord-de-France (ComUE),France,34.1,免费评估
186,Iowa State University,United States,34.0,免费评估
186,University of Barcelona,Spain,34.0,免费评估
188,Huazhong Agricultural University,China,33.9,免费评估
189,Medical University of Vienna,Austria,33.8,免费评估
189,Peking University,China,33.8,免费评估
191,Universite Toulouse III - Paul Sabatier,France,33.7,免费评估
192,University of Göttingen,Germany,33.6,免费评估
193,Autonomous University of Barcelona,Spain,33.5,免费评估
194,North Carolina State University--Raleigh,United States,33.3,免费评估
194,University of South Bohemia Ceske Budejovice,Czech Republic,33.3,免费评估
196,University of Veterinary Medicine Vienna,Austria,33.2,免费评估
197,University of Duisburg-Essen,Germany,33.1,免费评估
198,UNESP - Universidade Estadual Paulista,Brazil,33.0,免费评估
199,Montana State University,United States,32.6,免费评估
200,University of Bari,Italy,32.2,免费评估
