Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,87,4.2,579.0,75.0,100.0,免费评估
2,剑桥大学University of Cambridge,90,3.3,534.0,81.0,99.7,免费评估
3,圣安德鲁斯大学University of St Andrews,85,0.7,574.0,,90.9,免费评估
4,埃克塞特大学University of Exeter,82,2.2,430.0,81.0,89.4,免费评估
5,杜伦大学Durham University,82,1.6,488.0,77.0,88.7,免费评估
6,伯明翰大学University of Birmingham,82,2.7,,70.0,88.3,免费评估
7,伦敦大学学院University College London,80,2.1,433.0,77.0,87.0,免费评估
8,布里斯托大学University of Bristol,77,2.8,451.0,74.0,86.5,免费评估
9,诺丁汉大学University of Nottingham,77,3.1,380.0,79.0,86.4,免费评估
10,曼彻斯特大学The University of Manchester,74,4.3,368.0,,83.5,免费评估
11,谢菲尔德大学The University of Sheffield,80,3.7,374.0,58.0,83.1,免费评估
12,巴斯大学University of Bath,83,2.1,,54.0,81.6,免费评估
13,格拉斯哥大学University of Glasgow,85,0.2,392.0,65.0,81.1,免费评估
14,爱丁堡大学The University of Edinburgh,75,1.6,453.0,,80.3,免费评估
15,利兹大学University of Leeds,77,0.9,415.0,59.0,76.8,免费评估
16,朴茨茅斯大学University of Portsmouth,83,,287.0,65.0,76.5,免费评估
