Rank,University,Country,Score,Free
1,Nanyang Technological University,Singapore,100.0,免费评估
2,麻省理工学院Massachusetts Institute of Technology,United States,96.2,免费评估
3,斯坦福大学Stanford University,United States,95.6,免费评估
4,Tsinghua University,China,93.2,免费评估
5,Harvard University,United States,90.2,免费评估
6,佐治亚理工学院Georgia Institute of Technology,United States,89.5,免费评估
6,University of California--Berkeley,United States,89.5,免费评估
8,Fudan University,China,87.7,免费评估
9,National University of Singapore,Singapore,86.9,免费评估
10,Peking University,China,86.3,免费评估
11,西北大学Northwestern University,United States,83.7,免费评估
12,剑桥大学University of Cambridge,United Kingdom,82.4,免费评估
13,Shanghai Jiao Tong University,China,82.2,免费评估
14,École Polytechnique Federale of Lausanne,Switzerland,81.9,免费评估
15,University of Science and Technology of China,China,81.6,免费评估
16,Seoul National University,South Korea,81.1,免费评估
17,University of California--Los Angeles,United States,80.9,免费评估
18,Zhejiang University,China,80.7,免费评估
19,Soochow University,China,79.6,免费评估
20,Korea Advanced Institute of Science and Technology,South Korea,79.0,免费评估
21,University of California--Santa Barbara,United States,77.9,免费评估
22,Hong Kong University of Science and Technology,Hong Kong,77.8,免费评估
23,帝国理工学院Imperial College London,United Kingdom,76.6,免费评估
24,牛津大学University of Oxford,United Kingdom,76.0,免费评估
25,University of Washington,United States,75.7,免费评估
26,University of Texas--Austin,United States,75.6,免费评估
27,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,75.0,免费评估
28,Pohang University of Science and Technology,South Korea,74.4,免费评估
29,匹兹堡州立大学Pittsburg State University,United States,74.2,免费评估
30,Harbin Institute of Technology,China,73.9,免费评估
31,City University Hong Kong,Hong Kong,73.8,免费评估
32,Huazhong University of Science and Technology,China,73.5,免费评估
32,Tohoku University,Japan,73.5,免费评估
34,莱斯大学Rice University,United States,73.4,免费评估
35,University of Michigan--Ann Arbor,United States,72.5,免费评估
36,King Abdullah University of Science & Technology,Saudi Arabia,71.7,免费评估
37,Xi'an Jiaotong University,China,71.5,免费评估
38,芝加哥大学The University of Chicago,United States,71.2,免费评估
39,Nanjing University,China,71.1,免费评估
39,Sungkyunkwan University,South Korea,71.1,免费评估
39,Swiss Federal Institute of Technology Zurich,Switzerland,71.1,免费评估
42,蒙纳士大学Monash University,Australia,70.2,免费评估
42,University of Science & Technology Beijing,China,70.2,免费评估
44,University of Tokyo,Japan,69.9,免费评估
45,Jilin University,China,69.1,免费评估
46,哥伦比亚大学Columbia University,United States,68.9,免费评估
46,King Abdulaziz University,Saudi Arabia,68.9,免费评估
48,Chinese University Hong Kong,Hong Kong,68.7,免费评估
49,North Carolina State University--Raleigh,United States,67.6,免费评估
49,宾夕法尼亚大学University of Pennsylvania,United States,67.6,免费评估
51,Delft University of Technology,Netherlands,67.2,免费评估
