Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Harvard University,UnitedStates,100.0,84.8,76.5,92.7,,292.9,免费评估
2,Shanghai Jiao Tong University,China,76.7,80.1,60.9,100.0,,269.0,免费评估
3,Fudan University,China,52.1,86.7,51.4,97.9,,247.0,免费评估
4,Massachusetts Institute of Technology (MIT),UnitedStates,60.6,97.0,77.0,69.5,,242.5,免费评估
5,National University of Singapore,Singapore,67.4,76.9,80.8,74.3,,234.9,免费评估
6,Seoul National University,SouthKorea,63.3,68.5,52.8,84.5,,226.8,免费评估
7,Soochow University (China),China,45.0,97.0,58.6,72.4,,226.2,免费评估
8,Stanford University,UnitedStates,67.9,85.6,71.2,56.7,,224.4,免费评估
9,Peking University,China,52.1,83.1,59.6,76.6,,223.7,免费评估
10,Sichuan University,China,57.1,79.0,54.7,75.3,,222.3,免费评估
11,"University of Pittsburgh, Pittsburgh Campus",UnitedStates,63.2,76.5,60.7,65.8,,217.7,免费评估
12,Johns Hopkins University,UnitedStates,64.4,77.8,69.4,57.9,,214.0,免费评估
13,Zhejiang University,China,56.1,71.8,63.4,72.4,,213.0,免费评估
14,University of Michigan-Ann Arbor,UnitedStates,66.1,76.7,61.5,57.3,,212.4,免费评估
15,University of Pennsylvania,UnitedStates,60.5,82.9,60.3,52.9,,208.4,免费评估
16,伦敦大学学院University College London,UnitedKingdom,70.0,70.3,78.3,47.3,,203.3,免费评估
17,Georgia Institute of Technology,UnitedStates,58.2,77.9,57.2,54.8,,202.4,免费评估
18,帝国理工学院Imperial College London,UnitedKingdom,61.0,81.9,76.4,43.5,,201.6,免费评估
19,Swiss Federal Institute of Technology Zurich,Switzerland,55.0,79.8,84.6,49.5,,201.2,免费评估
20,Korea University,SouthKorea,46.8,76.5,65.9,60.9,,197.4,免费评估
21,University of Toronto,Canada,64.6,68.9,66.7,49.5,,196.3,免费评估
22,Utrecht University,Netherlands,49.4,89.3,76.4,41.8,,195.8,免费评估
23,Tsinghua University,China,55.5,77.0,67.6,49.5,,195.5,免费评估
24,Emory University,UnitedStates,49.0,86.4,61.9,47.3,,195.1,免费评估
25,City University of Hong Kong,China-HongKong,28.1,100.0,59.8,53.5,,193.6,免费评估
26,"University of California, San Diego",UnitedStates,51.1,85.0,69.7,43.5,,193.5,免费评估
27,University of North Carolina at Chapel Hill,UnitedStates,46.4,83.9,68.6,48.8,,192.8,免费评估
28,Columbia University,UnitedStates,53.5,79.9,70.1,45.0,,192.4,免费评估
29,Wake Forest University,UnitedStates,45.2,79.3,62.2,54.2,,191.2,免费评估
30,Northwestern University,UnitedStates,50.4,78.2,59.2,48.0,,188.5,免费评估
31,Nanjing University,China,32.8,84.8,58.6,57.9,,187.3,免费评估
32,University of Washington,UnitedStates,51.9,73.1,67.5,48.0,,186.5,免费评估
33,National Tsing Hua University,China-Taiwan,32.1,80.5,44.3,64.2,,185.7,免费评估
34,Military Medical University of the Air Force,China,42.7,72.9,56.4,58.5,,185.5,免费评估
35,"University of California, Los Angeles",UnitedStates,52.4,74.3,64.6,45.8,,185.4,免费评估
36,Sun Yat-sen University,China,44.6,71.4,56.6,57.3,,184.6,免费评估
37,Nanyang Technological University,Singapore,49.1,75.2,82.6,42.6,,183.5,免费评估
38,Wuhan University,China,40.2,75.1,64.3,54.8,,182.9,免费评估
39,Tufts University,UnitedStates,40.2,78.2,71.1,50.2,,182.8,免费评估
40,The University of Tokyo,Japan,50.0,69.4,53.8,52.2,,182.4,免费评估
41,National Taiwan University,China-Taiwan,48.6,64.8,51.3,58.5,,182.2,免费评估
42,剑桥大学University of Cambridge,UnitedKingdom,43.1,92.4,79.6,30.2,,181.5,免费评估
43,Jilin University,China,44.5,75.2,57.4,48.8,,179.9,免费评估
44,Pohang University of Science and Technology,SouthKorea,28.3,99.0,52.9,41.8,,179.8,免费评估
44,University of Wisconsin - Madison,UnitedStates,51.1,73.9,57.0,43.5,,179.8,免费评估
46,Duke University,UnitedStates,50.0,74.6,53.4,44.2,,179.5,免费评估
47,TU Dresden,Germany,44.0,76.0,70.5,44.2,,178.4,免费评估
47,University of Zurich,Switzerland,49.4,79.2,81.8,33.4,,178.4,免费评估
49,"University of California, Berkeley",UnitedStates,40.2,79.7,66.0,44.2,,177.3,免费评估
50,University of Science and Technology of China,China,30.6,82.2,70.5,50.2,,177.1,免费评估
