Rank,University,Country,Score,Free
1,Harvard University,United States,100.0,免费评估
2,伦敦国王学院King's College London,United Kingdom,95.0,免费评估
3,斯坦福大学Stanford University,United States,88.4,免费评估
4,耶鲁大学Yale University,United States,87.1,免费评估
5,哥伦比亚大学Columbia University,United States,86.5,免费评估
6,University of California--Los Angeles,United States,84.5,免费评估
7,伦敦大学学院University College London,United Kingdom,83.5,免费评估
8,University of Toronto,Canada,81.9,免费评估
9,牛津大学University of Oxford,United Kingdom,81.7,免费评估
10,杜克大学Duke University,United States,80.0,免费评估
11,宾夕法尼亚大学University of Pennsylvania,United States,79.8,免费评估
12,University of Michigan--Ann Arbor,United States,79.6,免费评估
13,New York University,United States,78.5,免费评估
14,剑桥大学University of Cambridge,United Kingdom,78.3,免费评估
15,University of Pittsburgh,United States,76.8,免费评估
16,University of California--San Diego,United States,76.7,免费评估
17,Karolinska Institute,Sweden,76.6,免费评估
18,墨尔本大学The University of Melbourne,Australia,76.3,免费评估
19,约翰霍普金斯大学Johns Hopkins University,United States,75.4,免费评估
19,University of Amsterdam,Netherlands,75.4,免费评估
21,University of North Carolina--Chapel Hill,United States,75.1,免费评估
22,Catholic University of Leuven,Belgium,74.9,免费评估
23,University of British Columbia,Canada,74.4,免费评估
24,VU University Amsterdam,Netherlands,73.6,免费评估
25,麻省理工学院Massachusetts Institute of Technology,United States,73.5,免费评估
26,University of Minnesota--Twin Cities,United States,73.3,免费评估
27,新南威尔士大学The University of New South Wales,Australia,71.1,免费评估
28,University of Washington,United States,70.8,免费评估
28,Utrecht University,Netherlands,70.8,免费评估
30,University of California--San Francisco,United States,70.5,免费评估
31,芝加哥大学The University of Chicago,United States,69.3,免费评估
32,University of California--Berkeley,United States,68.9,免费评估
33,University of Groningen,Netherlands,68.8,免费评估
34,康奈尔大学Cornell University,United States,68.3,免费评估
35,McGill University,Canada,68.2,免费评估
36,圣路易斯华盛顿大学Washington University in St Louis,United States,68.0,免费评估
37,西北大学Northwestern University,United States,67.8,免费评估
38,Ohio State University--Columbus,United States,67.2,免费评估
39,Maastricht University,Netherlands,66.8,免费评估
39,University of California--Davis,United States,66.8,免费评估
41,University of Queensland Australia,Australia,66.2,免费评估
42,University of Wisconsin--Madison,United States,66.1,免费评估
43,University of Munich,Germany,66.0,免费评估
44,范德堡大学Vanderbilt University,United States,65.7,免费评估
45,普林斯顿大学Princeton University,United States,65.5,免费评估
45,University of Zurich,Switzerland,65.5,免费评估
47,埃默里大学Emory University,United States,65.1,免费评估
48,Ghent University,Belgium,65.0,免费评估
49,波士顿大学Boston Universiy,United States,64.6,免费评估
50,悉尼大学The University of Sydney,Australia,64.2,免费评估
51,南加州大学University of Southern California,United States,64.0,免费评估
52,Radboud University Nijmegen,Netherlands,63.9,免费评估
53,匹兹堡州立大学Pittsburg State University,United States,63.7,免费评估
54,"弗吉尼亚大学University of Virginia,Main Campus",United States,63.4,免费评估
55,University of Texas--Austin,United States,63.0,免费评估
56,Aarhus University,Denmark,61.8,免费评估
57,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,61.7,免费评估
58,爱丁堡大学The University of Edinburgh,United Kingdom,61.3,免费评估
58,西澳大学The University of Western Australia,Australia,61.3,免费评估
60,Humboldt-Universität zu Berlin,Germany,61.2,免费评估
61,密歇根州立大学Michigan State University,United States,61.1,免费评估
61,布里斯托大学University of Bristol,United Kingdom,61.1,免费评估
63,University of Barcelona,Spain,60.6,免费评估
63,University of California--Irvine,United States,60.6,免费评估
65,Freie Universität Berlin,Germany,59.6,免费评估
65,Technical University of Dresden,Germany,59.6,免费评估
67,布朗大学Brown University,United States,59.5,免费评估
67,卡内基梅隆大学Carnegie Mellon University,United States,59.5,免费评估
67,Mount Sinai School of Medicine,United States,59.5,免费评估
67,曼彻斯特大学The University of Manchester,United Kingdom,59.5,免费评估
71,Erasmus University Rotterdam,Netherlands,59.0,免费评估
72,卡迪夫大学Cardiff University,United Kingdom,58.8,免费评估
72,University of Colorado--Boulder,United States,58.8,免费评估
74,Arizona State University--Tempe,United States,58.7,免费评估
74,University of Copenhagen,Denmark,58.7,免费评估
76,Heidelberg University,Germany,58.0,免费评估
77,Tilburg University,Netherlands,57.7,免费评估
78,University of Maryland--College Park,United States,57.4,免费评估
79,Florida State University,United States,57.3,免费评估
79,Indiana University--Bloomington,United States,57.3,免费评估
81,爱荷华大学University of Iowa,United States,56.8,免费评估
81,迈阿密大学University of Miami,United States,56.8,免费评估
83,University of Rochester,United States,56.6,免费评估
84,Stony Brook University--SUNY,United States,56.3,免费评估
85,University of Basel,Switzerland,56.1,免费评估
86,University of Hong Kong,Hong Kong,55.6,免费评估
87,Leiden University,Netherlands,55.3,免费评估
88,Virginia Commonwealth University,United States,55.2,免费评估
89,University of Illinois--Chicago,United States,54.6,免费评估
90,佛罗里达大学University of Florida,United States,53.6,免费评估
91,Universidade de São Paulo,Brazil,53.1,免费评估
92,University of Arizona,United States,52.9,免费评估
93,萨塞克斯大学University of Sussex,United Kingdom,52.8,免费评估
94,University of Oslo,Norway,52.5,免费评估
94,University of Otago,New Zealand,52.5,免费评估
96,University of Geneva,Switzerland,52.4,免费评估
97,University of Connecticut,United States,52.1,免费评估
97,University of Missouri,United States,52.1,免费评估
99,Tel Aviv University,Israel,51.9,免费评估
99,University of Oregon,United States,51.9,免费评估
101,蒙纳士大学Monash University,Australia,51.4,免费评估
101,Western University,Canada,51.4,免费评估
103,"Rutgers, The State University of New Jersey--New Brunswick",United States,51.3,免费评估
104,Universite Sorbonne Paris Cite-USPC (ComUE),France,51.1,免费评估
105,Hebrew University of Jerusalem,Israel,51.0,免费评估
106,达特茅斯学院Dartmouth College,United States,50.8,免费评估
107,帝国理工学院Imperial College London,United Kingdom,50.0,免费评估
108,南安普顿大学University of Southampton,United Kingdom,49.8,免费评估
109,约克大学The University of York,United Kingdom,49.6,免费评估
110,Federal University of Rio Grande do Sul,Brazil,49.4,免费评估
110,University of Texas Southwestern Medical Center--Dallas,United States,49.4,免费评估
112,Purdue University--West Lafayette,United States,49.3,免费评估
113,澳大利亚国立大学The Australian National University,Australia,49.1,免费评估
114,纽卡斯尔大学Newcastle University,United Kingdom,49.0,免费评估
115,University of Padua,Italy,48.6,免费评估
116,Baylor College of Medicine,United States,48.4,免费评估
116,"Eberhard Karls University, Tübingen",Germany,48.4,免费评估
118,埃克塞特大学University of Exeter,United Kingdom,47.8,免费评估
119,University of Cologne,Germany,47.7,免费评估
119,University of Göttingen,Germany,47.7,免费评估
119,University of Montreal,Canada,47.7,免费评估
122,McMaster University,Canada,47.5,免费评估
122,Sapienza University of Rome,Italy,47.5,免费评估
122,德克萨斯A&M大学Texas A & M University,United States,47.5,免费评估
125,University of Bern,Switzerland,47.3,免费评估
126,University of Waterloo,Canada,47.2,免费评估
127,Dalhousie University,Canada,47.1,免费评估
127,Queen's University,Canada,47.1,免费评估
127,University of Helsinki,Finland,47.1,免费评估
130,University of Bonn,Germany,46.7,免费评估
131,National University of Singapore,Singapore,46.5,免费评估
131,伯明翰大学University of Birmingham,United Kingdom,46.5,免费评估
133,University of California--Santa Barbara,United States,46.4,免费评估
134,Birkbeck University London,United Kingdom,45.5,免费评估
135,麦考瑞大学Macquarie University,Australia,45.2,免费评估
136,University of Bergen,Norway,44.9,免费评估
137,University of Calgary,Canada,44.8,免费评估
138,University of Milan - Bicocca,Italy,44.7,免费评估
138,University of South Florida,United States,44.7,免费评估
140,格拉斯哥大学University of Glasgow,United Kingdom,44.6,免费评估
140,University of New Mexico,United States,44.6,免费评估
142,Simon Fraser University,Canada,44.5,免费评估
142,University of California--Riverside,United States,44.5,免费评估
144,University of Auckland,New Zealand,44.1,免费评估
145,Chinese University Hong Kong,Hong Kong,44.0,免费评估
146,University Catholique of Louvain,Belgium,43.8,免费评估
146,University of Utah,United States,43.8,免费评估
148,University of Würzburg,Germany,43.7,免费评估
149,肯特大学University of Kent,United Kingdom,43.5,免费评估
150,Autonomous University of Barcelona,Spain,43.4,免费评估
151,Temple University,United States,43.1,免费评估
151,乔治亚大学University of Georgia,United States,43.1,免费评估
151,University of Western Sydney,Australia,43.1,免费评估
154,University of Cape Town,South Africa,42.9,免费评估
155,诺丁汉大学University of Nottingham,United Kingdom,42.7,免费评估
156,迪肯大学Deakin University,Australia,42.5,免费评估
157,University of Kansas,United States,42.4,免费评估
158,Pompeu Fabra University,Spain,42.3,免费评估
158,University of Leipzig,Germany,42.3,免费评估
160,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,42.0,免费评估
160,Stockholm University,Sweden,42.0,免费评估
162,Philipps University of Marburg,Germany,41.9,免费评估
163,阿德莱德大学University of Adelaide,Australia,41.6,免费评估
163,York University,Canada,41.6,免费评估
165,Yeshiva University,United States,41.3,免费评估
166,谢菲尔德大学The University of Sheffield,United Kingdom,41.1,免费评估
167,Peking University,China,41.0,免费评估
167,University of Bologna,Italy,41.0,免费评估
169,利兹大学University of Leeds,United Kingdom,40.6,免费评估
170,Technical University of Munich,Germany,40.5,免费评估
171,Lund University,Sweden,40.4,免费评估
172,Autonomous University of Madrid,Spain,40.3,免费评估
172,University of Maryland--Baltimore,United States,40.3,免费评估
172,圣安德鲁斯大学University of St Andrews,United Kingdom,40.3,免费评估
175,凯斯西储大学Case Western Reserve University,United States,39.9,免费评估
175,University of Cincinnati,United States,39.9,免费评估
177,Seoul National University,South Korea,39.8,免费评估
178,Northeastern University,United States,39.6,免费评估
179,杜伦大学Durham University,United Kingdom,39.4,免费评估
180,Florida International University,United States,39.3,免费评估
181,University of Ottawa,Canada,39.2,免费评估
181,University of Potsdam,Germany,39.2,免费评估
183,Nanyang Technological University,Singapore,39.1,免费评估
