Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,雷丁大学University of Reading,2.2,345.0,0.83,0.65,免费评估
2,哈珀亚当斯大学Harper Adams University,1.2,298.0,0.88,0.82,免费评估
3,诺丁汉大学University of Nottingham,2.8,336.0,0.8,0.55,免费评估
4,纽卡斯尔大学Newcastle University,2.0,295.0,0.84,0.71,免费评估
5,英国女王大学Queen's University Belfast,1.7,296.0,0.82,0.63,免费评估
6,亚伯大学Aberystwyth University,2.3,322.0,0.85,0.38,免费评估
7,班戈大学Bangor University,2.0,284.0,,0.54,免费评估
7,阿伯丁大学University of Aberdeen,2.9,,,0.38,免费评估
9,格林威治大学The University of Greenwich,1.6,241.0,,0.55,免费评估
10,皇家农学院Royal Agricultural University,0.7,296.0,0.79,0.47,免费评估
11,西英格兰大学University of the West of England,2.0,286.0,0.67,0.48,免费评估
12,诺丁汉特伦特大学Nottingham Trent University,,297.0,0.74,0.48,免费评估
13,谢菲尔德哈莱姆大学Sheffield Hallam University,,303.0,0.77,0.38,免费评估
14,林肯大学University of Lincoln,1.0,,0.67,0.54,免费评估
15,普利茅斯大学University of Plymouth,0.9,217.0,0.75,0.4,免费评估
16,索尔福德大学University of Salford,,186.0,0.76,0.46,免费评估
