Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,格拉斯哥大学University of Glasgow,98.4,30.0,531.0,99.4,100.0,免费评估
2,伦敦大学玛丽女王学院Queen Mary University of London,91.0,41.7,507.0,97.6,97.7,免费评估
3,纽卡斯尔大学Newcastle University,91.9,30.0,519.0,99.2,96.0,免费评估
3,曼彻斯特大学The University of Manchester,86.6,45.0,501.0,97.5,96.0,免费评估
5,邓迪大学University of Dundee,84.8,23.3,572.0,97.7,95.8,免费评估
6,伦敦国王学院King's College London,84.8,43.3,505.0,98.6,95.2,免费评估
7,英国女王大学Queen's University Belfast,96.4,25.0,484.0,100.0,93.6,免费评估
8,谢菲尔德大学The University of Sheffield,89.8,33.3,485.0,98.9,93.0,免费评估
9,Cardiff University,84.8,31.7,496.0,98.0,91.2,免费评估
10,布拉德福德大学University of Bradford,84.4,33.3,492.0,100.0,91.1,免费评估
11,普利茅斯大学University of Plymouth,96.7,11.7,,100.0,90.8,免费评估
12,伯明翰大学University of Birmingham,86.9,26.7,492.0,100.0,90.5,免费评估
13,利物浦大学The University of Liverpool,96.4,20.0,461.0,99.3,90.1,免费评估
14,利兹大学University of Leeds,82.9,33.3,484.0,97.4,89.7,免费评估
