Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,3.6,504.0,0.88,0.75,免费评估
2,牛津大学University of Oxford,3.0,499.0,0.82,0.75,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,3.9,429.0,0.66,0.81,免费评估
4,伦敦大学学院University College London,3.3,438.0,0.81,0.66,免费评估
5,伦敦大学亚非学院SOAS University of London,3.6,414.0,0.76,0.65,免费评估
6,圣安德鲁斯大学University of St Andrews,3.0,438.0,0.88,0.54,免费评估
7,萨塞克斯大学University of Sussex,3.0,368.0,0.77,0.64,免费评估
8,杜伦大学Durham University,2.7,388.0,0.76,0.65,免费评估
9,阿伯丁大学University of Aberdeen,3.1,321.0,0.87,0.46,免费评估
10,肯特大学University of Kent,2.5,328.0,0.88,0.54,免费评估
11,伦敦大学金史密斯学院Goldsmiths University of London,3.0,312.0,0.73,0.65,免费评估
12,格拉斯哥大学University of Glasgow,2.0,411.0,0.76,0.63,免费评估
12,英国女王大学Queen's University Belfast,3.3,337.0,0.79,0.45,免费评估
14,爱丁堡大学The University of Edinburgh,3.1,441.0,0.68,0.52,免费评估
14,赫尔大学The University of Hull,2.1,,0.81,0.62,免费评估
16,布鲁内尔大学Brunel University,2.7,311.0,0.73,0.61,免费评估
17,罗汉普顿大学Roehampton University,3.2,232.0,0.75,0.56,免费评估
18,曼彻斯特大学The University of Manchester,2.7,394.0,0.7,0.45,免费评估
19,牛津布鲁克斯大学Oxford Brookes University,1.6,291.0,0.78,0.56,免费评估
20,兰彼得大学University of Wales Lampeter,2.5,215.0,,0.57,免费评估
21,利物浦约翰摩尔斯大学Liverpool John Moores University,2.1,270.0,0.74,,免费评估
