Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
65,诺桑比亚大学Northumbria University,81.1%,74.7%,13.3%,142,44.7%,82.2,免费评估
65,利物浦约翰摩尔斯大学Liverpool John Moores University,77.3%,76.6%,,140,57.4%,82.2,免费评估
67,伍尔弗汉普顿大学University of Wolverhampton,92.1%,90.1%,,113,51.5%,82.0,免费评估
67,普利茅斯大学University of Plymouth,78.4%,74.5%,20.2%,132,48.2%,82.0,免费评估
69,伯恩茅斯大学Bournemouth University,69.8%,71.9%,15.1%,143,54.6%,81.9,免费评估
70,伦敦都市大学London Metropolitan University,86.7%,81.8%,,107,62.2%,81.5,免费评估
71,谢菲尔德哈莱姆大学Sheffield Hallam University,88.3%,84.5%,14.4%,117,42.4%,81.2,免费评估
72,University of Wales Trinity St David,81.3%,70.0%,,122,61.8%,81.0,免费评估
73,奇切斯特大学University of Chichester,77.5%,72.7%,9.7%,133,50.8%,80.8,免费评估
74,切斯特大学University of Chester,82.1%,79.1%,4.3%,120,53.9%,80.7,免费评估
74,金斯顿大学Kingston University,80.7%,74.7%,15.7%,128,45.3%,80.7,免费评估
76,伍斯特大学University of Worcester,80.8%,82.1%,3.5%,124,51.4%,80.6,免费评估
76,Leeds Arts University,85.4%,83.4%,,133,43.2%,80.6,免费评估
78,桑德兰大学University of Sunderland,79.6%,76.8%,4.2%,120,57.0%,80.5,免费评估
79,约克圣约翰大学York St John University,86.0%,77.2%,10.5%,120,45.2%,80.4,免费评估
79,索尔福德大学University of Salford,80.7%,75.6%,7.2%,134,45.4%,80.4,免费评估
81,Solent University,78.0%,71.9%,,119,62.3%,80.2,免费评估
82,艾芝西尔大学Edge Hill University,71.8%,65.4%,3.8%,136,56.6%,79.6,免费评估
83,卡迪夫都市大学Cardiff Metropolitan University,94.0%,89.6%,,107,42.1%,79.5,免费评估
84,Plymouth Marjon University,82.4%,70.9%,,122,52.6%,79.3,免费评估
85,南威尔士大学The University of South Wales,76.1%,71.7%,6.4%,131,48.1%,79.1,免费评估
86,北安普顿大学The University of Northampton,86.8%,78.3%,,114,48.0%,78.9,免费评估
87,贝德福德大学University of Bedfordshire,75.7%,80.0%,5.6%,99,61.7%,78.4,免费评估
88,温切斯特大学University of Winchester,78.7%,75.6%,11.2%,117,43.9%,78.0,免费评估
88,布莱顿大学University of Brighton,70.8%,64.1%,13.1%,127,50.7%,78.0,免费评估
90,波尔顿大学University of Bolton,75.8%,73.8%,,121,50.2%,77.5,免费评估
91,格林威治大学The University of Greenwich,58.8%,55.0%,3.5%,147,58.2%,77.3,免费评估
92,坎特伯雷大学Canterbury Christ Church University,81.7%,76.4%,15.2%,102,43.7%,77.2,免费评估
93,Ravensbourne University London,66.5%,60.1%,,112,69.7%,76.9,免费评估
93,新白金汉大学Buckinghamshire New University,80.5%,76.0%,,123,40.8%,76.9,免费评估
95,"特威克南圣玛丽大学St Mary's, Twickenham",70.0%,60.6%,9.1%,124,51.8%,76.7,免费评估
96,剑桥安鲁大学Anglia Ruskin University,67.7%,66.9%,16.9%,126,43.5%,76.5,免费评估
97,格林多大学Glyndwr University,93.2%,77.4%,,88*,45.9%,76.3,免费评估
98,萨福克学院University Campus Suffolk,81.6%,72.2%,,115,42.1%,76.0,免费评估
99,格罗斯泰斯特主教大学Bishop Grosseteste University,75.0%,62.3%,,118,49.5%,75.5,免费评估
100,利兹贝克特大学Leeds Beckett University,66.9%,60.0%,1.7%,121,50.0%,74.2,免费评估
101,哥比亚大学University of Cumbria,52.6%,48.6%,,126,41.9%,68.4,免费评估
