Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.5,,0.85,0.85,免费评估
2,牛津大学University of Oxford,3.6,509.0,0.82,0.81,免费评估
3,帝国理工学院Imperial College London,2.9,432.0,0.8,0.86,免费评估
4,诺丁汉大学University of Nottingham,3.5,,0.84,0.77,免费评估
5,拉夫堡大学Loughborough University,3.2,288.0,0.88,0.77,免费评估
6,伯明翰大学University of Birmingham,3.1,314.0,0.77,0.84,免费评估
7,谢菲尔德大学The University of Sheffield,2.9,309.0,0.79,0.83,免费评估
8,埃克塞特大学University of Exeter,1.6,320.0,0.82,0.86,免费评估
9,利兹大学University of Leeds,3.4,358.0,0.71,0.68,免费评估
10,伦敦大学玛丽女王学院Queen Mary University of London,2.6,298.0,0.77,0.71,免费评估
11,曼彻斯特大学The University of Manchester,3.4,362.0,0.65,0.63,免费评估
12,谢菲尔德哈莱姆大学Sheffield Hallam University,1.7,282.0,0.83,,免费评估
13,斯旺西大学Swansea University,2.8,245.0,0.73,0.68,免费评估
14,曼彻斯特城市大学Manchester Metropolitan University,1.3,282.0,0.61,0.7,免费评估
15,德蒙福特大学De Montfort University,1.7,283.0,0.6,0.44,免费评估
16,伦敦艺术大学University of the Arts London,,263.0,,0.55,免费评估
