Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
64,谢菲尔德哈莱姆大学Sheffield Hallam University,79.10%,83.60%,,296.0,56.30%,78.4,免费评估
65,格林威治大学The University of Greenwich,75.60%,85.00%,7.40%,328.0,47.80%,78.2,免费评估
66,德比大学University of Derby,76.00%,78.50%,3.60%,271.0,63.90%,78.1,免费评估
67,"特威克南圣玛丽大学St Mary's, Twickenham",80.00%,77.30%,,249.0,64.30%,77.9,免费评估
68,坎特伯雷大学Canterbury Christ Church University,83.70%,87.70%,,244.0,51.60%,77.7,免费评估
69,阿尔斯特大学University of Ulster,84.60%,93.70%,,270.0,39.90%,77.4,免费评估
70,University of Strathclyde,68.80%,81.60%,31.90%,,48.30%,77.1,免费评估
71,南威尔士大学The University of South Wales,72.50%,77.30%,,295.0,61.50%,76.9,免费评估
72,伯恩茅斯大学Bournemouth University,65.70%,70.70%,19.90%,269.0,61.70%,76.6,免费评估
73,巴斯斯巴大学Bath Spa University,74.40%,82.80%,,288.0,43.20%,74.7,免费评估
74,南安普顿索伦特大学Southampton Solent University,72.20%,75.90%,,210.0,35.70%,69.8,免费评估
74,哥比亚大学University of Cumbria,69.20%,63.80%,1.50%,303.0,32.20%,69.8,免费评估
