Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,583.0,4.28,3.2,88.0,100.0,免费评估
2,杜伦大学Durham University,585.0,4.06,2.98,86.0,96.3,免费评估
3,牛津大学University of Oxford,531.0,3.98,2.88,82.0,94.1,免费评估
4,伯明翰大学University of Birmingham,416.0,4.23,2.9,82.0,92.3,免费评估
5,埃克塞特大学University of Exeter,459.0,4.32,2.84,80.0,92.0,免费评估
6,圣安德鲁斯大学University of St Andrews,,4.57,2.84,,91.7,免费评估
7,布里斯托大学University of Bristol,456.0,4.32,2.89,76.0,91.7,免费评估
8,伦敦大学学院University College London,481.0,3.81,3.03,70.0,91.1,免费评估
9,曼彻斯特大学The University of Manchester,427.0,4.01,3.16,68.0,91.0,免费评估
10,利兹大学University of Leeds,425.0,4.15,2.91,80.0,90.8,免费评估
11,伦敦大学玛丽女王学院Queen Mary University of London,,3.87,3.04,,90.5,免费评估
12,谢菲尔德大学The University of Sheffield,390.0,4.3,2.98,70.0,90.0,免费评估
13,诺丁汉大学University of Nottingham,391.0,3.91,2.92,70.0,88.7,免费评估
14,爱丁堡大学The University of Edinburgh,476.0,3.97,2.96,66.0,88.7,免费评估
15,巴斯大学University of Bath,388.0,4.02,2.81,,86.9,免费评估
16,格拉斯哥大学University of Glasgow,,4.22,2.71,64.0,85.2,免费评估
17,中央兰开夏大学University of Central Lancashire,274.0,3.99,,,82.4,免费评估
