Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.3,494.0,0.88,,免费评估
2,亚伯大学Aberystwyth University,3.2,361.0,0.88,0.8,免费评估
3,卡迪夫大学Cardiff University,2.6,372.0,0.8,0.87,免费评估
4,格拉斯哥大学University of Glasgow,2.5,,0.86,0.79,免费评估
5,班戈大学Bangor University,2.4,356.0,0.83,0.8,免费评估
6,斯旺西大学Swansea University,3.1,305.0,0.82,0.68,免费评估
7,阿尔斯特大学University of Ulster,3.9,274.0,0.56,0.89,免费评估
8,英国女王大学Queen's University Belfast,1.7,341.0,0.8,0.69,免费评估
9,利物浦大学The University of Liverpool,2.4,325.0,0.8,0.48,免费评估
