Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,49.0%,215,78.8%,100.0,免费评估
2,圣安德鲁斯大学University of St Andrews,91.7%,86.6%,42.1%,185,79.3%,98.5,免费评估
3,考陶尔德艺术学院Courtauld Institute of Art,,,66.0%,171,69.6%,96.1,免费评估
4,华威大学The University of Warwick,,,53.0%,180,71.2%,95.6,免费评估
5,牛津大学University of Oxford,,,39.7%,201,79.2%*,95.5,免费评估
6,埃克塞特大学University of Exeter,85.3%,82.9%,35.1%,184,,94.3,免费评估
7,埃塞克斯大学University of Essex,83.7%,78.4%,46.9%,,74.4%*,93.9,免费评估
8,伯明翰大学University of Birmingham,84.3%,79.8%,43.7%,157,79.2%,93.8,免费评估
9,约克大学The University of York,85.5%,80.9%,53.2%,154,66.9%,93.4,免费评估
9,伦敦大学学院University College London,,,44.7%,189,73.1%,93.4,免费评估
11,曼彻斯特大学The University of Manchester,,,54.0%,136,65.9%,92.3,免费评估
12,利兹大学University of Leeds,86.1%,82.6%,30.0%,163,69.7%,91.7,免费评估
13,阿伯丁大学University of Aberdeen,85.9%,79.3%,36.1%,,65.1%,91.3,免费评估
14,东英吉利大学University of East Anglia,86.4%,82.9%,36.9%,154,62.8%,91.1,免费评估
15,伦敦大学亚非学院SOAS University of London,,,40.9%,154,62.5%,90.8,免费评估
16,诺丁汉大学University of Nottingham,83.9%,80.4%,30.9%,140,72.2%,89.8,免费评估
17,莱斯特大学University of Leicester,77.9%,72.8%,42.0%,,73.0%,89.4,免费评估
18,牛津布鲁克斯大学Oxford Brookes University,84.1%,80.5%,35.0%,133,68.2%,89.3,免费评估
19,萨塞克斯大学University of Sussex,82.4%,77.7%,25.2%,146,75.0%,89.1,免费评估
20,肯特大学University of Kent,83.1%,78.4%,44.3%,127,63.6%,88.9,免费评估
21,伦敦大学金史密斯学院Goldsmiths University of London,82.2%,74.3%,25.9%,150,68.2%,88.0,免费评估
22,布里斯托大学University of Bristol,,,28.3%,174,59.6%,87.8,免费评估
23,格拉斯哥大学University of Glasgow,82.4%,78.8%,37.2%,163,41.2%,86.8,免费评估
24,爱丁堡大学The University of Edinburgh,73.0%,71.1%,27.9%,184,62.6%,86.7,免费评估
25,利物浦约翰摩尔斯大学Liverpool John Moores University,91.6%,86.0%,7.2%,132*,50.0%,85.5,免费评估
26,普利茅斯大学University of Plymouth,88.8%,84.3%,14.7%,108,48.8%,83.7,免费评估
27,Manchester Metropolitan University,85.2%,78.3%,9.7%,132,39.3%*,81.4,免费评估
28,布莱顿大学University of Brighton,,,13.1%,106,36.4%,74.1,免费评估
