Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,萨里大学University of Surrey,91.9,23.3,394.0,57.4,100.0,免费评估
2,埃克塞特大学University of Exeter,85.5,,448.0,81.3,89.6,免费评估
3,中央兰开夏大学University of Central Lancashire,82.5,21.7,340.0,46.6,88.3,免费评估
4,谢菲尔德哈莱姆大学Sheffield Hallam University,83.6,18.3,332.0,52.9,87.6,免费评估
5,伯明翰大学University of Birmingham,88.7,,362.0,87.1,87.4,免费评估
6,斯特林大学University of Stirling,78.8,20.9,,53.1,86.6,免费评估
7,Manchester Metropolitan University,82.4,15.0,333.0,54.2,85.1,免费评估
8,切斯特大学University of Chester,86.5,11.7,302.0,57.3,83.9,免费评估
9,索尔福德大学University of Salford,84.8,13.3,369.0,35.0,83.3,免费评估
10,赫特福德大学University of Hertfordshire,79.1,15.0,351.0,46.8,82.8,免费评估
11,伯恩茅斯大学Bournemouth University,78.6,13.3,331.0,57.1,82.6,免费评估
12,普利茅斯大学University of Plymouth,85.6,14.1,291.0,45.8,81.8,免费评估
12,布莱顿大学University of Brighton,81.7,18.3,298.0,40.4,81.8,免费评估
14,牛津布鲁克斯大学Oxford Brookes University,82.9,,376.0,63.6,80.1,免费评估
15,罗伯特高登大学The Robert Gordon University,83.4,,375.0,57.7,79.0,免费评估
16,西英格兰大学University of the West of England,83.8,6.7,326.0,42.5,77.3,免费评估
16,University of Lincoln,84.1,,313.0,65.3,77.3,免费评估
18,哈德斯菲尔德大学University of Huddersfield,88.1,,310.0,53.2,76.5,免费评估
19,伯恩茅斯艺术大学Arts University Bournemouth,79.3,,317.0,69.6,75.9,免费评估
19,曼彻斯特大学The University of Manchester,76.6,,372.0,61.0,75.9,免费评估
21,桑德兰大学University of Sunderland,81.4,13.3,275.0,30.5,74.8,免费评估
22,卡迪夫都市大学Cardiff Metropolitan University,73.7,11.7,307.0,42.7,74.3,免费评估
23,Coventry University,81.7,,289.0,60.7,73.5,免费评估
24,北安普顿大学The University of Northampton,87.0,,277.0,48.5,72.9,免费评估
25,伦敦艺术大学University of the Arts London,72.7,,383.0,52.4,72.7,免费评估
26,东伦敦大学University of East London,81.9,,283.0,56.6,72.4,免费评估
27,奇切斯特大学University of Chichester,84.7,,272.0,52.9,72.3,免费评估
28,龙比亚大学Napier University,77.2,,354.0,47.4,72.2,免费评估
29,德比大学University of Derby,82.8,,317.0,42.7,71.9,免费评估
30,朴茨茅斯大学University of Portsmouth,81.9,,270.0,56.4,71.6,免费评估
31,温切斯特大学University of Winchester,82.0,,317.0,36.3,70.0,免费评估
32,南安普顿索伦特大学Southampton Solent University,77.2,,285.0,52.2,69.0,免费评估
33,利兹贝克特大学Leeds Beckett University,76.5,,278.0,55.2,68.9,免费评估
34,"特威克南圣玛丽大学St Mary's, Twickenham",82.7,,270.0,40.9,68.6,免费评估
35,阿尔斯特大学University of Ulster,81.1,,292.0,37.0,68.2,免费评估
35,法尔茅斯大学Falmouth University,67.9,,263.0,76.5,68.2,免费评估
37,格林威治大学The University of Greenwich,74.1,,326.0,43.8,68.1,免费评估
38,米德塞斯大学Middlesex University,76.9,,295.0,43.8,67.7,免费评估
39,格罗斯特大学University of Gloucestershire,74.3,,280.0,53.8,67.6,免费评估
40,威斯敏斯特大学University of Westminster,81.9,,303.0,24.4,66.6,免费评估
41,贝德福德大学University of Bedfordshire,75.6,10.0,194.0,37.2,66.1,免费评估
42,西苏格兰大学University of the West of Scotland,76.3,,311.0,32.6,65.9,免费评估
43,白金汉大学The University of Buckingham,80.7,,228.0,43.1,65.5,免费评估
44,玛格丽特女王大学Queen Margaret University,73.5,,283.0,42.4,64.9,免费评估
45,南威尔士大学The University of South Wales,65.4,,320.0,49.7,64.5,免费评估
46,高地与群岛大学University of the Highlands and Islands,69.4,,240.0,61.1,64.2,免费评估
47,泰晤士河谷大学Thames Valley University,77.2,,232.0,40.3,63.3,免费评估
48,坎特伯雷大学Canterbury Christ Church University,72.6,,266.0,38.7,62.5,免费评估
49,利物浦约翰摩尔斯大学Liverpool John Moores University,72.4,,276.0,27.6,60.6,免费评估
50,斯塔福德郡大学Staffordshire University,73.0,,219.0,40.8,60.4,免费评估
51,剑桥安鲁大学Anglia Ruskin University,77.6,,245.0,18.8,59.6,免费评估
52,伦敦都市大学London Metropolitan University,65.3,,268.0,35.7,58.2,免费评估
53,伦敦南岸大学London South Bank University,73.2,,196.0,35.9,58.0,免费评估
54,亚伯大学Aberystwyth University,72.9,,259.0,17.4,57.7,免费评估
