Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,81.9%,80.0%,54.0%,551,76.7%,100.0,免费评估
2,牛津大学University of Oxford,81.3%,84.8%,41.3%,552,80.1%,99.3,免费评估
3,英国女王大学Queen's University Belfast,85.2%,92.4%,53.1%,,72.1%,97.7,免费评估
4,兰卡斯特大学Lancaster University,90.2%,87.8%,47.0%,453,68.7%,96.3,免费评估
5,谢菲尔德大学The University of Sheffield,87.7%,87.8%,42.2%,425,74.4%,95.5,免费评估
6,爱丁堡大学The University of Edinburgh,76.5%,85.8%,57.7%,484,63.2%,94.5,免费评估
7,伦敦大学学院University College London,72.2%,79.3%,43.7%,451,76.3%,92.8,免费评估
8,纽卡斯尔大学Newcastle University,81.9%,82.9%,36.3%,404,76.4%,92.6,免费评估
9,利兹大学University of Leeds,87.3%,91.3%,30.6%,413,62.6%,90.7,免费评估
10,阿伯丁大学University of Aberdeen,85.0%,81.3%,46.3%,429*,55.8%,90.3,免费评估
11,约克大学The University of York,79.8%,84.3%,37.3%,428,61.8%,89.7,免费评估
12,班戈大学Bangor University,94.5%,90.1%,39.6%,301,58.3%,88.7,免费评估
13,伦敦国王学院King's College London,65.6%,81.3%,42.1%,427,66.2%,88.1,免费评估
14,曼彻斯特大学The University of Manchester,74.3%,79.3%,48.9%,399,57.7%,87.7,免费评估
14,肯特大学University of Kent,79.0%,76.2%,41.9%,374,62.7%,87.7,免费评估
16,Cardiff University,81.5%,81.4%,35.1%,420*,54.7%,87.3,免费评估
17,伦敦大学亚非学院SOAS University of London,80.9%,85.7%,26.0%,374,63.6%,86.9,免费评估
18,Manchester Metropolitan University,90.4%,89.0%,29.0%,297,60.9%,86.6,免费评估
19,伦敦大学玛丽女王学院Queen Mary University of London,67.1%,66.5%,50.3%,385,63.3%,85.9,免费评估
20,西英格兰大学University of the West of England,89.8%,91.3%,9.5%,328,52.7%,82.7,免费评估
21,阿尔斯特大学University of Ulster,85.5%,86.6%,22.4%,301,51.5%,82.0,免费评估
22,埃塞克斯大学University of Essex,71.8%,74.8%,36.0%,306,50.0%,79.6,免费评估
23,诺丁汉特伦特大学Nottingham Trent University,82.2%,84.8%,10.0%,284,,79.5,免费评估
24,索尔福德大学University of Salford,89.5%,88.6%,4.8%,313*,44.3%,78.9,免费评估
25,布莱顿大学University of Brighton,72.5%,76.1%,16.2%,318,56.0%,78.8,免费评估
26,约克圣约翰大学York St John University,83.9%,83.4%,9.7%,280,50.5%,78.4,免费评估
27,威斯敏斯特大学University of Westminster,78.6%,83.0%,2.0%,312,50.9%,77.1,免费评估
28,赫特福德大学University of Hertfordshire,81.9%,84.7%,,333,43.7%,76.7,免费评估
29,格林威治大学The University of Greenwich,60.4%,57.5%,8.2%,,46.4%,67.2,免费评估
